DateTime,AddedIPs,RemovedIPs
1451953803,29,0
1451975402,38,0
1451997003,30,0
1452018603,33,435
1452040203,49,0
1452061803,25,0
1452083402,26,0
1452105003,36,305
1452126603,23,0
1452148202,27,0
1452169803,47,0
1452191403,36,237
1452213002,40,0
1452234603,39,0
1452256202,20,0
1452277802,58,333
1452299402,50,0
1452321003,48,0
1452342603,26,0
1452364202,32,250
1452385803,69,0
1452407402,34,0
1452429002,236,0
1452450603,46,326
1452472203,63,0
1452493803,47,0
1452515403,112,0
1452537003,189,733
1452558602,151,0
1452580203,96,0
1452601803,158,0
1452623402,113,486
1452645002,51,0
1452666602,31,0
1452688203,35,0
1452709802,62,344
1452731402,72,0
1452753002,55,0
1452774603,44,0
1452796203,86,378
1452817804,89,0
1452839403,62,0
1452861002,45,0
1452882602,38,422
1452904203,109,0
1452925803,36,0
1452949202,38,0
1452970802,44,688
1452992402,35,0
1453014002,49,0
1453035603,40,0
1453057202,58,224
1453078802,52,0
1453100402,36,0
1453122003,162,0
1453143603,49,214
1453165203,84,0
1453186802,37,0
1453208402,45,0
1453230003,97,189
1453251602,50,0
1453273203,62,0
1453294802,53,0
1453316403,52,161
1453338003,58,0
1453359602,39,0
1453381202,67,0
1453402803,47,190
1453424402,50,7
1453446002,182,0
1453467603,76,0
1453489202,79,346
1453510802,92,0
1453532403,94,0
1453554003,82,0
1453575602,120,234
1453597202,66,0
1453618803,85,0
1453640402,79,0
1453662002,64,304
1453683602,41,0
1453705202,80,0
1453726803,49,0
1453748404,50,200
1453770002,41,0
1453791604,61,0
1453813203,141,0
1453834803,33,483
1453856402,49,0
1453878004,34,0
1453899603,65,0
1453921203,54,353
1453942802,46,0
1453964404,45,0
1453986003,47,0
1454007604,40,155
1454029203,35,0
1454050803,54,0
1454072403,63,0
1454094003,28,119
1454115602,56,0
1454137203,48,0
1454158802,45,0
1454180403,52,193
1454202003,49,0
1454223603,43,0
1454245202,41,0
1454266804,53,150
1454288403,34,0
1454310004,39,0
1454331603,33,0
1454353203,28,294
1454374802,45,0
1454396402,47,0
1454418002,40,0
1454439603,42,185
1454461203,37,0
1454482803,58,0
1454504402,323,0
1454526003,25,203
1454547603,46,0
1454569203,37,0
1454590803,31,0
1454612402,55,166
1454634002,32,0
1454655603,39,1
1454677202,31,0
1454698802,24,163
1454720423,51,0
1454742003,36,0
1454763603,29,0
1454785203,30,169
1454806803,24,0
1454828402,46,0
1454850003,41,0
1454871603,27,234
1454893202,27,0
1454914803,32,0
1454936403,25,0
1454958002,26,405
1454979603,32,0
1455001202,277,0
1455022803,183,0
1455044402,62,162
1455066002,32,0
1455087603,52,0
1455109203,32,0
1455130803,24,228
1455152403,34,0
1455174003,59,0
1455195603,55,0
1455217203,47,1626
1455303603,178,197
1455325202,38,0
1455346802,40,0
1455368403,478,0
1455390002,36,198
1455411603,31,0
1455433202,38,0
1455454802,16,0
1455476402,31,204
1455498002,41,0
1455519602,45,0
1455541203,164,0
1455562802,86,231
1455584402,80,0
1455606002,77,0
1455627603,38,0
1455649202,56,203
1455670803,55,0
1455692402,50,0
1455714002,66,0
1455735603,61,210
1455757202,53,0
1455778802,46,0
1455800402,36,0
1455822003,32,217
1455843603,36,0
1455865203,55,0
1455886802,32,0
1455908402,48,258
1455930002,36,0
1455951603,50,0
1455973203,46,0
1455994803,38,204
1456016402,51,0
1456038003,35,0
1456059602,39,0
1456081202,55,207
1456102803,37,0
1456124402,457,0
1456146002,52,0
1456167602,42,176
1456189202,49,0
1456210802,45,0
1456232402,35,0
1456254002,18,356
1456275603,40,0
1456297202,57,0
1456318802,39,0
1456340402,64,222
1456362002,53,0
1456383603,56,0
1456405202,45,0
1456426802,50,213
1456448402,35,0
1456470002,36,0
1456491603,51,0
1456513202,37,150
1456534802,48,0
1456556403,45,0
1456578002,40,0
1456599603,41,163
1456621202,49,0
