DateTime,AddedIPs,RemovedIPs
1459123543,4,4
1459209939,5,5
1459296340,5,5
1459382740,4,4
1459469141,7,7
1459555544,5,5
1459641938,5,5
1459728341,3,3
1459814746,7,7
1459987544,6,6
1460073950,5,5
1460246756,6,6
1460333160,5,5
1460505964,5,5
1460592345,5,5
1460765149,10,10
1460937950,10,10
1461024341,5,5
1461197145,8,8
1461283542,7,7
1461369941,2,2
1461456341,6,6
1461542747,4,4
1461801945,5,5
1461974735,4,4
1462061139,5,5
1462147538,5,5
1462233944,5,5
1462320339,2,2
1462493142,5,5
1462665937,6,6
1462752342,5,5
1462838753,5,5
