DateTime,Entries,UniqueIPs
1459037478,10,10
1459123891,13,13
1459210286,17,17
1459296691,20,20
1459383060,22,22
1459469472,14,14
1459555896,14,14
1459642294,15,15
1459728664,16,16
1459901537,15,15
1459987930,17,17
1460074377,18,18
1460247159,10,10
1460333572,16,16
1460506389,10,10
1460592741,18,18
1460679145,22,22
1460765552,19,19
1460851923,18,18
1460938338,13,13
1461024711,16,16
1461111116,19,19
1461197553,20,20
1461283933,21,21
1461370321,25,25
1461456698,22,22
1461543110,25,25
1461715955,17,17
1461802297,15,15
1461888745,17,17
1461975085,19,19
1462061530,19,19
1462147870,15,15
1462234278,18,18
1462320647,20,20
1462407112,16,16
1462493496,20,20
1462579929,20,20
1462666278,18,18
1462752671,20,20
1462839093,18,18
