DateTime,AddedIPs,RemovedIPs
1459123782,1,0
1459296580,2,1
1459382954,0,1
1459469375,1,0
1459642173,1,2
1459728563,1,0
1459814995,3,2
1459901405,0,3
1460074228,1,0
1460247011,2,3
1460333435,1,0
1460506239,1,2
1460592592,1,0
1460851795,1,1
1460938212,0,1
1461024583,1,0
1461110997,1,0
1461197419,0,1
1461283795,1,1
1461370200,1,1
1461456581,1,0
1461542992,0,1
1461715807,6,1
1461802184,2,6
1461888614,1,2
1462147776,0,1
1462234177,1,0
1462320560,2,0
1462407001,2,1
1462493380,0,1
1462579824,0,2
1462666184,1,1
1462752572,8,0
1462838985,8,1
