DateTime,Entries,UniqueIPs
1459037369,10,10
1459123782,11,11
1459296580,13,13
1459642173,14,14
1459728563,15,15
1459814995,17,17
1459987782,15,15
1460247011,15,15
1460333435,14,14
1460592592,15,15
1460679006,13,13
1460851795,14,14
1460938212,13,13
1461024583,13,13
1461110997,14,14
1461283795,14,14
1461370200,15,15
1461456581,15,15
1461715807,19,19
1461802184,20,20
1461888614,21,21
1461974973,20,20
1462061408,19,19
1462147776,13,13
1462320560,13,13
1462407001,15,15
1462752572,23,23
1462838985,29,30
