DateTime,AddedIPs,RemovedIPs
1459123821,7,0
1459210209,6,0
1459296619,1,0
1459382997,5,0
1459469414,6,0
1459555828,3,0
1459642218,1,0
1459728610,1,4
1459815046,4,7
1459901460,4,2
1459987850,5,4
1460074293,4,0
1460247068,4,8
1460333498,3,3
1460506302,6,11
1460592648,6,0
1460679062,5,8
1460765468,4,0
1460851847,6,0
1460938263,4,2
1461024632,5,7
1461111048,4,0
1461197472,4,6
1461283849,6,4
1461370257,4,3
1461456636,6,3
1461543046,6,5
1461715858,9,11
1461802235,5,11
1461888667,9,0
1461975022,4,11
1462061454,5,5
1462147817,6,7
1462234219,6,0
1462320598,5,0
1462407039,3,8
1462493432,2,5
1462579864,4,7
1462666217,7,10
1462752609,6,0
1462839029,8,5
