DateTime,AddedIPs,RemovedIPs
1459123821,7,7
1459210209,7,7
1459296619,5,5
1459382997,5,5
1459469414,6,6
1459555828,5,5
1459642218,6,6
1459728610,5,5
1459815046,6,6
1459901460,8,8
1459987850,6,6
1460074293,7,7
1460247068,6,6
1460333498,6,6
1460506302,9,9
1460592648,7,7
1460679062,6,6
1460765468,6,6
1460851847,7,7
1460938263,7,7
1461024632,7,7
1461111048,7,7
1461197472,8,8
1461283849,8,8
1461370257,7,7
1461456636,7,7
1461543046,6,6
1461715858,10,10
1461802235,9,9
1461888667,9,9
1461975022,8,8
1462061454,6,6
1462147817,7,7
1462234219,7,7
1462320598,8,8
1462407039,7,7
1462493432,9,9
1462579864,7,7
1462666217,9,9
1462752609,8,8
1462839029,8,8
