DateTime,AddedIPs,RemovedIPs
1456783478,1,0
1456808677,0,1
1456812394,1,0
1456830980,0,2
1456834867,1,0
1456841677,1,1
1456852529,1,0
1456867050,0,2
1456873976,1,0
1456881141,1,0
1456910033,0,1
1456918659,1,0
1456940877,0,1
1456945760,1,1
1456956309,1,0
1456960042,0,1
1456963727,1,0
1456970722,0,1
1456974649,1,0
1456988967,0,1
1456992913,1,0
1456999976,0,1
1457007455,0,1
1457010623,1,0
1457014219,1,0
1457039045,0,1
1457042689,1,1
1457057260,1,0
1457064562,0,1
1457075432,0,1
1457079156,2,0
1457096694,0,1
1457100246,1,0
1457129042,0,1
1457132696,1,1
1457136331,1,0
1457168729,0,2
1457175843,1,0
1457179438,0,1
1457183061,1,0
1457208248,1,0
1457226261,0,1
1457233603,1,1
1457255157,0,1
1457269466,1,0
1457280281,1,0
1457316358,0,2
1457320068,1,0
1457334309,0,1
1457337866,1,0
1457345115,1,0
1457353393,0,1
1457356896,1,0
1457360595,0,1
1457366624,1,0
1457385817,0,2
1457392127,1,0
1457402642,0,1
1457409979,1,0
1457417238,1,0
1457420766,0,1
1457424313,0,1
1457429148,1,0
1457431992,1,0
1457449449,0,1
1457453416,1,0
1457460303,0,1
1457467565,1,1
1457471068,1,0
1457485629,0,1
1457489573,1,0
1457500261,0,1
1457511480,1,0
1457529116,0,1
1457532427,1,0
1457568650,0,1
1457571885,1,0
1457582819,0,1
1457586297,1,0
1457593483,0,1
1457607876,1,0
1457625911,0,1
1457629567,1,0
1457643854,0,2
1457647453,1,0
1457655055,1,1
1457661859,1,0
1457694277,0,1
1457697873,1,0
1457705082,0,1
1457730316,1,1
1457748280,0,1
1457755993,1,0
1457759391,0,1
1457763555,1,0
1457770333,0,1
1457773656,1,0
1457777571,0,1
1457781218,1,0
1457787880,0,1
1457809442,0,1
1457813072,1,0
1457816670,0,1
1457820265,2,0
1457834678,0,1
1457838409,1,0
1457849100,0,1
1457856281,1,0
1457870683,0,1
1457877839,0,1
1457892232,1,0
1457895847,1,0
1457906649,0,1
1457917464,1,0
1457931947,0,1
1457935473,1,0
1457939079,1,0
1457942645,0,1
1457949843,1,2
1457953451,0,1
1457964240,1,0
1457978644,1,1
1458000310,1,0
1458029061,1,0
1458043482,0,2
1458047043,1,1
1458050771,1,1
1458054240,1,0
1458079440,0,1
1458083065,1,1
1458093836,1,0
1458104709,1,0
1458108282,0,1
1458126283,0,1
1458129844,0,1
1458144245,1,0
1458147867,0,1
1458158648,0,1
1458162267,1,0
1458165859,1,0
1458169499,1,0
1458187428,0,1
1458191060,1,0
1458201840,1,0
1458205465,0,1
1458219857,1,1
1458223442,1,0
1458227070,0,1
1458234249,0,2
1458237844,2,0
1458248654,0,1
1458252229,0,1
1458259563,1,1
1458263077,1,0
1458266641,1,0
1458277487,0,1
1458284724,1,0
1458295455,0,1
1458299065,1,1
1458302652,1,0
1458306291,1,0
1458313479,0,1
1458317310,0,1
1458320646,1,1
1458331505,1,0
1458335172,0,1
1458345912,0,1
1458364030,1,0
1458371041,1,1
1458378266,1,0
1458381843,0,1
1458385446,1,1
1458389076,1,0
1458399918,0,1
1458414243,0,1
1458417850,2,0
1458425083,0,1
1458428702,2,0
1458439485,0,1
1458443128,1,1
1458453878,1,0
1458457482,0,1
1458464680,0,1
1458468246,0,2
1458475476,1,0
1458479046,1,0
1458504251,0,1
1458522287,1,0
1458536678,0,1
1458540262,1,1
1458561874,1,0
1458569082,0,1
1458572699,1,1
1458576256,1,0
1458579892,0,1
1458594251,0,1
1458597874,1,0
1458601484,1,0
1458612245,0,1
1458630279,1,0
1458633885,0,1
1458637441,1,0
1458644704,0,1
1458659071,1,0
1458702421,0,1
1458705888,1,0
1458727462,0,1
1458731097,1,0
1458752661,0,1
1458770749,1,0
1458810240,0,1
1458813847,0,1
1458817433,1,0
1458821050,1,0
1458835442,0,1
1458846273,0,1
1458853451,1,0
1458864309,1,0
1458871476,0,1
1458889433,1,0
1458911042,0,1
1458914650,1,0
1458929085,0,1
1458939842,1,0
1458968671,0,1
1458972284,1,0
1458986647,0,1
1459001064,1,0
1459011880,0,1
1459019236,1,0
1459040705,0,1
1459051472,0,1
1459058662,1,0
1459076644,1,0
1459080242,0,1
1459091054,1,1
1459098242,1,0
1459112645,0,1
1459116307,1,0
1459155902,0,1
1459159459,1,0
1459170253,0,1
1459173844,1,0
1459188241,0,1
1459195460,1,0
1459209895,0,1
1459217212,1,0
1459231451,0,1
1459235055,1,0
1459242343,0,1
1459249493,1,0
1459285509,0,1
1459296337,1,0
1459343077,0,1
1459346655,1,1
1459350250,1,0
1459357490,0,1
1459361094,1,0
1459382742,0,1
1459393442,1,0
1459397064,0,1
1459400796,1,0
1459415079,0,1
1459436652,1,0
1459469017,0,1
1459487172,1,1
1459490648,1,0
1459501455,0,1
1459512298,1,0
1459519455,0,1
1459523049,1,0
1459544667,0,1
1459548351,1,0
1459573527,0,1
1459577075,1,0
1459602285,0,1
1459616704,1,0
1459652644,1,1
1459663467,1,0
1459692272,0,1
1459699444,1,0
1459764265,0,1
1459778671,1,0
1459796648,0,1
1459803890,0,1
1459807520,1,0
1459811069,1,0
1459832687,0,1
1459847045,1,0
1459868636,0,1
1459875845,1,0
1459940677,0,1
1459947839,1,0
1459965886,0,1
1459973039,1,0
1460027037,0,1
1460037885,1,0
1460052304,0,1
1460063057,1,0
1460102687,0,1
1460113468,1,0
1460120697,0,1
1460124296,1,0
1460127877,0,1
1460131443,1,0
1460203444,0,1
1460210687,1,0
