DateTime,AddedIPs,RemovedIPs
1458353385,1,0
1458357186,0,8
1458364321,0,1
1458367758,1,0
1458432719,14,0
1458436267,4,0
1458439756,1,0
1458443412,1,16
1458446967,1,1
1458450685,2,3
1458457773,1,0
1458461339,0,1
1458464970,0,1
1458468535,1,0
1458472162,0,2
1458475760,2,0
1458479337,1,0
1458482953,0,1
1458490171,0,1
1458493766,1,0
1458500977,0,1
1458508176,0,1
1458515457,1,0
1458518968,15,0
1458522581,2,0
1458526131,0,1
1458530141,1,14
1458533400,1,2
1458536971,1,0
1458540547,1,1
1458544178,0,1
1458547753,1,0
1458554993,1,0
1458558538,1,2
1458565771,1,1
1458569377,0,1
1458576544,1,0
1458583765,0,1
1458587402,1,0
1458590937,0,1
1458594540,1,0
1458598161,1,1
1458601786,1,0
1458605314,0,1
1458608966,29,1
1458612533,1,1
1458616283,1,0
1458619870,3,13
1458623447,2,2
1458626923,1,0
1458634169,0,3
1458637720,1,1
1458641340,2,2
1458645004,3,1
1458652121,0,2
1458655757,2,1
1458662931,0,2
1458666592,2,1
1458677419,1,1
1458684531,2,1
1458691786,11,0
1458695349,0,3
1458698967,0,3
1458702700,1,15
1458706176,1,0
1458713362,0,1
1458716960,1,0
1458720523,0,1
1458738528,1,1
1458745728,1,0
1458749370,0,1
1458778222,16,0
1458785318,1,0
1458789007,0,14
1458792596,0,1
1458796126,1,0
1458799723,0,1
1458803336,1,0
1458810530,1,0
1458821330,0,1
1458832141,0,1
1458835733,1,0
1458839339,0,1
1458846556,0,1
1458850125,1,0
1458860951,1,0
1458864613,27,0
1458868152,0,1
1458871783,1,0
1458875370,0,30
1458879005,0,1
1458886150,2,0
1458896955,0,2
1458907726,2,0
1458911339,1,0
1458918562,0,2
1458925738,0,2
1458929379,1,0
1458936598,2,0
1458947428,0,2
1458951003,12,0
1458954601,1,1
1458958162,1,0
1458962024,1,13
1458965362,0,2
1458976156,1,1
1458979739,1,0
1459001357,0,1
1459012170,1,0
1459019663,0,2
1459026555,1,0
1459033751,0,1
1459037392,30,0
1459040994,1,1
1459048157,0,14
1459051755,0,2
1459055373,0,1
1459066156,1,0
1459073344,2,0
1459076919,0,1
1459084146,2,0
1459087732,1,2
1459094960,0,2
1459123775,12,0
1459127499,1,0
1459131069,0,1
1459134530,0,26
1459141775,0,1
1459210191,17,0
1459213819,1,0
1459220941,0,12
1459224562,0,1
1459228156,0,1
1459296615,12,0
1459307372,0,27
1459336141,0,1
1459365019,1,0
1459383047,8,0
1459386549,1,0
1459390191,0,1
1459393727,0,11
1459401082,0,1
1459472976,16,0
1459483802,0,16
1459555895,5,0
1459566576,0,14
1459645841,11,0
1459649444,1,0
1459652934,1,0
1459656534,0,8
1459660248,0,1
1459667368,0,1
1459670963,0,1
1459674550,1,0
1459678224,1,0
1459728677,17,0
1459732252,1,1
1459735756,2,0
1459739331,1,15
1459743139,1,1
1459746562,1,1
1459750144,1,1
1459753765,1,2
1459757348,2,1
1459761007,1,1
1459764536,1,1
1459768135,1,1
1459771750,1,1
1459775323,1,1
1459778959,1,1
1459782537,1,1
1459786142,1,1
1459789750,1,1
1459793316,1,2
1459796932,1,1
1459800558,1,2
1459804185,1,1
1459807807,1,1
1459811367,1,1
1459815054,20,1
1459818551,1,1
1459822172,2,1
1459825727,2,6
1459829338,1,1
1459832976,1,1
1459836590,1,2
1459840132,1,1
1459843751,1,1
1459847331,1,1
1459850987,1,1
1459854568,1,1
1459858143,1,1
1459861802,1,1
1459865392,1,2
1459868923,1,1
1459872521,1,2
1459876125,1,1
1459879755,2,1
1459883312,1,1
1459886953,1,1
1459890531,1,1
1459894202,1,1
1459897731,1,2
1459901394,13,1
1459904940,1,1
1459908659,1,1
1459912132,1,12
1459915832,1,1
1459919357,1,1
1459922939,2,1
1459926516,1,1
1459930157,2,1
1459933719,1,2
1459937409,1,0
1459940964,1,1
1459944542,0,1
1459948126,1,2
1459951730,1,1
1459955325,1,0
1459958919,1,1
1459962518,1,1
1459966177,1,1
1459969775,1,1
1459973315,1,1
1459976925,1,1
1459980575,1,1
1459984140,1,1
1459987796,22,1
1459991448,0,2
1459995023,0,1
1459998528,2,16
1460002154,0,1
1460009386,0,1
1460012936,1,0
1460027307,0,1
1460034533,1,0
1460038175,1,0
1460048926,0,2
1460059860,1,0
1460070594,0,1
1460074169,13,0
1460081523,0,1
1460084916,0,18
1460088554,0,1
1460153404,1,0
1460160590,8,0
1460171339,0,12
1460178605,0,1
1460196536,1,0
1460210976,0,1
1460247076,41,0
1460257743,0,17
1460333370,12,0
1460340608,1,0
1460344127,0,10
1460347764,0,1
1460351482,0,1
1460354968,1,0
1460369332,0,1
1460387508,1,0
1460405366,0,1
1460419757,13,0
1460430536,0,12
1460473721,0,1
1460477342,1,0
1460480993,1,0
1460495327,0,1
1460498954,1,0
1460506191,35,0
1460513387,0,1
1460516926,0,37
1460592590,19,0
1460596182,0,1
1460603323,0,13
1460607044,0,2
1460628631,1,0
1460664573,1,0
1460678982,17,0
1460689734,0,17
1460707725,0,1
1460711322,1,0
1460736535,1,1
1460747375,1,1
1460765384,23,0
1460768975,1,0
1460772621,0,2
1460776196,0,32
1460779821,1,1
1460783410,0,1
1460794118,0,1
1460801300,1,0
1460804938,1,0
1460812108,0,1
1460833806,2,0
1460837368,1,0
1460844585,1,1
1460848163,0,2
1460851796,16,1
1460859041,0,1
1460862537,0,18
1460905787,1,0
1460912946,0,1
1460941784,19,0
1460945429,1,0
1460952574,0,19
1460956188,0,2
1461024585,28,0
1461031746,1,0
1461035318,0,20
1461038995,0,1
1461060578,0,1
1461064149,1,0
1461111021,19,0
1461114529,1,1
1461118299,1,0
1461121800,0,14
1461129029,0,1
1461132541,1,1
1461136150,0,1
1461139739,2,1
1461143353,0,1
1461161377,1,0
1461175752,0,2
1461179369,0,1
1461182937,1,1
1461186511,1,0
1461193726,1,0
1461197345,1,1
1461200938,11,0
1461204688,1,0
1461211745,0,17
1461215358,0,3
1461229768,1,0
1461240637,0,1
1461247759,1,0
1461251324,0,1
1461254962,1,0
1461262156,1,1
1461265787,1,0
1461269381,1,0
1461276636,0,1
1461283784,37,0
1461287373,0,1
1461291058,0,3
1461294527,1,21
1461308985,1,0
1461319797,0,2
1461323335,1,1
1461334130,1,0
1461337756,1,0
1461352226,0,1
1461359463,1,1
1461370212,19,0
1461373764,1,1
1461377477,1,1
1461380922,0,21
1461399032,0,1
1461402551,0,1
1461409743,1,0
1461413340,0,1
1461435009,0,1
1461438557,1,0
1461442118,1,0
1461456578,15,0
1461460196,3,0
1461467407,0,10
1461474644,0,2
1461528574,0,1
1461532119,1,0
1461543030,28,0
1461546582,1,0
1461553752,0,36
1461557388,0,1
1461568176,1,0
1461597079,1,0
1461604195,1,0
1461614975,0,1
1461618611,0,2
1461625762,1,0
1461629460,10,1
1461633005,1,0
1461636572,1,1
1461640223,0,20
1461643789,0,2
1461679781,1,0
1461683339,1,0
1461686947,0,1
1461690542,0,1
1461694188,1,0
1461704939,0,1
1461719354,15,0
1461723031,1,0
1461726561,1,1
1461730163,1,16
1461733772,1,1
1461737373,0,1
1461748144,1,1
1461758944,1,0
1461766133,0,2
1461773326,1,1
1461777258,1,0
1461780545,2,1
1461784133,1,1
1461787978,0,2
1461798540,0,1
1461802175,23,1
1461812963,0,28
1461816623,0,1
1461823751,0,1
1461830952,1,0
1461845517,0,1
1461849242,1,0
1461856924,1,0
1461875327,0,1
1461888712,4,0
1461895812,0,1
1461899490,0,9
1461921080,0,1
1461924642,1,0
1461935938,0,1
1461942606,1,0
1461964195,0,2
1461967815,1,0
1461975098,21,0
1461982566,0,3
1461985772,0,12
1461989611,0,1
1462007593,1,0
1462061493,15,0
1462068727,1,0
1462072135,0,24
1462079423,0,1
1462082977,0,1
1462147799,9,0
1462151343,1,0
1462158559,0,3
1462162224,0,1
1462165767,0,2
1462176534,1,0
1462183738,1,0
1462190934,0,1
1462198133,0,1
1462208973,1,0
1462223381,0,1
1462234130,1,0
1462237794,16,0
1462248574,0,20
1462252219,1,0
1462262918,0,1
1462266520,1,0
1462320593,15,0
1462324180,2,0
1462327915,0,1
1462331324,0,16
1462338683,0,1
1462378285,0,2
1462407239,10,0
1462417760,0,6
1462421551,0,1
1462425008,1,0
1462439394,0,1
1462446556,1,0
1462461264,0,1
1462479111,1,0
1462497142,13,1
1462507851,0,14
1462525818,1,0
1462529450,1,0
1462540283,0,1
1462543979,0,1
1462547438,1,0
1462576186,0,1
1462579864,20,0
1462583434,1,0
1462590597,0,16
1462594282,0,3
1462597862,0,1
1462626724,1,0
1462630175,2,0
1462641010,0,2
1462651911,3,0
1462662747,0,2
1462666426,13,2
1462673731,0,1
1462677120,1,9
1462691378,0,1
1462716691,2,0
1462727474,0,2
1462752642,14,0
1462756233,3,0
1462760053,1,0
1462763546,0,13
1462770597,0,2
1462774280,0,1
1462777832,1,0
1462785006,0,1
1462792159,1,0
1462806737,0,1
1462842644,17,0
1462849798,1,1
