DateTime,Entries,UniqueIPs
1460667708,18,18
1460671279,16,16
1460674909,15,15
1460678518,14,14
1460682081,15,15
1460685687,15,15
1460689288,18,18
1460692941,19,19
1460696481,17,17
1460700095,16,16
1460703708,13,13
1460707290,11,11
1460710889,11,11
1460714503,12,12
1460718139,13,13
1460721741,13,13
1460725281,14,14
1460728909,15,15
1460736082,15,15
1460739692,16,16
1460743284,17,17
1460746909,17,17
1460750495,16,16
1460757679,17,17
1460761295,17,17
1460764909,20,20
1460768508,20,20
1460779307,19,19
1460782889,17,17
1460786504,18,18
1460790080,17,17
1460793680,16,16
1460797303,15,15
1460804475,16,16
1460808101,14,14
1460811677,13,13
1460815301,12,12
1460818889,13,13
1460822502,14,14
1460826093,18,18
1460829701,16,16
1460840477,14,14
1460847703,14,14
1460851336,13,13
1460854905,15,15
1460858601,16,16
1460862084,17,17
1460865709,19,19
1460869281,17,17
1460872887,19,19
1460876476,16,16
1460883681,16,16
1460887285,14,14
1460890881,13,13
1460894486,15,15
1460898133,11,11
1460901701,15,15
1460905291,16,16
1460908886,16,16
1460916083,13,13
1460919687,14,14
1460923280,16,16
1460926874,17,17
1460930506,16,16
1460934089,17,17
1460937680,13,13
1460944942,12,12
1460948507,14,14
1460952092,15,15
1460955685,17,17
1460962884,18,18
1460966483,17,17
1460970107,18,18
1460973692,20,20
1460977291,17,17
1460980880,16,16
1460984507,14,14
1460988109,12,12
1460991685,11,11
1460995287,16,16
1460998893,15,15
1461002495,17,17
1461009706,16,16
1461013280,16,16
1461016956,15,15
1461020509,14,14
1461024126,17,17
1461027738,17,17
1461031278,18,18
1461038540,16,16
1461042114,11,11
1461045693,14,14
1461049281,14,14
1461056491,14,14
1461060091,15,15
1461063684,13,13
1461067292,13,13
1461074484,11,11
1461081677,12,12
1461085283,16,16
1461096092,15,15
1461099678,14,14
1461103286,14,14
1461106882,16,16
1461110540,13,13
1461114092,12,12
1461117724,11,11
1461121339,12,12
1461124884,14,14
1461128541,17,17
1461132108,16,16
1461135683,18,18
1461139294,16,16
1461142908,14,14
1461160907,15,15
1461168085,17,17
1461171678,17,17
1461175283,15,15
1461178908,13,13
1461182494,12,12
1461186081,13,13
1461189746,16,16
1461193288,15,15
1461200502,14,14
1461204077,16,16
1461207679,16,16
1461211282,18,18
1461218486,19,19
1461222079,16,16
1461225682,14,14
1461229298,12,12
1461232908,14,14
1461240139,16,16
1461243679,15,15
1461247298,16,16
1461250887,15,15
1461254478,14,14
1461258088,13,13
1461261684,15,15
1461268909,16,16
1461276141,13,13
1461279707,16,16
1461286887,15,15
1461294093,13,13
1461297742,13,13
1461301290,14,14
1461304899,16,16
1461308486,15,15
1461312095,16,16
1461315693,17,17
1461319308,16,16
1461322878,18,18
1461326492,17,17
1461330077,14,14
1461333679,17,17
1461337295,16,16
1461344487,17,17
1461348108,15,15
1461351741,14,14
1461355311,16,16
1461358895,15,15
1461362478,15,15
1461366109,14,14
1461369734,11,11
1461376998,11,11
1461380477,14,14
1461391279,13,13
1461394902,13,13
1461402076,12,12
1461405734,10,10
1461409289,13,13
1461416534,14,14
1461420102,15,15
1461423702,14,14
1461427275,17,17
1461430877,16,16
1461434502,15,15
1461438096,15,15
1461441687,14,14
1461445284,14,14
1461448909,15,15
1461452481,18,18
1461456135,19,19
1461459718,18,18
1461463397,17,17
1461466935,12,12
1461470534,13,13
1461474076,12,12
1461477702,12,12
1461481302,11,11
1461484872,16,16
1461492075,17,17
1461495679,16,16
1461499288,16,16
1461502872,12,12
1461506478,14,14
1461510103,11,11
1461513685,13,13
1461517284,14,14
1461520902,15,15
1461528089,17,17
1461535304,15,15
1461538997,17,17
1461542541,17,17
1461549805,15,15
1461556885,15,15
1461560619,16,16
1461564141,14,14
1461567692,15,15
1461571298,12,12
1461574879,13,13
1461578539,15,15
1461582106,15,15
1461585685,16,16
1461589280,14,14
1461592880,13,13
1461596487,12,12
1461600092,13,13
1461610905,15,15
1461614506,14,14
1461618139,15,15
1461625286,13,13
1461628911,12,12
1461632512,13,13
1461636100,15,15
1461639687,14,14
1461643286,16,16
1461646880,14,14
1461657683,13,13
1461661279,14,14
1461664892,12,12
1461668489,18,18
1461675680,16,16
1461682886,12,12
1461686482,14,14
1461690080,14,14
1461693694,15,15
1461697305,16,16
1461700883,12,12
1461704484,11,11
1461708131,14,14
1461711742,14,14
1461715292,16,16
1461718897,15,15
1461722504,16,16
1461726079,14,14
1461729686,13,13
1461733276,14,14
1461736909,13,13
1461740507,14,14
1461744088,17,17
1461747683,14,14
1461751308,15,15
