DateTime,Entries,UniqueIPs
1461844620,1232,1232
1461846530,1243,1243
1461848460,1251,1251
1461850501,1263,1263
1461852527,1235,1235
1461854441,1241,1241
1461856373,1238,1238
1461858294,1237,1237
1461860214,1231,1231
1461862158,1232,1232
1461864043,1232,1232
1461865971,1223,1223
1461867878,1227,1227
1461869816,1230,1230
1461871730,1227,1227
1461873651,1238,1238
1461875584,1235,1235
1461877725,1232,1232
1461879661,1235,1235
1461881574,1229,1229
1461883495,1231,1231
1461885421,1232,1232
1461887346,1234,1234
1461889256,1234,1234
1461891172,1230,1230
1461893088,1235,1235
1461895026,1243,1243
1461896959,1231,1231
1461899138,1080,1080
1461900979,1085,1085
1461902998,1089,1089
1461904821,1095,1095
1461906743,1091,1091
1461908657,1100,1100
1461910573,1098,1098
1461912498,1096,1096
1461914428,1090,1090
1461916331,1090,1090
1461918254,1025,1025
1461920197,1032,1032
1461922099,1031,1031
1461924025,1026,1026
1461925939,1026,1026
1461927848,1032,1032
1461929769,1029,1029
1461931702,1018,1018
1461933880,1011,1011
1461935787,1008,1008
1461937699,1007,1007
1461939631,1003,1003
1461941533,1009,1009
1461943461,1002,1002
1461945380,1010,1010
1461947309,1014,1014
1461949235,1008,1008
1461951139,1010,1010
1461953051,1009,1009
1461954974,1012,1012
1461956898,1000,1000
1461958830,998,998
1461960737,987,987
1461962654,996,996
1461964600,994,994
1461966518,990,990
1461968435,988,988
1461970361,990,990
1461972273,979,979
1461974185,974,974
1461976130,967,967
1461978045,976,976
1461979973,974,974
1461981870,963,963
1461983802,964,964
1461985719,963,963
1461987634,964,964
1461989560,959,959
1461991465,963,963
1461993413,960,960
1461995319,964,964
1461997229,962,962
1461999155,969,969
1462001066,969,969
1462003012,970,970
1462004908,921,921
1462006847,915,915
1462008650,905,905
1462010478,910,910
1462012378,904,904
1462014289,901,901
1462016202,904,904
1462018147,899,899
1462020049,900,900
1462022164,904,904
1462024138,901,901
1462026054,896,896
1462028139,898,898
1462030136,902,902
1462032122,904,904
1462033988,904,904
1462036084,903,903
1462038399,910,910
1462040281,904,904
1462042218,908,908
1462044059,897,897
1462045995,899,899
1462047905,889,889
1462049842,881,881
1462051745,880,880
1462053787,885,885
1462055811,889,889
1462057730,888,888
1462059653,891,891
1462061612,888,888
1462063479,862,862
1462065428,851,851
1462067326,854,854
1462069261,844,844
1462071162,871,871
1462073083,878,878
1462075022,882,882
1462076945,889,889
1462078856,889,889
1462080783,883,883
1462082683,1031,1031
1462084630,1034,1034
1462086538,1032,1032
1462088443,1028,1028
1462090407,1002,1002
1462092292,1005,1005
1462094512,1321,1321
1462096376,1324,1324
1462098283,1322,1322
1462100213,1325,1325
1462102122,1327,1327
1462104054,1331,1331
1462105967,1331,1331
1462107877,1329,1329
1462109820,1329,1329
1462111733,1325,1325
1462113663,1327,1327
1462115588,1327,1327
1462117482,1330,1330
1462119423,1328,1328
1462121337,1337,1337
1462123382,1335,1335
1462125405,1343,1343
1462127331,1345,1345
1462129265,1347,1347
1462131329,1353,1353
1462133352,1350,1350
1462135265,1363,1363
1462137184,1369,1369
1462139093,1375,1375
1462141008,1373,1373
1462142940,1373,1373
1462144846,1381,1381
1462146776,1384,1384
1462148695,1380,1380
1462150610,1380,1380
1462152531,1380,1380
1462154479,1385,1385
1462156366,1385,1385
1462158291,1359,1359
