DateTime,AddedIPs,RemovedIPs
1462037549,0,1
1462038383,3,8
1462039259,3,1
1462039943,1,0
1462040657,0,2
1462041379,11,5
1462042209,5,11
1462042830,11,5
1462044974,5,11
1462045708,11,6
1462046488,0,1
1462047154,7,11
1462047895,12,8
1462048597,8,12
1462049304,13,7
1462050019,1,1
1462054584,1,1
1462056746,7,11
1462057461,2,4
1462058183,15,9
1462058892,9,15
1462061052,15,9
1462061772,9,15
1462062512,15,10
1462063213,2,1
1462063955,9,15
1462065419,2,2
1462066826,17,11
1462067543,11,17
1462068251,17,11
1462069946,11,18
1462071383,17,11
1462072108,1,2
1462072807,13,16
1462075014,16,11
1462075734,11,16
1462076415,16,11
1462077137,11,17
1462078589,16,11
1462079313,11,16
1462080024,1,0
1462080775,16,11
1462083159,11,16
1462083847,16,11
1462084622,11,17
1462085305,16,11
1462086027,11,16
1462086738,1,0
1462087463,16,11
1462088180,11,16
1462089687,16,11
1462091048,11,16
1462092494,16,12
1462094674,11,16
1462096829,16,11
1462097552,11,16
1462098990,16,12
1462099704,11,16
1462101146,16,11
1462104046,11,16
1462104772,16,11
1462106188,1,1
1462107623,12,15
1462108338,1,0
1462110519,15,11
1462114093,11,14
1462115572,15,11
1462117698,0,1
1462118449,16,24
1462119143,24,16
1462122747,16,24
1462123367,24,16
1462124897,16,24
1462126395,1,0
1462127053,1,1
1462128504,24,17
1462129250,1,1
1462132112,18,24
1462132818,23,18
1462134246,17,23
1462134978,23,17
1462137855,2,0
1462138584,1,1
1462139297,17,23
1462140020,24,18
1462140749,17,23
1462141457,23,17
1462142179,17,23
1462145052,1,0
1462146497,1,1
1462147242,22,17
1462149388,17,22
1462150094,22,17
1462150837,17,22
1462152250,22,17
1462155143,17,22
1462156592,1,1
1462158749,1,1
1462160210,22,16
1462160878,16,22
1462163776,22,16
1462164761,16,22
1462165445,22,16
1462167053,16,21
1462167846,1,1
1462168885,2,0
1462169548,21,16
1462170247,16,21
1462171697,21,16
1462173144,16,21
1462175772,5,11
1462177216,2,0
1462179382,0,1
1462182972,1,1
1462189446,2,3
1462192329,1,0
1462193778,1,0
1462195209,0,1
1462196645,2,1
1462198815,1,1
1462200981,1,3
1462201710,5,1
1462203141,1,5
1462205305,8,1
1462206020,3,5
1462207460,6,1
1462208192,2,6
1462209815,6,1
1462210588,2,13
1462211302,13,2
1462212030,3,13
1462213224,0,1
1462220920,3,1
1462221862,1,1
1462222570,1,0
1462223539,2,3
1462224246,3,1
1462225706,1,3
1462226420,3,1
1462227131,1,3
1462227849,3,1
1462228585,1,5
1462230017,5,1
1462230760,1,0
1462231460,1,1
1462232901,2,1
1462233620,1,5
1462235780,6,1
1462237238,1,5
1462238647,5,1
1462239381,1,5
1462240111,1,0
1462240825,6,1
1462243005,3,12
1462243708,13,4
1462245135,4,13
1462245852,1,0
1462246582,13,4
1462247303,4,13
1462248505,0,1
1462249951,14,4
1462251384,4,14
1462252133,15,4
1462252815,4,14
1462253555,14,4
1462254987,4,14
1462255695,1,0
1462257144,14,4
1462258571,4,14
1462259317,14,4
1462260747,1,1
1462262173,5,15
1462262898,1,0
1462265581,2,5
1462267215,1,0
1462267953,1,0
1462269400,0,2
1462270096,2,0
1462270841,0,2
1462272249,3,0
1462274410,1,0
1462275139,0,3
1462275848,3,0
1462276602,0,3
1462277320,4,0
1462279449,0,5
1462280179,6,0
1462280897,0,5
1462281616,5,0
1462282387,0,5
1462283077,5,0
1462283782,0,5
1462284504,5,0
1462286653,1,0
1462287380,1,5
1462288131,6,0
1462288838,1,1
1462289543,2,0
1462290243,1,6
1462290917,1,1
1462291705,5,0
1462293147,0,5
1462293865,5,0
1462294589,0,5
1462296020,5,0
1462296780,0,1
