DateTime,Entries,UniqueIPs
1462364032,5651,5651
1462364649,5663,5663
1462365379,5672,5672
1462366012,5659,5659
1462366988,5658,5658
1462367918,5665,5665
1462368879,5665,5665
1462369805,5674,5674
1462370430,5669,5669
1462371154,5651,5651
1462371761,5656,5656
1462372602,5657,5657
1462373296,5719,5719
1462374078,5744,5744
1462374756,5741,5741
1462375458,5755,5755
1462376173,5751,5751
1462376837,5748,5748
1462377638,5756,5756
1462378356,5752,5752
1462379054,5754,5754
1462379815,5756,5756
1462380505,5772,5772
1462381228,5764,5764
1462381941,5780,5780
1462382673,5800,5800
1462383395,5786,5786
1462384111,5771,5771
1462384835,5772,5772
1462385578,5783,5783
1462386258,5795,5795
1462386986,5785,5785
1462387711,5778,5778
1462388432,5772,5772
1462389148,5783,5783
1462389862,5774,5774
1462390576,5791,5791
1462391436,5793,5793
1462392270,5785,5785
1462392986,5794,5794
1462393717,5779,5779
1462394415,5787,5787
1462395168,5787,5787
1462395857,5765,5765
1462396602,5781,5781
1462397487,5772,5772
1462398256,5750,5750
1462398971,5742,5742
1462399703,5755,5755
1462400425,5748,5748
1462401153,5753,5753
1462401866,5759,5759
1462402576,5748,5748
1462403327,5736,5736
1462404021,5739,5739
1462404752,5728,5728
1462405356,5735,5735
1462406177,5696,5696
1462406896,5702,5702
1462407652,5705,5705
1462408348,5710,5710
1462409082,5709,5709
1462409793,5704,5704
1462410509,5703,5703
1462411224,5690,5690
1462411958,5692,5692
1462412651,5715,5715
1462413403,5698,5698
1462414100,5710,5710
1462414851,5699,5699
1462415546,5704,5704
1462416251,5686,5686
1462416985,5699,5699
1462417704,5704,5704
1462418412,5707,5707
1462419156,5708,5708
1462419852,5695,5695
1462420604,5699,5699
1462421301,5690,5690
1462422011,5692,5692
1462422743,5696,5696
1462423454,5682,5682
1462424183,5679,5679
1462424921,5673,5673
1462425621,5674,5674
1462426388,5657,5657
1462427054,5659,5659
1462427772,5651,5651
1462428504,5649,5649
1462429308,5666,5666
1462429975,5651,5651
1462430649,5655,5655
1462431379,5669,5669
1462432123,5666,5666
1462432834,5669,5669
1462433547,5650,5650
1462434249,5658,5658
1462434973,5664,5664
1462435709,5657,5657
1462436421,5665,5665
1462437150,5678,5678
1462437893,5683,5683
1462438583,5667,5667
1462439309,5686,5686
1462440010,5698,5698
1462440750,5709,5709
1462441530,5709,5709
1462442178,5709,5709
1462442914,5709,5709
1462443659,5714,5714
1462444352,5718,5718
1462445050,5732,5732
1462445784,5744,5744
1462446516,5714,5714
1462447213,5720,5720
1462447941,5708,5708
1462448654,5715,5715
1462449420,5740,5740
1462450112,5712,5712
1462450819,5742,5742
1462451542,5735,5735
1462452252,5738,5738
1462452992,5739,5739
1462453705,5744,5744
1462454423,5751,5751
1462455206,5746,5746
1462455861,5741,5741
1462456580,5748,5748
1462457310,5725,5725
1462458010,5718,5718
1462458741,5714,5714
1462459464,5709,5709
1462460182,5715,5715
1462460931,5699,5699
1462461613,5719,5719
1462462340,5709,5709
1462463087,5713,5713
1462463837,5685,5685
1462464498,5708,5708
1462465221,5736,5736
1462465942,5752,5752
1462466667,5765,5765
1462467380,5770,5770
1462468099,5751,5751
1462468847,5751,5751
1462469543,5775,5775
1462470252,5776,5776
1462470982,5780,5780
1462471711,5769,5769
1462472622,5792,5792
1462473386,5780,5780
1462474096,5786,5786
1462474827,5761,5761
1462475546,5773,5773
1462476267,5774,5774
1462476977,5781,5781
1462477707,5781,5781
1462478474,5779,5779
1462479150,5772,5772
1462479854,5763,5763
1462480470,5756,5756
1462481297,5760,5760
1462482033,5742,5742
1462482752,5748,5748
1462483455,5749,5749
1462484222,5752,5752
1462484910,5737,5737
1462485628,5731,5731
1462486349,5723,5723
1462487054,5715,5715
1462487787,5714,5714
1462488498,5694,5694
1462489233,5667,5667
1462489985,5685,5685
1462490655,5700,5700
1462491374,5696,5696
1462492100,5682,5682
1462492837,5688,5688
