DateTime,AddedIPs,RemovedIPs
1462326127,2,4
1462328045,4,2
1462328886,1,0
1462329727,1,2
1462330566,1,0
1462331645,0,4
1462332485,2,0
1462335247,3,3
1462336086,4,0
1462336926,3,3
1462338606,4,1
1462339685,2,0
1462340525,1,1
1462342215,0,2
1462343287,1,0
1462344125,3,2
1462345758,0,2
1462347729,1,2
1462349414,0,2
1462350486,2,1
1462351326,1,2
1462353005,0,3
1462354086,1,0
1462354926,0,2
1462355766,2,0
1462356615,1,2
1462357685,3,0
1462359366,2,0
1462360207,0,3
1462362126,1,1
1462362967,2,0
1462363815,4,3
1462364887,3,1
1462365725,2,3
1462367387,2,4
1462368487,2,1
1462369327,2,2
1462370167,1,1
1462371014,0,2
1462372085,4,0
1462372928,3,6
1462374015,5,2
1462374846,2,0
1462375686,2,0
1462376526,2,8
1462378214,2,1
1462379286,1,1
1462380126,3,3
1462380966,1,0
1462381807,3,4
1462382885,3,0
1462383727,1,0
1462384565,1,0
1462385414,2,4
1462387326,1,1
1462388165,2,0
1462390085,1,0
1462390926,1,1
1462391766,1,0
1462392615,3,2
1462394525,0,1
1462396447,4,2
1462397287,4,0
1462398127,2,2
1462400047,4,3
1462400887,1,0
1462401726,0,5
1462403405,1,2
1462403647,1,0
1462404607,1,2
1462406165,4,0
1462407014,0,2
1462408085,3,0
1462408925,23,6
1462409766,3,0
1462410607,1,2
1462411686,2,0
1462412527,0,5
1462414447,3,1
1462415286,2,0
1462416126,3,4
1462416965,3,0
1462417806,1,4
1462418886,3,0
1462419726,2,2
1462420565,1,1
1462421414,1,5
1462422487,1,0
1462423327,1,2
1462424166,1,0
1462426087,0,1
1462426926,0,2
1462427766,2,0
1462428845,0,2
1462429687,1,0
1462430527,0,1
1462432208,1,3
1462433286,1,0
1462434126,1,3
1462434965,1,0
1462435814,0,1
1462437725,4,4
1462439645,2,0
1462441325,1,3
1462443245,3,4
1462444087,1,0
1462444926,0,2
1462445765,3,0
1462446608,1,0
1462447685,1,0
1462448525,1,2
1462449367,1,0
1462450215,2,6
1462451285,2,0
1462452125,0,4
1462452966,2,0
1462453806,2,0
1462454885,2,1
1462455725,1,0
1462457414,3,3
1462458485,5,0
1462459325,0,7
1462460165,2,0
1462461006,1,1
1462462085,2,0
1462462927,0,2
1462463766,1,0
1462464615,2,1
1462465686,2,0
1462466525,0,1
1462467366,1,0
1462468207,3,5
1462469285,2,0
1462470127,0,2
1462470968,1,0
1462471783,1,5
1462472886,2,0
1462473727,0,5
1462475645,3,3
1462476608,2,3
1462478168,0,1
1462478964,2,5
1462480085,1,0
1462480926,3,5
1462481767,1,0
1462482607,2,2
1462483685,1,0
1462484526,2,4
1462485366,1,0
1462486215,1,2
1462488126,2,2
1462489806,5,0
1462491725,3,3
1462492565,2,1
1462492817,1,2
1462493645,1,1
1462494488,1,0
1462495327,1,2
1462496165,1,0
1462497246,3,4
1462498086,1,0
1462498927,3,4
1462500615,3,2
1462501686,1,0
1462502525,1,2
1462503366,1,1
1462504205,2,4
1462505406,3,2
1462506965,1,0
1462507815,2,4
1462508885,5,0
1462509725,0,3
1462511406,0,2
1462512487,1,0
1462513326,2,1
1462514165,3,0
1462515015,1,0
1462516085,1,0
1462518847,1,2
1462519685,2,1
1462520525,0,1
1462521366,3,0
1462522215,6,0
1462523285,4,0
1462524126,2,0
1462524966,3,0
1462525805,2,3
1462526885,7,0
1462527725,0,4
1462529647,9,2
1462530486,5,1
1462531325,2,2
1462532165,2,0
1462533006,0,3
1462534085,3,0
1462534927,1,6
1462535766,2,0
1462536615,0,3
1462537685,1,1
