DateTime,Entries,UniqueIPs
1462267687,9330,9330
1462268526,9327,9327
1462270447,9325,9325
1462271286,9327,9327
1462272127,9327,9327
1462273807,9326,9326
1462274887,9328,9328
1462275727,9327,9327
1462276567,9327,9327
1462277415,9326,9326
1462278486,9329,9329
1462280165,9333,9333
1462281009,9336,9336
1462282088,9340,9340
1462282927,9342,9342
1462283766,9344,9344
1462284615,9344,9344
1462286525,9345,9345
1462287569,9343,9343
1462288447,9345,9345
1462289406,9345,9345
1462290125,9346,9346
1462290965,9345,9345
1462291815,9342,9342
1462292885,9342,9342
1462293726,9340,9340
1462295406,9336,9336
1462297327,9337,9337
1462299014,9336,9336
1462300085,9339,9339
1462300927,9338,9338
1462301764,9339,9339
1462302607,9338,9338
1462303686,9339,9339
1462304525,9339,9339
1462305368,9341,9341
1462306215,9340,9340
1462307285,9344,9344
1462308126,9347,9347
1462308965,9348,9348
1462309807,9349,9349
1462310884,9353,9353
1462311725,9353,9353
1462313415,9355,9355
1462314485,9356,9356
1462317245,9354,9354
1462318924,9353,9353
1462320614,9352,9352
1462321685,9354,9354
1462322525,9343,9343
1462323366,9344,9344
1462324446,9342,9342
1462325287,9343,9343
1462326127,9341,9341
1462328045,9343,9343
1462328886,9344,9344
1462329727,9343,9343
1462330566,9344,9344
1462331645,9340,9340
1462332485,9342,9342
1462335247,9342,9342
1462336086,9346,9346
1462336926,9346,9346
1462338606,9349,9349
1462339685,9351,9351
1462340525,9351,9351
1462342215,9349,9349
1462343287,9350,9350
1462344125,9351,9351
1462345758,9349,9349
1462347729,9348,9348
1462349414,9346,9346
1462350486,9347,9347
1462351326,9346,9346
1462353005,9343,9343
1462354086,9344,9344
1462354926,9342,9342
1462355766,9344,9344
1462356615,9343,9343
1462357685,9346,9346
1462359366,9348,9348
1462360207,9345,9345
1462362126,9345,9345
1462362967,9347,9347
1462363815,9348,9348
1462364887,9350,9350
1462365725,9349,9349
1462367387,9347,9347
1462368487,9348,9348
1462369327,9348,9348
1462370167,9348,9348
1462371014,9346,9346
1462372085,9350,9350
1462372928,9347,9347
1462374015,9350,9350
1462374846,9352,9352
1462375686,9354,9354
1462376526,9348,9348
1462378214,9349,9349
1462379286,9349,9349
1462380126,9349,9349
1462380966,9350,9350
1462381807,9349,9349
1462382885,9352,9352
1462383727,9353,9353
1462384565,9354,9354
1462385414,9352,9352
1462387326,9352,9352
1462388165,9354,9354
1462390085,9355,9355
1462390926,9355,9355
1462391766,9356,9356
1462392615,9357,9357
1462394525,9356,9356
1462396447,9358,9358
1462397287,9362,9362
1462398127,9362,9362
1462400047,9363,9363
1462400887,9364,9364
1462401726,9359,9359
1462403405,9358,9358
1462403647,9359,9359
1462404607,9358,9358
1462406165,9362,9362
1462407014,9360,9360
1462408085,9363,9363
1462408925,9380,9380
1462409766,9383,9383
1462410607,9382,9382
1462411686,9384,9384
1462412527,9379,9379
1462414447,9381,9381
1462415286,9383,9383
1462416126,9382,9382
1462416965,9385,9385
1462417806,9382,9382
1462418886,9385,9385
1462419726,9385,9385
1462420565,9385,9385
1462421414,9381,9381
1462422487,9382,9382
1462423327,9381,9381
1462424166,9382,9382
1462426087,9381,9381
1462426926,9379,9379
1462427766,9381,9381
1462428845,9379,9379
1462429687,9380,9380
1462430527,9379,9379
1462432208,9377,9377
1462433286,9378,9378
1462434126,9376,9376
1462434965,9377,9377
1462435814,9376,9376
1462437725,9376,9376
1462439645,9378,9378
1462441325,9376,9376
1462443245,9375,9375
1462444087,9376,9376
1462444926,9374,9374
1462445765,9377,9377
1462446608,9378,9378
1462447685,9379,9379
1462448525,9378,9378
1462449367,9379,9379
1462450215,9375,9375
1462451285,9377,9377
1462452125,9373,9373
1462452966,9375,9375
1462453806,9377,9377
1462454885,9378,9378
1462455725,9379,9379
1462457414,9379,9379
1462458485,9384,9384
1462459325,9377,9377
1462460165,9379,9379
1462461006,9379,9379
1462462085,9381,9381
1462462927,9379,9379
1462463766,9380,9380
1462464615,9381,9381
1462465686,9383,9383
1462466525,9382,9382
1462467366,9383,9383
1462468207,9381,9381
1462469285,9383,9383
1462470127,9381,9381
1462470968,9382,9382
1462471783,9378,9378
1462472886,9380,9380
1462473727,9375,9375
1462475645,9375,9375
1462476608,9374,9374
1462478168,9373,9373
1462478964,9370,9370
1462480085,9371,9371
1462480926,9369,9369
1462481767,9370,9370
1462482607,9370,9370
1462483685,9371,9371
1462484526,9369,9369
1462485366,9370,9370
1462486215,9369,9369
1462488126,9369,9369
1462489806,9374,9374
1462491725,9374,9374
1462492565,9375,9375
1462492817,9374,9374
1462493645,9374,9374
1462494488,9375,9375
1462495327,9374,9374
1462496165,9375,9375
1462497246,9374,9374
1462498086,9375,9375
1462498927,9374,9374
1462500615,9375,9375
1462501686,9376,9376
1462502525,9375,9375
1462503366,9375,9375
1462504205,9373,9373
1462505406,9374,9374
1462506965,9375,9375
1462507815,9373,9373
1462508885,9378,9378
1462509725,9375,9375
1462511406,9373,9373
1462512487,9374,9374
1462513326,9375,9375
1462514165,9378,9378
1462515015,9379,9379
1462516085,9380,9380
