DateTime,AddedIPs,RemovedIPs
1462370168,9,0
1462371016,11,16
1462372086,7,0
1462372929,4,9
1462373767,6,0
1462374019,5,7
1462374847,4,0
1462375688,14,0
1462376528,8,16
1462377368,4,0
1462378215,5,26
1462379287,11,0
1462380127,4,13
1462380968,8,0
1462381808,6,10
1462382887,6,0
1462383728,9,10
1462384567,2,0
1462385416,4,13
1462386488,7,0
1462387328,7,16
1462388167,8,0
1462389007,9,19
1462390087,9,0
1462390927,9,17
1462391767,4,1
1462392616,6,14
1462393688,11,0
1462394527,8,9
1462396449,18,12
1462397288,8,0
1462398128,8,13
1462400048,20,19
1462400888,11,1
1462401728,8,14
1462402567,9,0
1462403407,6,12
1462403648,1,0
1462404609,9,14
1462405326,6,0
1462406166,5,0
1462407016,8,14
1462408086,10,1
1462408927,9,11
1462409767,7,0
1462410608,3,18
1462411688,8,0
1462412528,9,11
1462413368,7,0
1462414447,11,13
1462415288,2,0
1462416127,4,16
1462416967,9,0
1462417808,8,15
1462418887,6,0
1462419727,5,10
1462420566,6,0
1462421415,6,9
1462422488,11,0
1462423328,10,13
1462424167,9,1
1462425008,6,14
1462426088,12,0
1462426928,6,9
1462427767,9,1
1462428847,10,12
1462429688,7,0
1462430528,2,13
1462431368,6,0
1462432209,8,13
1462433287,9,0
1462434127,4,10
1462434966,8,0
1462435816,3,8
1462436886,6,0
1462437726,6,15
1462438567,9,0
1462439647,4,21
1462440488,10,0
1462441327,1,10
1462443246,16,15
1462444088,6,0
1462444928,9,13
1462445766,5,0
1462446610,4,22
1462447686,6,0
1462448526,3,12
1462449368,7,0
1462450216,6,23
1462451286,11,0
1462452127,10,11
1462452967,3,0
1462453807,6,11
1462454887,7,0
1462455726,7,11
1462456568,7,0
1462457416,6,14
1462458486,14,0
1462459328,16,17
1462460167,5,0
1462461008,10,15
1462462086,12,0
1462462929,6,14
1462463768,7,1
1462464616,3,15
1462465687,5,0
1462466527,9,12
1462467367,12,1
1462468209,8,15
1462469287,17,1
1462470128,8,14
1462470970,9,1
1462471784,11,12
1462472887,12,0
1462473728,12,13
1462475646,25,19
1462476610,11,19
1462477328,11,0
1462478169,14,0
1462478965,13,17
1462480087,9,0
1462480927,15,19
1462481769,15,1
1462482609,17,13
1462483687,16,0
1462484528,11,17
1462485368,9,0
1462486216,7,6
1462487287,13,0
1462488128,8,19
1462488968,12,0
1462489807,9,18
1462491726,26,22
1462492568,7,0
1462492820,3,22
1462493646,9,0
1462494489,10,1
1462495328,5,21
1462496166,3,0
1462497247,11,13
1462498088,8,0
1462498928,15,15
1462499768,8,2
1462500616,9,20
1462501687,11,0
1462502527,14,21
1462503368,10,0
1462504206,16,21
1462504447,4,0
1462505407,12,9
1462506127,9,1
1462506966,8,0
1462507816,8,22
1462508886,11,1
1462509726,8,18
1462510567,6,0
1462511407,6,16
1462512488,13,0
1462513327,7,17
1462514167,11,0
1462515016,4,15
1462516087,6,0
1462516927,6,16
1462518848,18,21
1462519687,11,0
1462520527,12,7
1462521368,8,0
1462522216,8,29
1462523287,9,1
1462524127,11,14
1462524968,6,0
1462525806,5,28
1462526886,10,1
1462527727,16,15
1462529648,18,16
1462530487,6,0
1462531326,7,18
1462532167,9,0
1462533007,8,18
1462534086,9,0
1462534928,3,14
1462535767,13,1
1462536616,6,23
1462537686,9,1
1462538526,5,5
1462539367,5,0
1462540207,3,42
1462541287,6,0
1462542127,8,23
1462543053,11,0
1462544047,5,12
1462544887,7,0
1462545726,10,26
1462546691,6,12
1462547647,7,0
1462548486,5,0
1462549326,2,15
1462550166,4,0
1462551015,10,8
1462552087,8,0
1462552926,4,10
1462553767,3,0
1462554607,8,7
1462554846,2,0
1462555807,8,7
1462556526,5,1
1462557366,3,1
1462558446,12,13
1462559288,2,0
1462560127,7,15
1462560967,5,0
1462561764,4,13
1462562870,3,0
1462563726,5,15
1462564566,8,0
1462565390,8,18
1462566486,8,0
1462567327,7,18
1462568167,10,0
1462568978,9,20
1462570086,4,1
1462573687,22,27
1462574528,13,14
1462575366,8,0
1462576206,2,16
1462577286,6,0
1462578126,4,12
1462578966,6,0
1462579816,8,11
1462580886,7,0
1462581726,5,9
1462582565,4,0
1462583407,6,14
1462584607,3,11
1462585508,8,0
1462586166,9,1
1462587246,7,18
1462588086,11,0
1462588926,9,12
1462589767,10,0
1462590606,4,11
1462590846,2,0
1462591807,7,13
1462592525,2,0
1462593366,6,0
1462594215,7,16
1462595286,6,0
1462596126,3,17
1462596966,8,0
1462597217,4,17
1462598046,5,0
1462598886,7,0
1462599726,6,15
1462600566,3,0
1462601415,6,10
1462602487,4,1
1462603326,6,16
1462604166,3,0
1462605006,14,8
1462606087,9,1
1462606927,3,8
1462608846,12,10
1462609687,8,1
1462610526,4,16
1462611367,5,0
1462612206,4,16
1462612446,1,0
1462613399,5,18
1462614127,3,0
1462614966,5,1
1462615815,5,18
1462616886,7,0
1462617727,6,13
1462618567,2,1
1462619407,6,13
1462620486,9,0
1462621327,2,16
1462623246,8,15
1462624086,4,0
1462624927,2,12
1462626845,11,15
1462627687,6,0
1462628526,2,28
1462629367,3,0
1462630168,4,20
1462631288,5,0
1462632127,3,16
1462632966,5,0
1462633806,2,15
1462634885,7,0
1462635726,4,4
1462636567,6,0
1462637647,3,15
1462638486,2,0
1462639327,3,13
1462640166,14,0
1462640993,5,6
1462642926,3,13
1462643766,8,0
1462644615,10,17
1462645686,7,0
1462646526,5,9
1462647366,3,0
1462648205,6,10
1462649287,6,0
1462650127,5,14
1462650966,4,1
1462651815,4,17
1462652886,9,0
1462653726,3,28
1462654567,3,2
1462655407,2,12
1462656487,7,0
1462657326,3,14
1462659247,9,17
1462660205,9,16
1462660926,4,0
1462661766,5,0
1462662606,1,18
1462662847,3,0
1462663808,8,14
1462664527,1,0
1462665366,7,0
1462666216,3,5
1462667287,7,0
1462668127,6,14
1462668967,9,0
1462669807,4,18
1462670049,3,0
1462671006,6,16
1462671726,5,0
1462672568,6,0
1462673415,5,24
1462674487,7,0
1462675326,1,24
1462676167,4,0
1462677006,3,16
1462678086,8,0
1462678926,8,10
1462679767,3,1
1462680615,4,10
1462681686,8,1
1462682526,3,12
1462683365,4,0
1462684206,6,13
1462685286,4,0
1462686126,1,12
1462686966,2,0
1462688046,3,11
1462688887,3,0
1462689726,6,24
1462690566,7,0
1462691406,6,17
1462691645,2,0
1462692606,7,12
1462693325,3,0
1462694166,3,0
1462695015,4,13
1462696086,4,0
1462696926,3,15
1462697766,2,0
1462698606,4,21
1462699686,8,0
1462700526,4,9
1462701616,3,17
1462702446,4,1
1462703285,4,1
1462704126,7,13
1462704967,4,0
1462705807,4,14
1462706047,2,0
1462707007,5,17
1462707727,7,0
1462708625,7,0
1462709645,3,13
1462710486,2,0
1462711326,5,11
1462712166,7,0
1462713006,3,18
1462714087,6,2
1462714926,4,14
1462715766,9,1
1462716615,7,10
1462717687,8,0
1462718527,5,14
1462719366,3,0
1462720207,5,10
1462720447,1,0
1462721406,11,10
1462722126,6,0
1462722966,6,0
1462723815,4,7
1462724886,7,0
1462725727,4,9
1462726567,7,0
1462727407,6,6
1462728487,6,0
1462730166,12,16
1462731015,10,12
1462732087,7,0
1462732932,6,1
1462733766,6,0
1462734606,5,24
1462735686,4,0
1462736528,3,12
1462737366,6,0
1462738215,8,16
1462739287,5,1
1462740125,5,11
1462740966,5,1
1462741806,4,13
1462742046,0,1
1462743007,5,14
1462743725,8,0
1462744814,4,22
1462745645,7,0
1462746486,9,0
1462747326,2,10
1462748166,8,1
1462749006,6,13
1462750086,8,0
1462750926,7,11
1462751766,2,0
1462752615,7,13
1462753687,7,0
1462754525,4,10
1462755366,9,0
1462756206,6,13
1462757286,7,0
1462758126,7,15
1462760046,20,24
1462760886,8,0
1462761726,7,14
1462762566,8,0
1462763405,6,11
1462764486,3,0
1462765327,3,14
1462766165,7,0
1462767015,5,10
1462768086,7,0
1462768926,7,15
1462769767,10,0
1462770607,3,10
1462771686,7,1
1462772527,6,7
1462773367,4,0
1462774216,5,9
1462775287,11,0
1462776125,4,21
1462776968,4,0
1462777220,0,12
1462778107,5,0
1462778886,7,2
1462779727,5,8
1462780566,4,0
1462781647,9,12
1462782486,5,0
1462783326,5,8
1462784166,4,0
1462785008,4,11
1462786086,5,0
1462786926,1,6
1462787766,7,0
1462788616,3,8
1462789686,6,0
1462790528,7,12
1462791366,2,1
1462792206,4,10
1462793286,17,1
1462794126,1,4
1462794966,2,0
1462795816,3,8
1462796887,5,0
1462797726,1,6
1462798567,7,1
1462799646,7,15
1462800486,4,0
1462801326,8,10
1462802166,4,0
1462803013,3,11
1462804087,10,0
1462804926,6,9
1462805766,8,0
1462806607,6,11
1462807688,13,0
1462808526,10,8
1462809367,6,0
1462810215,14,20
1462811286,13,1
1462812127,4,0
1462812967,2,1
1462813807,11,15
1462814887,11,0
1462815727,7,15
1462817646,14,10
1462818487,10,0
1462819326,5,12
1462820167,9,0
1462821007,10,8
1462822090,5,0
