DateTime,Entries,UniqueIPs
1462244166,1948,1948
1462245008,1943,1943
1462246086,1956,1956
1462246927,1956,1956
1462248846,1955,1955
1462249686,1961,1961
1462250527,1955,1955
1462251367,1958,1958
1462252449,1948,1948
1462253288,1955,1955
1462254968,1950,1950
1462255816,1942,1942
1462256888,1949,1949
1462257726,1941,1941
1462258569,1947,1947
1462259410,1942,1942
1462260488,1949,1949
1462261330,1945,1945
1462262166,1951,1951
1462263016,1944,1944
1462264088,1952,1952
1462264929,1945,1945
1462265768,1951,1951
1462266608,1946,1946
1462266848,1947,1947
1462267688,1954,1954
1462268527,1959,1959
1462270448,1961,1961
1462271287,1963,1963
1462272128,1951,1951
1462272968,1954,1954
1462273808,1950,1950
1462274889,1963,1963
1462275729,1956,1956
1462276568,1964,1964
1462277416,1957,1957
1462278487,1968,1968
1462280166,1982,1982
1462281010,1968,1968
1462282089,1978,1978
1462282928,1975,1975
1462283768,1982,1982
1462284616,1981,1981
1462285688,1987,1987
1462286526,1979,1979
1462287570,1980,1980
1462288449,1984,1984
1462289410,1980,1980
1462290127,1988,1988
1462290966,1992,1992
1462291817,1987,1987
1462292886,1995,1995
1462293728,1985,1985
1462294567,1989,1989
1462295407,1969,1969
1462296488,1975,1975
1462297328,1968,1968
1462298167,1982,1982
1462299015,1987,1987
1462300086,1991,1991
1462300928,1979,1979
1462301766,1984,1984
1462302608,1974,1974
1462303687,1979,1979
1462304526,1977,1977
1462305370,1984,1984
1462306216,1979,1979
1462307287,1988,1988
1462308128,1985,1985
1462308967,2000,2000
1462309809,1990,1990
1462310886,2001,2001
1462311726,1989,1989
1462312568,1998,1998
1462313416,1998,1998
1462314486,2014,2014
1462315327,2004,2004
1462317246,2010,2010
1462318086,2027,2027
1462318926,2019,2019
1462319767,2028,2028
1462320615,2023,2023
1462321687,2037,2037
1462322526,2038,2038
1462323367,2045,2045
1462324447,2043,2043
1462325288,2055,2055
1462326128,2041,2041
1462328046,2051,2051
1462328887,2052,2052
1462329728,2045,2045
1462330567,2050,2050
1462331646,2043,2043
1462332487,2056,2056
1462333328,2045,2045
1462335248,2040,2040
1462336087,2042,2042
1462336927,2034,2034
1462337768,2046,2046
1462338607,2040,2040
1462339686,2047,2047
1462340526,2046,2046
1462341367,2050,2050
1462342216,2044,2044
1462343289,2051,2051
1462344126,2045,2045
1462344969,2049,2049
1462345760,2038,2038
1462346887,2047,2047
1462347730,2037,2037
1462348568,2042,2042
1462349416,2003,2003
1462350487,2008,2008
1462351328,1999,1999
1462352167,2007,2007
1462353007,2001,2001
1462354087,2010,2010
1462354927,2008,2008
1462355767,2016,2016
1462356616,2016,2016
1462357687,2020,2020
1462358528,2018,2018
1462359368,2023,2023
1462360208,2023,2023
1462361287,2031,2031
1462362127,2025,2025
1462362969,2032,2032
1462363816,2017,2017
1462364888,2026,2026
1462365728,2026,2026
1462366568,2033,2033
1462367388,2030,2030
1462368488,2038,2038
1462369328,2034,2034
1462370168,2043,2043
1462371016,2038,2038
1462372086,2045,2045
1462372929,2040,2040
1462373767,2046,2046
1462374019,2044,2044
1462374847,2048,2048
1462375688,2062,2062
1462376528,2054,2054
1462377368,2058,2058
1462378215,2037,2037
1462379287,2048,2048
1462380127,2039,2039
1462380968,2047,2047
1462381808,2043,2043
1462382887,2049,2049
1462383728,2048,2048
1462384567,2050,2050
1462385416,2041,2041
1462386488,2048,2048
1462387328,2039,2039
1462388167,2047,2047
1462389007,2037,2037
1462390087,2046,2046
1462390927,2038,2038
1462391767,2041,2041
1462392616,2033,2033
1462393688,2044,2044
1462394527,2043,2043
1462396449,2049,2049
1462397288,2057,2057
1462398128,2052,2052
1462400048,2053,2053
1462400888,2063,2063
1462401728,2057,2057
1462402567,2066,2066
1462403407,2060,2060
1462403648,2061,2061
