DateTime,AddedIPs,RemovedIPs
1462137009,0,2
1462140616,1,0
1462141688,1,0
1462143369,1,0
1462145288,1,0
1462146128,0,1
1462148887,0,1
1462151649,0,1
1462152488,4,0
1462153327,2,0
1462154169,1,0
1462156928,1,0
1462158608,0,2
1462159506,1,0
1462160527,0,2
1462161369,1,0
1462162217,0,2
1462164129,0,3
1462164969,1,0
1462167728,1,1
1462170488,1,0
1462171329,0,3
1462172302,0,1
1462174930,1,2
1462176618,0,1
1462177644,1,0
1462178707,0,2
1462179369,1,0
1462180212,0,1
1462181414,0,1
1462182128,1,0
1462184051,0,3
1462184889,1,0
1462187412,0,1
1462188488,1,0
1462189330,1,1
1462190168,1,1
1462190990,0,2
1462192929,1,0
1462194852,0,2
1462195690,1,0
1462197369,3,0
1462198216,1,2
1462201809,2,3
1462202050,1,0
1462202889,1,0
1462203729,2,2
1462204569,1,0
1462205417,0,1
1462206487,4,0
1462207329,2,0
1462208419,0,2
1462209248,1,0
1462210087,1,0
1462210929,1,1
1462212618,1,3
1462220052,4,7
1462221730,0,1
1462223407,1,2
1462224489,1,0
1462225330,0,1
1462227017,2,1
1462228060,1,0
1462228927,1,1
1462230610,2,1
1462231814,3,1
1462232529,0,1
1462233368,1,0
1462236128,0,2
1462236969,1,0
1462237809,0,1
1462238888,2,0
1462239728,1,1
1462242604,2,0
1462245009,2,4
1462246088,1,0
1462248848,2,3
1462249688,1,0
1462250528,0,20
1462251369,1,0
1462252450,0,2
1462255817,2,0
1462256889,1,0
1462259411,0,2
1462260489,1,0
1462263250,2,0
1462264089,2,0
1462266609,1,1
1462268528,0,2
1462270449,0,1
1462271289,1,0
1462272129,2,2
1462274051,1,0
1462275731,0,1
1462277418,2,2
1462278489,1,0
1462280167,1,2
1462281012,2,0
1462282090,3,0
1462282929,2,0
1462283769,1,0
1462284617,1,0
1462287572,0,1
1462289413,2,3
1462290129,1,0
1462290968,0,1
1462293729,0,1
1462297329,5,0
1462299017,2,1
1462300088,3,0
1462300929,3,2
1462301768,1,0
1462304528,0,1
1462305371,1,0
1462307288,4,0
1462308129,1,0
1462309810,2,1
1462310887,4,0
1462313417,2,1
1462317247,1,2
1462318927,1,0
1462320617,0,1
1462321688,2,0
1462322528,1,11
1462324448,1,3
1462325289,1,0
1462326302,2,2
1462327221,2,2
1462328047,2,0
1462328888,1,0
1462329729,0,1
1462330568,1,0
1462331647,0,3
1462335250,2,2
1462336089,3,0
1462336929,2,0
1462338608,0,1
1462339688,1,0
1462340527,1,1
1462343290,1,0
1462344128,1,0
1462345761,0,1
1462349417,0,2
1462351329,1,1
1462353009,0,2
1462354928,0,1
1462356617,1,0
1462360210,0,1
1462362129,0,1
1462362970,1,0
1462363817,0,1
1462364889,3,1
1462365729,2,2
1462367389,0,1
1462368490,1,1
1462369330,0,2
1462370169,1,0
1462372087,2,0
1462372930,1,4
1462373768,3,0
1462374021,0,2
1462374848,2,0
1462376529,1,5
1462378217,1,1
1462379288,1,0
1462380128,2,3
1462381810,2,3
1462382889,2,0
1462385417,1,3
1462387329,0,1
1462391768,1,0
1462392617,1,1
1462396450,2,1
1462397289,1,0
1462398129,0,2
1462400049,0,1
1462400889,1,0
1462401729,0,4
1462403408,0,1
1462404610,0,1
1462406168,2,0
1462407017,0,2
1462408088,2,0
1462408928,21,4
1462409769,2,0
1462411689,1,0
1462412529,0,4
1462414449,4,0
1462415289,2,0
1462416128,2,3
1462416968,2,0
1462417809,1,1
1462419728,2,0
1462420567,1,1
1462421417,0,3
1462422489,1,0
1462423330,1,2
1462426929,0,1
1462428848,0,1
1462430529,0,1
1462432210,1,2
1462433288,1,0
1462434128,1,2
1462437727,3,1
1462441328,1,2
1462443247,1,3
1462444089,1,0
1462444929,0,1
1462445768,1,0
1462450217,1,2
1462451288,1,0
1462452129,0,1
1462454888,2,0
1462457417,0,3
1462458487,2,0
1462459329,0,3
1462460168,2,0
1462461009,0,1
1462462088,1,0
1462462930,0,1
1462464617,1,0
1462465688,2,0
1462466528,0,1
1462468210,2,4
1462469288,2,0
1462470129,0,2
1462471785,0,5
1462472889,2,0
1462473729,0,4
1462475648,0,1
1462476614,0,3
1462478967,0,1
1462480088,1,0
1462480928,0,3
1462482610,1,1
1462483688,1,0
1462484529,1,1
1462486217,0,1
1462488129,0,2
1462489809,2,0
1462491727,2,1
1462492569,2,0
1462492822,0,1
1462493648,1,0
1462495329,0,2
1462496167,1,0
1462497248,3,3
1462498929,3,4
1462500617,1,1
1462501689,1,0
1462502528,1,0
1462504208,0,2
1462505408,2,2
1462506967,1,0
1462507817,2,1
1462508888,3,0
1462509727,0,1
1462511408,0,2
1462512489,1,0
1462513328,1,1
1462514168,1,0
1462515017,1,0
1462516088,1,0
1462518849,1,1
1462519688,1,1
1462521369,1,0
1462522217,2,0
1462523288,0,1
1462524128,2,0
1462524969,2,0
1462525807,1,1
1462526888,1,0
1462527728,0,1
1462529650,2,0
1462532168,1,0
1462533009,0,1
1462534929,1,1
1462535768,2,0
1462536617,0,3
1462537688,1,0
1462538527,2,2
1462543055,2,0
1462544049,0,4
1462545727,0,1
1462546692,2,1
1462547648,2,0
1462549327,0,1
1462550168,1,0
1462551017,0,2
1462552088,2,0
1462552927,1,0
1462554608,3,2
1462556527,1,0
1462559289,1,0
1462560128,1,0
1462561765,1,2
1462562871,1,0
1462563728,1,1
1462565391,0,1
1462566487,0,1
1462567328,1,2
1462568980,1,1
1462573688,2,4
1462574529,2,0
1462575368,2,0
1462576207,1,1
1462578127,1,3
1462579817,4,18
1462581728,0,1
1462583408,3,0
1462584608,0,2
1462585509,2,0
1462586167,1,0
1462587247,0,3
1462588927,1,1
1462590607,0,2
1462591808,1,3
1462593368,1,0
1462594216,1,2
1462596128,1,0
1462596968,1,0
