DateTime,Entries,UniqueIPs
1462351322,36168,36168
1462352162,36263,36263
1462353002,36351,36351
1462354082,36596,36596
1462354922,36848,36848
1462355763,37133,37133
1462356603,37375,37375
1462357682,37728,37728
1462358522,37834,37834
1462359363,37887,37887
1462360203,37856,37856
1462361282,37940,37940
1462362122,37943,37943
1462362963,38037,38037
1462363803,38143,38143
1462364883,38385,38385
1462365723,38450,38450
1462366562,38589,38589
1462367384,38570,38570
1462368483,38773,38773
1462369322,38769,38769
1462370162,38832,38832
1462371002,38775,38775
1462372083,38866,38866
1462372923,38828,38828
1462374006,38737,38737
1462374842,38815,38815
1462375683,39002,39002
1462376523,39002,39002
1462377363,39165,39165
1462378202,39174,39174
1462379282,39438,39438
1462380123,39677,39677
1462380962,39753,39753
1462381803,39617,39617
1462382882,39740,39740
1462383723,39654,39654
1462384563,39731,39731
1462385403,39566,39566
1462386482,39631,39631
1462387322,39649,39649
1462388162,39807,39807
1462389002,39682,39682
1462390082,39831,39831
1462390922,39739,39739
1462391763,39839,39839
1462392603,39717,39717
1462393683,39773,39773
1462394522,39768,39768
1462396443,39802,39802
1462397283,39921,39921
1462398122,39802,39802
1462400044,39737,39737
1462400882,39818,39818
1462401722,39761,39761
1462402563,39854,39854
1462403403,39710,39710
1462403643,39764,39764
1462404604,39679,39679
1462405322,39797,39797
1462406163,39938,39938
1462407003,39888,39888
1462408082,40055,40055
1462408922,40026,40026
1462409762,40159,40159
1462410602,40046,40046
1462411683,40200,40200
1462412522,40063,40063
1462413362,40125,40125
1462414442,40077,40077
1462415282,40158,40158
1462416123,40008,40008
1462416963,40080,40080
1462417803,39899,39899
1462418882,39975,39975
1462419723,39768,39768
1462420562,39834,39834
1462421402,39785,39785
1462422483,39955,39955
1462423323,39929,39929
1462424162,40030,40030
1462425002,40035,40035
1462426083,40174,40174
1462426922,40042,40042
1462427763,40155,40155
1462428843,40054,40054
1462429682,40160,40160
1462430522,40139,40139
1462431362,40166,40166
1462432203,40111,40111
1462433282,40174,40174
1462434122,40055,40055
1462434963,40112,40112
1462435803,39846,39846
1462436882,39922,39922
1462437722,39647,39647
1462438563,39684,39684
1462439643,39413,39413
1462440482,39446,39446
1462441322,38433,38433
1462443242,38401,38401
1462444082,38448,38448
1462444923,38388,38388
1462445762,38450,38450
1462446603,37746,37746
1462447682,37810,37810
1462448522,37446,37446
1462449363,38025,38025
1462450203,37784,37784
1462451282,37906,37906
1462452122,37768,37768
1462452963,37853,37853
1462453802,37754,37754
1462454882,37839,37839
1462455723,37792,37792
1462456562,37884,37884
1462457402,37902,37902
1462458482,38082,38082
1462459323,38146,38146
1462460163,38419,38419
1462461003,38362,38362
1462462082,38574,38574
