DateTime,AddedIPs,RemovedIPs
1462400047,19,23
1462400887,3,7
1462401727,12,9
1462402567,7,15
1462403406,11,14
1462403647,8,1
1462404608,23,11
1462405326,7,1
1462406165,10,10
1462407015,7,6
1462408085,8,5
1462408926,3,15
1462409767,8,12
1462410607,14,8
1462411687,31,16
1462412527,13,11
1462413367,6,9
1462414447,13,11
1462415287,14,8
1462416126,8,14
1462416966,5,0
1462417807,9,9
1462418887,15,8
1462419726,9,9
1462420565,8,7
1462421415,12,16
1462422487,16,9
1462423328,5,14
1462424166,5,6
1462425007,8,14
1462426088,9,6
1462426927,8,18
1462427766,13,10
1462428846,17,23
1462429687,18,3
1462430527,12,15
1462431367,8,5
1462432208,11,11
1462433286,8,8
1462434126,7,15
1462434966,5,8
1462435815,8,17
1462436885,11,8
1462437725,7,10
1462438566,8,6
1462439646,13,11
1462440487,6,7
1462441326,11,16
1462443245,31,12
1462444087,25,7
1462444927,20,11
1462445766,20,8
1462446609,19,14
1462447685,24,8
1462448526,17,11
1462449367,17,10
1462450215,23,11
1462451286,20,5
1462452126,19,8
1462452967,18,6
1462453806,15,9
1462454886,4,9
1462455726,8,12
1462456567,13,4
1462457415,11,7
1462458485,14,6
1462459326,13,10
1462460166,7,8
1462461007,4,13
1462462086,9,6
1462462928,7,12
1462463767,12,4
1462464615,5,9
1462465686,5,6
1462466526,16,12
1462467366,9,11
1462468208,9,9
1462469286,12,6
1462470127,9,14
1462470969,9,7
1462471783,9,12
1462472886,10,8
1462473727,5,11
1462475646,17,14
1462476609,9,8
1462477327,6,2
1462478168,1,4
1462478964,6,16
1462480086,13,9
1462480926,7,11
1462481768,3,6
1462482608,12,11
1462483686,8,4
1462484527,9,14
1462485367,13,9
1462486215,8,14
1462487286,14,5
1462488127,7,23
1462488967,7,4
1462489806,7,13
1462491725,23,17
1462492566,7,5
1462492819,2,9
1462493646,20,3
1462494488,25,3
1462495327,6,17
1462496165,9,6
1462497246,10,7
1462498087,3,7
1462498927,6,11
1462499767,4,9
1462500615,8,12
1462501686,6,6
1462502526,5,10
1462503367,4,6
1462504205,5,9
1462504446,3,2
1462505406,6,8
1462506126,5,3
1462506965,2,4
1462507815,6,6
1462508886,10,17
1462509726,6,11
1462510567,9,5
1462511406,10,11
1462512487,8,6
1462513326,5,8
1462514166,5,7
1462515015,6,4
1462516086,11,9
1462516926,5,8
1462518847,12,13
1462519686,5,14
1462520526,7,10
1462521367,11,7
1462522215,13,3
1462523286,5,8
1462524126,10,6
1462524967,8,4
1462525805,9,6
1462526886,11,6
1462527726,11,5
1462529647,19,17
1462530486,4,5
1462531326,5,12
1462532166,7,2
1462533006,7,3
1462534086,4,2
1462534927,8,9
1462535766,6,6
1462536615,8,8
1462537685,7,7
1462538525,5,17
1462539366,5,1
1462540206,6,13
1462541286,12,2
1462542126,9,10
1462543052,10,7
1462544046,5,9
1462544886,11,2
1462545725,10,4
1462546690,5,9
1462547646,6,4
1462548485,9,7
1462549325,6,7
1462550166,6,3
1462551014,10,12
1462552086,11,4
1462552925,9,12
1462553766,5,4
1462554606,8,15
1462554846,3,0
1462555806,5,16
1462556525,10,7
1462557366,10,9
1462558445,15,4
1462559287,8,16
1462560126,11,13
1462560966,11,7
1462561763,11,11
1462562869,14,7
1462563726,7,17
1462564565,5,2
1462565389,8,12
1462566485,10,14
1462567326,10,26
1462568166,10,7
1462568978,8,13
1462570085,9,4
1462573686,32,22
1462574527,4,28
1462575366,5,11
1462576205,17,15
1462577285,14,3
1462578126,8,5
1462578965,7,4
1462579815,4,9
1462580886,12,2
1462581726,6,36
1462582565,7,5
1462583406,8,9
1462583645,1,3
1462584606,9,8
1462585507,10,5
1462586165,5,3
1462587245,9,8
1462588085,5,8
1462588925,5,7
1462589766,7,0
1462590605,2,12
1462590845,3,0
1462591806,7,9
1462592525,8,6
1462593365,10,7
1462594214,1,10
1462595285,10,6
1462596126,5,12
1462597216,2,8
1462598045,4,3
1462598885,10,2
1462599725,10,11
1462600565,2,6
1462601415,11,8
1462602486,8,5
1462603325,6,8
1462604165,4,4
1462605006,11,12
1462606086,11,5
1462606926,7,1
1462608846,18,10
1462609687,7,2
1462610526,5,8
1462611366,4,4
1462612205,5,14
1462612445,0,4
1462613399,5,27
1462614126,5,2
1462614965,8,4
1462615815,9,36
1462616885,9,7
1462617726,6,28
1462618566,4,2
1462619406,6,32
1462620485,9,5
1462621326,6,31
1462623246,17,29
1462624085,6,5
1462624926,4,11
1462626845,16,13
1462627686,5,3
1462628525,2,10
1462629366,6,8
1462630167,6,9
1462631287,10,4
1462632126,3,7
1462632965,5,2
1462633806,10,13
1462634885,16,9
1462635725,7,6
1462636566,9,5
1462637646,11,15
1462638486,5,4
1462639326,7,7
1462640165,3,3
1462640993,4,9
1462642086,9,3
1462642925,6,12
1462643765,6,7
1462644614,7,7
1462645685,7,5
1462646525,11,9
1462647365,13,9
1462648205,11,10
1462649286,11,6
1462650126,13,13
1462650965,8,10
1462651814,14,6
1462652885,11,11
1462653725,5,8
1462654566,9,5
1462655406,7,6
1462656486,10,20
1462657325,8,13
1462659246,16,11
1462660204,12,11
1462660925,6,4
1462661766,4,8
1462662605,5,25
1462662847,4,1
1462663807,11,252
1462664526,7,3
1462665365,8,2
1462666215,10,11
1462667286,7,11
1462668126,13,5
1462668966,14,3
1462669806,7,10
1462670048,3,0
1462671005,6,10
1462671726,5,3
1462672567,4,7
1462673415,6,7
1462674486,11,4
1462675325,8,5
1462676166,8,5
1462677006,2,11
1462678086,5,6
1462678926,7,11
1462679766,8,2
1462680615,3,8
1462681686,7,6
1462682525,3,4
1462683365,4,4
1462684205,4,6
1462685285,8,3
1462686126,5,6
1462686965,4,5
