DateTime,Entries,UniqueIPs
1462375687,1066,1066
1462376527,1064,1064
1462377367,1071,1071
1462378215,1062,1062
1462379286,1063,1063
1462380126,1054,1054
1462380967,1064,1064
1462381808,1060,1060
1462382886,1063,1063
1462383727,1068,1068
1462384566,1068,1068
1462385415,1061,1061
1462386487,1064,1064
1462387327,1058,1058
1462388166,1066,1066
1462389007,1059,1059
1462390086,1070,1070
1462390926,1064,1064
1462391766,1062,1062
1462392615,1071,1071
1462393687,1081,1081
1462394526,1076,1076
1462396448,1077,1077
1462397287,1076,1076
1462398127,1075,1075
1462400047,1071,1071
1462400887,1067,1067
1462401727,1070,1070
1462402567,1062,1062
1462403406,1059,1059
1462403647,1066,1066
1462404608,1078,1078
1462405326,1084,1084
1462406165,1084,1084
1462407015,1085,1085
1462408085,1088,1088
1462408926,1076,1076
1462409767,1072,1072
1462410607,1078,1078
1462411687,1093,1093
1462412527,1095,1095
1462413367,1092,1092
1462414447,1094,1094
1462415287,1100,1100
1462416126,1094,1094
1462416966,1099,1099
1462417807,1099,1099
1462418887,1106,1106
1462419726,1106,1106
1462420565,1107,1107
1462421415,1103,1103
1462422487,1110,1110
1462423328,1101,1101
1462424166,1100,1100
1462425007,1094,1094
1462426088,1097,1097
1462426927,1087,1087
1462427766,1090,1090
1462428846,1084,1084
1462429687,1099,1099
1462430527,1096,1096
1462431367,1099,1099
1462432208,1099,1099
1462433286,1099,1099
1462434126,1091,1091
1462434966,1088,1088
1462435815,1079,1079
1462436885,1082,1082
1462437725,1079,1079
1462438566,1081,1081
1462439646,1083,1083
1462440487,1082,1082
1462441326,1077,1077
1462443245,1096,1096
1462444087,1114,1114
1462444927,1123,1123
1462445766,1135,1135
1462446609,1140,1140
1462447685,1156,1156
1462448526,1162,1162
1462449367,1169,1169
1462450215,1181,1181
1462451286,1196,1196
1462452126,1207,1207
1462452967,1219,1219
1462453806,1225,1225
1462454886,1220,1220
1462455726,1216,1216
1462456567,1225,1225
1462457415,1229,1229
1462458485,1237,1237
1462459326,1240,1240
1462460166,1239,1239
1462461007,1230,1230
1462462086,1233,1233
1462462928,1228,1228
1462463767,1236,1236
1462464615,1232,1232
1462465686,1231,1231
1462466526,1235,1235
1462467366,1233,1233
1462468208,1233,1233
1462469286,1239,1239
1462470127,1234,1234
1462470969,1236,1236
1462471783,1233,1233
1462472886,1235,1235
1462473727,1229,1229
1462475646,1232,1232
1462476609,1233,1233
1462477327,1237,1237
1462478168,1234,1234
1462478964,1224,1224
1462480086,1228,1228
1462480926,1224,1224
1462481768,1221,1221
1462482608,1222,1222
1462483686,1226,1226
1462484527,1221,1221
1462485367,1225,1225
1462486215,1219,1219
1462487286,1228,1228
1462488127,1212,1212
1462488967,1215,1215
1462489806,1209,1209
1462491725,1215,1215
1462492566,1217,1217
1462492819,1210,1210
1462493646,1227,1227
1462494488,1249,1249
1462495327,1238,1238
1462496165,1241,1241
1462497246,1244,1244
1462498087,1240,1240
1462498927,1235,1235
1462499767,1230,1230
1462500615,1226,1226
1462501686,1226,1226
1462502526,1221,1221
1462503367,1219,1219
1462504205,1215,1215
1462504446,1216,1216
1462505406,1214,1214
1462506126,1216,1216
1462506965,1214,1214
1462507815,1214,1214
1462508886,1207,1207
1462509726,1202,1202
1462510567,1206,1206
1462511406,1205,1205
1462512487,1207,1207
1462513326,1204,1204
1462514166,1202,1202
1462515015,1204,1204
1462516086,1206,1206
1462516926,1203,1203
1462518847,1202,1202
1462519686,1193,1193
1462520526,1190,1190
1462521367,1194,1194
1462522215,1204,1204
1462523286,1201,1201
1462524126,1205,1205
1462524967,1209,1209
1462525805,1212,1212
1462526886,1217,1217
1462527726,1223,1223
1462529647,1225,1225
1462530486,1224,1224
1462531326,1217,1217
1462532166,1222,1222
1462533006,1226,1226
1462534086,1228,1228
1462534927,1227,1227
1462535766,1227,1227
1462536615,1227,1227
1462537685,1227,1227
1462538525,1215,1215
1462539366,1219,1219
1462540206,1212,1212
1462541286,1222,1222
1462542126,1221,1221
1462543052,1224,1224
1462544046,1220,1220
1462544886,1229,1229
1462545725,1235,1235
1462546690,1231,1231
1462547646,1233,1233
1462548485,1235,1235
1462549325,1234,1234
1462550166,1237,1237
1462551014,1235,1235
1462552086,1242,1242
1462552925,1239,1239
1462553766,1240,1240
1462554606,1233,1233
1462554846,1236,1236
1462555806,1225,1225
1462556525,1228,1228
1462557366,1229,1229
1462558445,1240,1240
1462559287,1232,1232
1462560126,1230,1230
1462560966,1234,1234
1462561763,1234,1234
1462562869,1241,1241
1462563726,1231,1231
1462564565,1234,1234
1462565389,1230,1230
1462566485,1226,1226
1462567326,1210,1210
1462568166,1213,1213
1462568978,1208,1208
1462570085,1213,1213
1462573686,1223,1223
1462574527,1199,1199
1462575366,1193,1193
1462576205,1195,1195
1462577285,1206,1206
1462578126,1209,1209
1462578965,1212,1212
1462579815,1207,1207
1462580886,1217,1217
1462581726,1187,1187
1462582565,1189,1189
1462583406,1188,1188
1462583645,1186,1186
1462584606,1187,1187
1462585507,1192,1192
1462586165,1194,1194
1462587245,1195,1195
1462588085,1192,1192
1462588925,1190,1190
1462589766,1197,1197
1462590605,1187,1187
1462590845,1190,1190
1462591806,1188,1188
1462592525,1190,1190
1462593365,1193,1193
1462594214,1184,1184
1462595285,1188,1188
1462596126,1181,1181
1462597216,1175,1175
1462598045,1176,1176
1462598885,1184,1184
1462599725,1183,1183
1462600565,1179,1179
1462601415,1182,1182
1462602486,1185,1185
1462603325,1183,1183
1462604165,1183,1183
1462605006,1182,1182
1462606086,1188,1188
1462606926,1194,1194
1462608846,1202,1202
1462609687,1207,1207
1462610526,1204,1204
1462611366,1204,1204
1462612205,1195,1195
1462612445,1191,1191
1462613399,1169,1169
1462614126,1172,1172
1462614965,1176,1176
1462615815,1149,1149
1462616885,1151,1151
1462617726,1129,1129
1462618566,1131,1131
1462619406,1105,1105
1462620485,1109,1109
1462621326,1084,1084
1462623246,1072,1072
1462624085,1073,1073
1462624926,1066,1066
1462626845,1069,1069
1462627686,1071,1071
1462628525,1063,1063
1462629366,1061,1061
1462630167,1058,1058
1462631287,1064,1064
1462632126,1060,1060
1462632965,1063,1063
1462633806,1060,1060
1462634885,1067,1067
1462635725,1068,1068
1462636566,1072,1072
1462637646,1068,1068
1462638486,1069,1069
1462639326,1069,1069
1462640165,1069,1069
1462640993,1064,1064
1462642086,1070,1070
1462642925,1064,1064
1462643765,1063,1063
1462644614,1063,1063
1462645685,1065,1065
1462646525,1067,1067
1462647365,1071,1071
1462648205,1072,1072
1462649286,1077,1077
1462650126,1077,1077
1462650965,1075,1075
1462651814,1083,1083
1462652885,1083,1083
1462653725,1080,1080
1462654566,1084,1084
1462655406,1085,1085
1462656486,1075,1075
1462657325,1070,1070
1462659246,1075,1075
1462660204,1076,1076
1462660925,1078,1078
1462661766,1074,1074
1462662605,1054,1054
1462662847,1057,1057
1462663807,816,816
1462664526,820,820
1462665365,826,826
1462666215,825,825
1462667286,821,821
1462668126,829,829
1462668966,840,840
1462669806,837,837
1462670048,840,840
1462671005,836,836
1462671726,838,838
1462672567,835,835
1462673415,834,834
1462674486,841,841
1462675325,844,844
1462676166,847,847
1462677006,838,838
1462678086,837,837
1462678926,833,833
1462679766,839,839
1462680615,834,834
1462681686,835,835
1462682525,834,834
1462683365,834,834
1462684205,832,832
1462685285,837,837
1462686126,836,836
1462686965,835,835
1462688045,834,834
1462688886,834,834
1462689725,830,830
1462690565,833,833
1462691405,824,824
1462691644,827,827
1462692605,828,828
1462693325,828,828
1462694165,823,823
1462695014,824,824
1462696086,825,825
1462696925,820,820
1462697766,827,827
1462698605,817,817
1462699686,818,818
1462700525,805,805
1462701612,805,805
1462702446,813,813
1462703285,812,812
1462704126,809,809
1462704966,812,812
1462705806,806,806
1462706046,807,807
1462707006,807,807
1462707726,807,807
1462708623,809,809
1462709415,809,809
1462710485,809,809
1462711325,806,806
1462712165,805,805
1462713005,800,800
1462714086,805,805
1462714925,804,804
1462715766,809,809
1462716615,810,810
1462717686,812,812
1462718526,808,808
1462719365,808,808
1462720206,805,805
1462720447,805,805
1462721406,797,797
1462722125,797,797
1462722966,805,805
1462723814,801,801
1462724885,809,809
1462725726,803,803
1462726567,808,808
1462727406,807,807
1462728485,809,809
1462730166,800,800
1462731014,791,791
1462732086,796,796
1462732932,797,797
1462733765,800,800
1462734605,787,787
1462735685,786,786
1462736527,776,776
1462737365,782,782
1462738214,777,777
1462739286,784,784
1462740124,776,776
1462740966,774,774
1462741805,770,770
1462742046,768,768
1462743006,759,759
1462743725,763,763
1462744813,772,772
1462745644,780,780
1462746486,780,780
1462747325,770,770
1462748166,771,771
1462749005,774,774
1462750085,788,788
1462750925,792,792
1462751766,795,795
1462752615,791,791
1462753686,795,795
1462754524,792,792
1462755365,792,792
1462756206,792,792
1462757285,795,795
1462758126,788,788
1462760045,787,787
1462760885,786,786
1462761725,787,787
1462762565,796,796
1462763405,799,799
1462764485,783,783
1462765326,783,783
1462766165,783,783
1462767015,779,779
1462768085,782,782
1462768926,776,776
1462769766,777,777
1462770606,773,773
1462771686,779,779
1462772527,773,773
1462773366,774,774
1462774215,764,764
1462775286,768,768
1462776125,762,762
1462776967,770,770
1462777218,767,767
1462778106,769,769
1462778886,770,770
1462779726,767,767
1462780566,772,772
1462781646,778,778
1462782485,778,778
1462783325,773,773
1462784165,773,773
1462785007,774,774
1462786086,782,782
1462786926,785,785
1462787765,787,787
1462788615,791,791
1462789686,793,793
1462790527,799,799
1462791365,804,804
1462792205,801,801
1462793285,804,804
1462794125,800,800
1462794965,807,807
1462795815,806,806
1462796885,804,804
1462797725,801,801
1462798566,805,805
1462799645,804,804
1462800485,794,794
1462801325,792,792
1462802166,797,797
1462803002,798,798
1462804086,796,796
1462804925,787,787
1462805766,789,789
1462806606,787,787
1462807687,799,799
1462808525,795,795
1462809366,801,801
1462810214,798,798
1462811285,805,805
1462812125,803,803
1462812966,808,808
1462813806,805,805
1462814886,798,798
1462815726,796,796
1462817646,795,795
1462818486,798,798
1462819325,797,797
1462820166,794,794
1462821006,787,787
1462822088,791,791
1462822931,785,785
1462823766,794,794
1462824615,796,796
1462825686,797,797
1462826526,790,790
1462827366,794,794
