DateTime,AddedIPs,RemovedIPs
1462386485,50,0
1462387325,102,67
1462388163,139,0
1462389005,116,219
1462390083,129,1
1462390924,102,182
1462391764,90,1
1462392613,99,205
1462393685,43,0
1462394524,88,77
1462396445,228,198
1462397285,103,2
1462398125,99,190
1462400045,159,217
1462400885,59,0
1462401724,79,108
1462402564,74,0
1462403404,108,238
1462403645,49,0
1462404606,154,225
1462405324,105,0
1462406164,121,0
1462407013,124,160
1462408084,148,0
1462408924,117,149
1462409765,117,0
1462410605,117,208
1462411685,133,0
1462412525,81,200
1462413365,51,1
1462414445,96,148
1462415284,72,0
1462416124,49,174
1462416964,56,0
1462417804,60,231
1462418884,63,0
1462419724,37,229
1462420563,54,0
1462421413,84,116
1462422485,148,1
1462423326,83,96
1462424164,88,3
1462425005,69,48
1462426086,120,1
1462426924,115,220
1462427765,96,0
1462428844,127,212
1462429685,92,0
1462430525,44,36
1462431365,21,2
1462432206,37,77
1462433284,50,3
1462434125,33,139
1462434964,45,2
1462435813,70,322
1462436883,65,0
1462437723,38,290
1462438564,25,0
1462439644,49,293
1462440485,20,0
1462441323,29,1020
1462443243,88,123
1462444085,33,0
1462444924,66,119
1462445764,45,0
1462446606,33,708
1462447683,53,1
1462448523,111,454
1462449365,565,1
1462450213,117,334
1462451284,102,2
1462452124,90,207
1462452965,76,1
1462453804,41,122
1462454884,68,0
1462455724,56,94
1462456564,78,0
1462457413,139,110
1462458483,152,2
1462459324,210,135
1462460164,258,1
1462461005,136,180
1462462084,189,2
1462462926,297,397
1462463764,244,0
1462464614,169,307
1462465684,168,2
1462466524,65,165
1462467364,75,1
1462468205,69,128
1462469284,89,0
1462470125,63,323
1462470966,79,1
1462471782,57,238
1462472884,81,1
1462473725,75,296
1462475644,133,280
1462476605,61,179
1462477324,54,0
1462478166,41,0
1462478962,23,84
1462480084,49,2
1462480924,49,80
1462481765,50,3
1462482605,45,113
1462483684,46,1
1462484525,42,279
1462485364,26,1
1462486213,24,341
1462487284,180,0
1462488125,192,289
1462488966,165,0
1462489804,136,135
1462491723,117,133
1462492815,19,147
1462493643,24,0
1462494486,33,1
1462495325,136,234
1462496164,134,0
1462497245,298,409
1462498085,159,0
1462498925,231,432
1462499764,174,0
1462500613,120,374
1462501685,114,0
1462502524,78,249
1462503364,62,1
1462504204,38,239
1462504444,25,0
1462505404,112,281
1462506124,113,1
1462506964,111,0
1462507813,119,550
1462508884,138,1
1462509724,89,527
1462510565,122,1
1462511404,142,441
1462512486,179,2
1462513324,132,279
1462514164,71,2
1462515013,54,428
1462516084,57,1
1462516924,61,72
1462518845,116,83
1462519684,58,1
1462520524,45,36
1462521364,32,0
1462522213,33,199
1462523284,41,1
1462524124,24,399
1462524964,101,0
1462525803,149,674
1462526884,224,2
1462527724,227,545
1462529645,202,177
1462530484,130,0
1462531324,121,90
1462532164,137,1
1462533004,142,189
1462534084,122,2
1462534925,65,440
1462535764,79,1
1462536613,98,331
1462537684,117,0
1462538524,64,414
1462539364,67,1
1462540204,71,114
1462541284,105,0
1462542125,79,90
1462543051,69,1
1462544045,77,98
1462544885,81,0
1462545723,80,277
1462546812,89,9160
1462547644,8848,0
1462548484,45,1
1462549323,35,482
1462550164,59,0
1462551013,45,681
1462552084,34,0
1462552924,19,144
1462553764,22,1
1462554604,14,146
1462554844,9,0
1462555804,21,82
1462556523,12,1
1462557364,28,2
1462558444,23,345
1462559284,20,0
1462560124,21,311
1462560965,16,1
1462561762,17,315
1462562868,23,0
1462563724,12,146
1462564564,16,0
1462565388,22,200
1462566483,33,2
1462567324,23,215
1462568164,15,2
1462568976,22,185
1462570084,26,1
1462573684,87,295
1462574524,17,273
1462575364,23,2
1462576204,33,272
1462577283,36,0
1462578124,34,253
1462578964,103,0
1462579813,42,267
1462580884,119,0
1462581724,33,222
1462582563,16,0
1462583404,30,150
1462583643,2,0
1462584604,28,145
1462585505,23,1
1462586163,12,0
1462587243,33,138
1462588083,16,1
1462588923,25,109
1462589764,19,1
1462590604,22,128
1462590844,4,0
1462591804,27,223
1462592523,16,0
1462593363,19,0
1462594213,15,202
1462595283,27,1
1462596124,20,198
1462597212,18,238
1462598044,12,1
1462598883,22,0
1462599724,13,205
1462600564,14,1
1462601413,12,62
1462602484,24,0
1462603323,21,80
1462604163,12,1
1462605003,15,93
1462606085,20,0
1462606924,21,117
1462608843,45,73
1462609684,28,1
1462610523,29,56
1462611364,31,0
1462612204,24,71
1462612443,6,0
1462613397,34,85
1462614124,14,0
1462614963,24,1
1462615813,21,103
1462616884,23,0
1462617724,7,87
1462618565,17,0
1462619404,20,749
1462620483,24,0
1462621324,23,147
1462623244,27,173
1462624083,10,1
1462624924,14,108
1462626843,46,178
1462627684,22,0
1462628523,15,263
1462629364,15,1
1462630166,17,537
1462631284,24,0
1462632124,14,297
1462632964,19,1
1462633804,22,574
1462634883,22,0
1462635723,12,292
1462636564,14,3
1462637644,15,144
1462638484,12,0
1462639324,22,144
1462640164,14,0
1462640991,15,153
1462642084,62,0
1462642924,33,135
1462643764,16,0
1462644613,21,144
1462645683,24,1
1462646524,29,112
1462647363,14,0
1462648203,14,102
1462649285,23,0
1462650124,13,68
1462650964,13,1
1462651813,22,108
1462652883,20,1
1462653724,10,75
1462654564,22,0
1462655405,14,70
1462656484,24,1
1462657324,12,208
1462659244,17,415
1462660203,17,175
1462660924,9,0
1462661764,7,1
1462662604,9,38
1462662845,4,0
1462663806,7,300
1462664523,8,0
1462665363,10,1
1462666213,9,372
1462667284,11,1
1462668124,20,416
1462668964,18,0
1462669804,16,436
1462670045,4,0
1462671003,25,211
1462671724,7,1
1462672564,4,0
1462673413,13,148
1462674484,12,1
1462675324,10,162
1462676164,7,0
1462677004,10,277
1462678083,13,4
1462678924,11,250
1462679765,10,0
1462680613,9,248
1462681684,12,0
1462682523,7,302
1462683363,10,1
1462684203,8,237
1462685283,14,0
1462686124,10,90
1462686964,15,1
1462688043,22,121
1462688884,7,1
1462689724,13,114
1462690563,9,0
1462691403,12,66
1462691643,2,0
1462692603,30,71
1462693323,11,1
1462694164,8,0
1462695013,13,173
1462696084,20,0
1462696924,12,372
1462697763,10,0
1462698604,12,332
1462699684,15,0
1462700523,16,227
1462701610,22,304
1462702444,24,0
1462703283,18,0
1462704124,21,231
1462704964,19,0
1462705804,12,170
1462706044,4,0
1462707004,12,206
1462707723,11,1
1462708621,12,0
1462709413,21,151
1462710484,22,0
1462711323,20,165
1462712164,11,1
1462713003,24,144
1462714083,27,0
1462714923,12,163
1462715764,26,0
1462716613,69,168
1462717684,58,0
1462718524,20,140
1462719364,20,1
1462720204,27,99
1462720444,8,0
1462721404,18,66
1462722123,22,0
1462722964,36,0
1462723813,18,36
1462724883,18,0
1462725724,18,36
1462726565,17,0
1462727404,24,42
1462728483,23,1
1462730164,40,29
1462731013,10,46
1462732084,24,0
1462732930,18,1
1462733763,9,0
1462734604,21,75
1462735683,21,0
1462736524,23,45
1462737364,16,1
1462738213,12,41
1462739284,25,1
1462740123,16,49
1462740964,13,0
1462741804,13,53
1462742043,4,0
1462743004,19,37
1462743723,17,1
1462744811,30,47
1462745643,20,0
1462746484,16,2
1462747323,14,67
1462748164,25,1
1462749004,11,145
1462750083,21,1
1462750924,22,162
1462751764,18,0
1462752613,19,53
1462753684,27,0
1462754523,19,50
1462755363,12,1
1462756204,11,40
1462757283,24,0
1462758124,17,49
1462760043,47,48
1462760883,24,1
1462761724,19,56
1462762563,15,0
1462763403,22,49
1462764483,25,0
1462765324,12,36
1462766163,13,0
1462767013,23,41
1462768083,19,1
1462768924,14,48
1462769763,25,1
1462770604,15,29
1462771684,45,0
1462772525,20,33
1462773364,32,0
1462774213,24,40
1462775284,26,0
1462776123,11,30
1462777215,50,39
1462778104,31,2
1462778883,19,2
1462779725,28,51
1462780563,36,0
1462781644,45,74
1462782484,40,0
1462783323,13,47
1462784163,37,1
1462785004,40,51
1462786084,42,1
1462786923,40,35
1462787763,48,0
1462788613,56,32
1462789683,38,2
1462790524,27,32
1462791363,28,1
1462792204,32,32
1462793284,29,1
1462794123,21,34
1462794963,23,0
1462795813,31,33
1462796883,29,0
1462797723,29,60
1462798564,24,1
1462799644,18,38
1462800484,12,0
1462801323,24,35
1462802164,25,1
1462803000,20,37
1462804084,29,0
1462804924,14,31
1462805763,19,0
1462806604,19,24
1462807685,16,2
1462808523,15,27
1462809364,17,0
1462810212,21,41
1462811284,29,0
1462812123,5,0
1462812965,15,0
1462813803,12,131
1462814884,18,1
1462815724,15,47
1462817643,16,43
1462818484,15,0
1462819323,10,38
1462820164,15,0
1462821004,14,47
1462822086,19,1
1462822928,10,37
1462823764,22,0
1462824613,23,0
1462825684,13,2
1462826524,9,64
1462827364,9,1
1462828175,13,23
1462829283,27,1
1462830124,12,25
1462830963,7,1
1462831772,27,21
1462832884,29,0
1462833725,13,27
1462835643,39,27
1462836484,30,0
1462837323,17,21
1462838411,27,43
1462839243,15,1
1462840085,24,0
1462840924,9,46
