DateTime,AddedIPs,RemovedIPs
1462339683,7,0
1462340523,8,8
1462341363,2,0
1462342213,5,7
1462343284,2,0
1462344123,0,9
1462344964,5,0
1462345756,2,7
1462346882,7,0
1462347725,4,9
1462348563,5,0
1462349412,12,7
1462350483,5,0
1462351324,5,7
1462352163,5,0
1462353002,4,10
1462354083,9,1
1462354922,3,12
1462355763,3,0
1462356612,3,15
1462357683,5,1
1462358523,8,13
1462359363,5,0
1462360203,5,13
1462361283,8,0
1462362122,1,20
1462362964,5,1
1462363812,3,9
1462364884,5,0
1462365723,4,7
1462366563,6,0
1462367384,6,10
1462368484,5,0
1462369323,15,13
1462370163,12,0
1462371012,7,12
1462372083,10,0
1462372924,6,14
1462374011,10,8
1462374843,5,0
1462375683,11,0
1462376523,3,15
1462377363,8,0
1462378212,17,8
1462379283,42,0
1462380123,7,34
1462380964,4,0
1462381804,8,10
1462382882,11,0
1462383724,2,15
1462384563,3,0
1462385412,10,13
1462386483,6,1
1462387324,3,10
1462388162,8,0
1462389003,7,15
1462390082,9,0
1462390923,4,6
1462391763,4,0
1462392612,6,18
1462393683,4,1
1462394523,3,15
1462396443,14,16
1462397284,3,1
1462398123,5,24
1462400044,10,18
1462400883,11,0
1462401723,7,22
1462402563,9,0
1462403403,6,13
1462403644,3,0
1462404604,5,11
1462405323,5,0
1462406163,7,0
1462407012,4,6
1462408083,5,0
1462408923,4,13
1462409763,3,0
1462410603,10,12
1462411683,7,0
1462412523,6,16
1462413364,4,0
1462414443,8,6
1462415283,3,1
1462416123,5,8
1462416963,4,1
1462417803,3,5
1462418883,2,0
1462419723,2,13
1462420562,4,0
1462421412,3,9
1462422484,7,0
1462423324,1,8
1462424163,4,0
1462425003,2,9
1462426084,4,0
1462426923,3,26
1462427763,7,0
1462428843,4,13
1462429683,6,0
1462430524,7,22
1462431364,1,0
1462432204,6,9
1462433283,5,0
1462434123,7,12
1462434963,3,0
1462435812,4,12
1462436882,6,0
1462437722,1,12
1462438563,2,0
1462439643,4,10
1462440484,2,0
1462441322,3,13
1462443242,18,12
1462444083,4,0
1462444923,10,10
1462445763,6,0
1462446604,3,11
1462447682,2,0
1462448522,4,16
1462449364,7,0
1462450213,8,9
1462451283,6,0
1462452123,6,18
1462452964,3,0
1462453803,8,19
1462454883,9,0
1462455723,8,13
1462456563,5,0
1462457412,7,11
1462458482,11,0
1462459323,3,6
1462460163,7,0
1462461003,3,10
1462462083,10,0
1462462924,5,15
1462463763,5,0
1462464613,2,13
1462465683,7,1
1462466523,11,23
