DateTime,Entries,UniqueIPs
1462362122,1723,1723
1462362964,1727,1727
1462363812,1721,1721
1462364884,1726,1726
1462365723,1723,1723
1462366563,1729,1729
1462367384,1725,1725
1462368484,1730,1730
1462369323,1732,1732
1462370163,1744,1744
1462371012,1739,1739
1462372083,1749,1749
1462372924,1741,1741
1462374011,1743,1743
1462374843,1748,1748
1462375683,1759,1759
1462376523,1747,1747
1462377363,1755,1755
1462378212,1764,1764
1462379283,1806,1806
1462380123,1779,1779
1462380964,1783,1783
1462381804,1781,1781
1462382882,1792,1792
1462383724,1779,1779
1462384563,1782,1782
1462385412,1779,1779
1462386483,1784,1784
1462387324,1777,1777
1462388162,1785,1785
1462389003,1777,1777
1462390082,1786,1786
1462390923,1784,1784
1462391763,1788,1788
1462392612,1776,1776
1462393683,1779,1779
1462394523,1767,1767
1462396443,1765,1765
1462397284,1767,1767
1462398123,1748,1748
1462400044,1740,1740
1462400883,1751,1751
1462401723,1736,1736
1462402563,1745,1745
1462403403,1738,1738
1462403644,1741,1741
1462404604,1735,1735
1462405323,1740,1740
1462406163,1747,1747
1462407012,1745,1745
1462408083,1750,1750
1462408923,1741,1741
1462409763,1744,1744
1462410603,1742,1742
1462411683,1749,1749
1462412523,1739,1739
1462413364,1743,1743
1462414443,1745,1745
1462415283,1747,1747
1462416123,1744,1744
1462416963,1747,1747
1462417803,1745,1745
1462418883,1747,1747
1462419723,1736,1736
1462420562,1740,1740
1462421412,1734,1734
1462422484,1741,1741
1462423324,1734,1734
1462424163,1738,1738
1462425003,1731,1731
1462426084,1735,1735
1462426923,1712,1712
1462427763,1719,1719
1462428843,1710,1710
1462429683,1716,1716
1462430524,1701,1701
1462431364,1702,1702
1462432204,1699,1699
1462433283,1704,1704
1462434123,1699,1699
1462434963,1702,1702
1462435812,1694,1694
1462436882,1700,1700
1462437722,1689,1689
1462438563,1691,1691
1462439643,1685,1685
1462440484,1687,1687
1462441322,1677,1677
1462443242,1683,1683
1462444083,1687,1687
1462444923,1687,1687
1462445763,1693,1693
1462446604,1685,1685
1462447682,1687,1687
1462448522,1675,1675
1462449364,1682,1682
1462450213,1681,1681
1462451283,1687,1687
1462452123,1675,1675
1462452964,1678,1678
1462453803,1667,1667
1462454883,1676,1676
1462455723,1671,1671
1462456563,1676,1676
1462457412,1672,1672
1462458482,1683,1683
1462459323,1680,1680
1462460163,1687,1687
1462461003,1680,1680
1462462083,1690,1690
1462462924,1680,1680
1462463763,1685,1685
1462464613,1674,1674
1462465683,1680,1680
1462466523,1668,1668
1462467363,1672,1672
1462468203,1664,1664
1462469283,1668,1668
1462470123,1666,1666
1462470963,1670,1670
1462471781,1658,1658
1462472883,1666,1666
1462473724,1653,1653
1462475643,1653,1653
1462476603,1644,1644
1462477323,1645,1645
1462478164,1649,1649
1462478962,1648,1648
1462480083,1657,1657
1462480922,1647,1647
1462481763,1650,1650
1462482604,1641,1641
1462483683,1650,1650
1462484523,1631,1631
1462485363,1632,1632
1462486212,1617,1617
1462487283,1619,1619
1462488124,1615,1615
1462488964,1638,1638
1462489803,1633,1633
1462491722,1626,1626
1462492812,1616,1616
1462493642,1619,1619
1462494484,1620,1620
1462495324,1608,1608
1462496163,1611,1611
1462497244,1602,1602
1462498083,1603,1603
1462498923,1595,1595
1462499763,1596,1596
1462500612,1583,1583
1462501683,1584,1584
1462502523,1576,1576
1462503362,1578,1578
1462504203,1563,1563
1462504443,1564,1564
1462505403,1561,1561
1462506123,1564,1564
1462506963,1566,1566
1462507812,1569,1569
1462508883,1573,1573
1462509723,1568,1568
1462510563,1572,1572
1462511403,1563,1563
1462512484,1570,1570
1462513323,1572,1572
1462514163,1579,1579
1462515012,1579,1579
1462516083,1589,1589
1462516923,1581,1581
1462518844,1579,1579
1462519683,1587,1587
1462520523,1578,1578
1462521363,1581,1581
1462522213,1572,1572
1462523283,1579,1579
1462524123,1574,1574
1462524963,1579,1579
1462525803,1581,1581
1462526883,1585,1585
1462527723,1583,1583
1462529644,1579,1579
1462530483,1580,1580
1462531322,1577,1577
1462532163,1586,1586
1462533003,1582,1582
1462534083,1594,1594
1462534924,1590,1590
1462535763,1595,1595
1462536612,1592,1592
1462537683,1598,1598
1462538523,1603,1603
1462539363,1605,1605
1462540203,1589,1589
1462541283,1596,1596
1462542124,1590,1590
1462543050,1594,1594
1462544044,1591,1591
1462544883,1594,1594
1462545723,1591,1591
1462546810,1593,1593
1462547643,1605,1605
1462548483,1609,1609
1462549323,1545,1545
1462550163,1546,1546
1462551012,1535,1535
1462552083,1540,1540
1462552923,1539,1539
1462553763,1542,1542
1462554603,1541,1541
1462554843,1543,1543
1462555804,1531,1531
1462556522,1542,1542
1462557363,1547,1547
1462558443,1531,1531
1462559283,1533,1533
1462560123,1529,1529
1462560964,1534,1534
1462561761,1523,1523
1462562867,1533,1533
1462563723,1519,1519
1462564563,1527,1527
1462565387,1516,1516
1462566483,1518,1518
1462567323,1515,1515
1462568163,1516,1516
1462568975,1509,1509
1462570083,1515,1515
1462573684,1526,1526
1462574523,1521,1521
1462575363,1525,1525
1462576203,1515,1515
1462577282,1520,1520
1462578123,1516,1516
1462578963,1519,1519
1462579813,1517,1517
1462580883,1518,1518
1462581723,1513,1513
1462582562,1516,1516
1462583403,1510,1510
1462584603,1505,1505
1462585504,1508,1508
1462587243,1506,1506
1462588082,1509,1509
1462588923,1503,1503
1462589763,1505,1505
1462590603,1501,1501
1462591804,1501,1501
1462592522,1505,1505
1462593363,1508,1508
1462594212,1504,1504
1462595283,1507,1507
1462596123,1500,1500
1462597210,1504,1504
1462598043,1506,1506
1462598882,1509,1509
1462599723,1495,1495
1462600563,1500,1500
1462601412,1492,1492
1462602483,1495,1495
1462603323,1490,1490
1462604162,1499,1499
1462605003,1492,1492
1462606083,1497,1497
1462606923,1488,1488
1462608843,1484,1484
1462609683,1486,1486
1462610523,1485,1485
1462611363,1489,1489
1462612203,1484,1484
1462612443,1487,1487
1462613396,1476,1476
