DateTime,AddedIPs,RemovedIPs
1460392953,1,0
1460395687,1,0
1460398448,1,1
1460404568,1,0
1460406487,1,0
1460409007,0,2
1460410088,1,1
1460415368,1,0
1460423407,1,0
1460426167,1,0
1460428087,1,0
1460429767,1,0
1460432588,0,1
1460438887,1,0
1460443328,0,1
1460444168,1,0
1460449687,1,0
1460452207,1,0
1460454968,1,0
1460459409,0,1
1460464929,1,0
1460469367,1,0
1460470447,5,0
1460472129,1,0
1460472968,2,0
1460475729,1,0
1460479328,1,0
1460482927,1,0
1460484616,1,0
1460486527,1,0
1460489287,1,0
1460490968,2,0
1460516168,1,0
1460524208,2,0
1460539688,1,0
1460546048,1,0
1460550489,1,0
1460552167,1,0
1460553009,2,1
1460556617,1,0
1460562969,1,0
1460567649,0,1
1460570170,1,0
1460572930,1,0
1460582049,0,1
1460587330,0,1
1460596209,0,1
1460608928,1,1
1460611688,1,0
1460612527,1,0
1460614448,0,2
1460615288,1,0
1460632208,1,2
1460634128,0,1
1460641329,1,0
1460644929,0,1
1460650449,3,0
1460651287,2,0
1460653808,1,0
1460654888,1,0
1460659330,0,1
1460662929,1,0
1460668448,0,1
1460675408,0,1
1460677328,0,1
1460683687,1,0
1460698088,1,0
1460709728,0,1
1460711408,0,1
1460713328,0,1
1460720529,0,1
1460729648,1,0
1460742128,0,1
1460747648,0,2
1460757369,1,0
1460768167,1,0
1460774527,0,1
1460783408,1,0
1460790036,0,1
1460792528,0,1
1460801648,0,1
1460803328,0,1
1460809687,1,0
1460810527,0,2
1460814127,0,4
1460814968,1,0
1460819407,0,1
1460824089,1,0
1460828527,0,1
1460834888,1,0
1460837417,0,1
1460847368,1,0
1460864528,1,1
1460876425,0,1
1460878928,1,0
1460880617,0,1
1460888047,0,1
1460893329,1,0
1460896928,0,1
1460906049,2,0
1460909648,1,0
1460925728,1,1
1460929328,1,0
1460931247,1,1
1460932928,1,1
1460933768,1,1
1460934609,2,1
1460935687,1,1
1460937368,1,1
1460938216,1,3
1460941810,1,1
1460942888,1,1
1460943728,1,0
1460944568,1,1
1460947330,1,1
1460949008,1,1
1460950088,1,1
1460952616,0,1
1460954530,1,0
1460955368,1,1
1460956210,1,1
1460957287,1,1
1460958968,1,1
1460960889,2,1
1460961728,1,0
1460965327,1,0
1460966169,0,1
1460966969,2,1
1460968928,1,1
1460969768,1,0
1460970848,1,1
1460972530,1,0
1460974450,1,0
1460976968,1,0
1460993288,1,0
1460994128,0,1
1461006610,0,2
1461010217,0,1
1461012969,1,1
1461017647,0,1
1461019329,0,1
1461024849,1,0
1461033727,0,1
1461040088,1,0
1461043688,1,1
1461047288,1,0
1461063369,1,0
1461068049,1,0
1461071649,1,0
1461079687,1,0
1461081368,0,1
1461096632,0,1
1461098529,0,1
1461120129,1,1
1461123729,1,0
1461135624,0,1
1461136450,1,0
1461138128,1,0
1461138968,2,0
1461141730,0,1
1461161653,2,0
1461171369,1,3
1461175817,1,0
1461177728,1,1
1461183017,1,0
1461186608,2,0
1461187686,1,0
1461198489,1,0
1461202929,0,1
1461208450,1,0
1461210129,0,1
1461213754,1,1
1461216578,1,0
1461217329,0,1
1461218168,1,0
1461225369,1,0
1461228155,1,0
1461245381,1,0
1461249748,0,1
1461256951,0,1
1461264966,3,0
1461265807,1,0
1461266888,1,0
1461267726,1,1
1461282966,1,0
1461287408,0,1
1461288488,1,0
1461294607,0,1
1461295687,1,0
1461296526,1,0
1461298217,1,0
1461304567,1,0
1461310929,0,1
1461327097,0,1
1461328947,0,1
1461338048,1,0
1461341776,2,0
1461344440,3,0
1461347074,1,1
1461357848,0,1
1461363016,0,1
1461368528,1,1
1461370216,0,1
1461379327,0,2
1461386846,0,1
1461388207,0,1
1461393870,0,1
1461401767,0,1
1461408126,0,1
1461409806,0,1
1461411726,1,0
1461413646,1,2
1461415327,1,0
1461422528,0,1
1461425287,1,0
1461429727,1,0
1461439686,1,0
1461442215,1,0
1461467406,1,0
1461469326,1,0
1461474607,0,1
1461480128,0,1
1461481808,1,0
1461485416,0,1
1461492616,1,0
1461493687,1,0
1461496181,0,1
1461497287,1,0
1461501927,0,2
1461506304,1,0
1461507247,1,0
1461510306,0,2
1461517807,0,1
1461523328,1,0
1461536047,1,1
1461536887,1,1
1461537728,1,1
1461538567,1,1
1461539406,0,1
1461540487,1,1
1461541328,1,1
1461542166,1,1
1461543016,1,1
1461544086,1,1
1461544927,1,1
1461547686,1,1
1461549366,1,1
1461551287,1,1
1461553806,1,1
1461554887,1,1
1461558487,1,1
1461559326,1,1
1461560167,2,1
1461561007,1,1
1461562086,1,1
1461570967,1,1
1461571816,1,1
1461574566,1,1
1461580087,1,0
1461581766,1,0
1461583688,1,1
1461588127,1,1
1461588966,1,1
1461592566,1,1
1461593416,1,1
1461597246,1,1
1461601686,1,0
1461602527,1,0
1461604206,1,1
1461606006,1,1
1461606966,1,1
1461613327,1,1
1461619686,1,1
1461630487,1,0
1461640448,1,1
1461644886,1,0
1461649327,0,9
1461659286,1,0
1461663728,0,2
1461670926,0,1
1461675367,1,0
1461680886,1,0
1461692526,1,0
1461696128,0,1
1461715815,1,0
1461716885,1,0
1461719407,0,2
1461720608,0,6
1461724926,0,1
1461732966,1,0
1461736566,1,0
1461737416,0,2
1461739328,1,0
1461741248,0,1
1461742087,1,0
1461742927,0,1
1461754567,1,0
1461766216,1,0
1461771726,0,1
1461775327,0,1
