DateTime,Entries,UniqueIPs
1462401007,14283,14283
1462401603,14267,14267
1462402208,14187,14187
1462402804,14177,14177
1462403403,14170,14170
1462404005,14165,14165
1462404603,14186,14186
1462405203,14184,14184
1462405806,14166,14166
1462406404,14149,14149
1462407009,14056,14056
1462407602,14047,14047
1462408204,14045,14045
1462408506,14004,14004
1462409106,13997,13997
1462409704,14012,14012
1462410302,14017,14017
1462410604,14006,14006
1462411205,14003,14003
1462411804,14009,14009
1462412402,14006,14006
1462413005,14006,14006
1462413603,14014,14014
1462414503,14012,14012
1462415102,14022,14022
1462415704,14022,14022
1462416304,14015,14015
1462416904,14027,14027
1462417503,14024,14024
1462418105,14022,14022
1462418706,14030,14030
1462419303,14009,14009
1462419606,13997,13997
1462420205,13994,13994
1462420803,13991,13991
1462421105,13988,13988
1462421703,13986,13986
1462422302,14000,14000
1462422903,13997,13997
1462423206,13942,13942
1462423803,13945,13945
1462424407,13918,13918
1462425003,13913,13913
1462425604,13909,13909
1462426203,13919,13919
1462426804,13905,13905
1462427404,13868,13868
1462428003,13876,13876
1462428603,13861,13861
1462429202,13862,13862
1462429803,13856,13856
1462430405,13849,13849
1462431003,13842,13842
1462431602,13839,13839
1462432203,13839,13839
1462432803,13846,13846
1462433402,13837,13837
1462434003,13829,13829
1462434603,13839,13839
1462435204,13841,13841
1462435803,13837,13837
1462436403,13854,13854
1462437002,13858,13858
1462437304,13844,13844
1462437903,13855,13855
1462438503,13853,13853
1462439103,13853,13853
1462439703,13868,13868
1462440305,13860,13860
1462440904,13840,13840
1462441503,13834,13834
1462442103,13830,13830
1462442703,13815,13815
1462443307,13726,13726
1462443903,13716,13716
1462444503,13724,13724
1462445102,13721,13721
1462445702,13718,13718
1462446303,13724,13724
1462446907,13648,13648
1462447502,13650,13650
1462448103,13650,13650
1462448703,13652,13652
1462449308,13523,13523
1462449904,13434,13434
1462450503,13440,13440
1462451104,13438,13438
1462451703,13432,13432
1462452305,13406,13406
1462452903,13406,13406
1462453205,13403,13403
1462453803,13408,13408
1462454403,13406,13406
1462454705,13403,13403
1462455303,13399,13399
1462455904,13392,13392
1462456503,13392,13392
1462457103,13389,13389
1462457707,13330,13330
1462458307,13149,13149
1462458905,13121,13121
1462459505,13068,13068
1462460105,13001,13001
1462460715,12730,12730
1462461302,12554,12554
1462461906,12476,12476
1462462211,12400,12400
1462462803,12268,12268
1462463403,12267,12267
1462464005,12249,12249
1462464603,12196,12196
1462464906,12149,12149
1462465503,12152,12152
1462465806,12093,12093
1462466408,4207,4207
1462467002,11890,11890
1462467606,11831,11831
1462467908,11739,11739
1462468504,11682,11682
1462469103,11675,11675
1462469702,11671,11671
1462470303,11666,11666
1462470903,11680,11680
1462471208,11585,11585
1462471804,11581,11581
1462472403,11578,11578
1462473005,11573,11573
1462473602,11564,11564
1462474206,11482,11482
1462474803,11479,11479
1462475403,11463,11463
1462476003,11463,11463
1462476603,11460,11460
1462477203,11440,11440
1462477803,11442,11442
1462478402,11475,11475
1462479003,11521,11521
1462479308,11418,11418
1462479902,11412,11412
1462480204,11414,11414
1462480805,11467,11467
1462481404,11457,11457
1462482004,11454,11454
1462482603,11470,11470
1462483202,11475,11475
1462483510,11393,11393
1462484103,11442,11442
1462484704,11443,11443
1462485305,11438,11438
1462485902,11510,11510
1462486504,11475,11475
1462487104,11453,11453
1462487413,11374,11374
1462488004,11364,11364
1462488604,11348,11348
1462489203,11351,11351
1462489804,11354,11354
1462490404,11333,11333
1462491005,11305,11305
1462491604,11330,11330
1462492203,11323,11323
1462492802,11321,11321
1462493105,11324,11324
1462493702,11324,11324
1462494004,11318,11318
1462494604,11321,11321
1462495202,11320,11320
1462495504,11319,11319
1462496103,11315,11315
1462496703,11298,11298
1462497302,11300,11300
1462497604,11286,11286
1462498205,11268,11268
1462498802,11276,11276
1462499403,11274,11274
1462499705,11261,11261
1462500302,11260,11260
1462500903,11261,11261
1462501505,11249,11249
1462502102,11249,11249
1462502703,11249,11249
1462503304,11238,11238
1462503606,11207,11207
1462504202,11206,11206
1462504802,11206,11206
1462505108,11188,11188
1462505705,11185,11185
1462506303,11184,11184
1462506606,11169,11169
1462507203,11167,11167
1462507804,11156,11156
1462508404,11142,11142
1462509003,11140,11140
1462509602,11142,11142
1462510203,11143,11143
1462510804,11139,11139
1462511402,11140,11140
1462512002,11136,11136
1462512305,11118,11118
1462512902,11124,11124
1462513504,11126,11126
1462514104,11111,11111
1462514703,11095,11095
1462515302,11082,11082
1462515902,11075,11075
1462516503,11055,11055
1462517102,11056,11056
1462517702,11055,11055
1462518303,11053,11053
1462518903,11056,11056
1462519502,11041,11041
1462520103,11022,11022
1462520702,11020,11020
1462521004,11006,11006
1462521604,10989,10989
1462522202,10993,10993
1462522804,10970,10970
1462523403,11329,11329
1462524004,11321,11321
1462524604,11357,11357
1462525203,11357,11357
1462525804,11332,11332
1462526403,11335,11335
1462527003,11338,11338
1462527603,11323,11323
1462528203,11327,11327
1462528803,11321,11321
1462529403,11321,11321
1462530002,11324,11324
1462530603,11298,11298
1462531203,11392,11392
1462531805,11389,11389
1462532404,11377,11377
1462533003,11379,11379
1462533602,11389,11389
1462534204,11573,11573
1462534803,11561,11561
1462535404,11559,11559
1462536003,11644,11644
1462536603,11627,11627
1462537203,11627,11627
1462537803,11611,11611
1462538404,11586,11586
1462539004,11594,11594
1462539603,11586,11586
1462539905,11582,11582
1462540503,11555,11555
1462541102,11563,11563
1462541703,11562,11562
1462542004,11546,11546
1462542603,11559,11559
1462543202,11567,11567
1462543803,11665,11665
1462544402,11717,11717
1462545003,11716,11716
1462545305,11706,11706
1462545903,11790,11790
1462546503,11784,11784
1462547103,11757,11757
1462547703,11842,11842
1462548303,11841,11841
1462548903,11828,11828
1462549503,12080,12080
1462550102,12173,12173
1462550404,12156,12156
1462551003,12205,12205
1462551603,12299,12299
1462552203,12287,12287
1462552803,12280,12280
1462553402,12273,12273
1462554004,12259,12259
1462554604,12323,12323
1462555202,12343,12343
1462555505,12324,12324
1462556104,12318,12318
1462556703,12317,12317
1462557305,12295,12295
1462557904,12292,12292
1462558503,12292,12292
1462559103,12476,12476
1462559702,12478,12478
1462560004,12460,12460
1462560603,12790,12790
1462561203,12790,12790
1462561803,12783,12783
1462562403,12779,12779
1462563002,12781,12781
1462563603,14097,14097
1462564204,14087,14087
1462564805,14057,14057
1462565406,13987,13987
1462566005,13984,13984
1462566603,13967,13967
1462567206,14010,14010
1462567803,14002,14002
1462568404,14085,14085
1462569007,14078,14078
1462569605,14070,14070
1462570212,14004,14004
1462572310,13945,13945
1462572904,13937,13937
1462573502,13934,13934
1462573805,13917,13917
1462574404,13896,13896
1462575003,13893,13893
1462575604,13885,13885
1462576203,13883,13883
1462576803,13877,13877
1462577402,13867,13867
1462578007,13830,13830
1462578605,13823,13823
1462579205,13797,13797
1462579803,13834,13834
1462580403,13823,13823
1462581006,13818,13818
1462581603,13808,13808
1462582202,13805,13805
1462582504,13799,13799
1462583103,13823,13823
1462583703,13820,13820
1462584303,13820,13820
1462584904,13810,13810
1462586103,13806,13806
1462586703,13804,13804
1462587302,13805,13805
1462587904,13802,13802
1462588504,13802,13802
1462589102,13798,13798
1462589703,13799,13799
1462590303,13796,13796
1462590903,13792,13792
1462591503,13798,13798
1462592104,13795,13795
1462592706,13782,13782
1462593303,13775,13775
1462593903,13762,13762
1462594503,13760,13760
1462595103,13800,13800
1462595703,13796,13796
1462596303,13793,13793
1462596903,13796,13796
1462597503,13792,13792
1462598102,13791,13791
1462598702,13788,13788
1462599303,13780,13780
1462599904,13776,13776
1462600504,13766,13766
1462601102,13763,13763
1462601702,13763,13763
1462602303,13757,13757
1462602903,13754,13754
1462603503,13754,13754
1462604102,13754,13754
1462604703,13750,13750
1462605304,13733,13733
1462605902,13735,13735
1462606502,13730,13730
1462607102,13729,13729
1462607703,13838,13838
1462608304,13835,13835
1462608903,13822,13822
1462609507,13713,13713
1462609811,13513,13513
1462610403,13608,13608
1462611005,13586,13586
1462611603,13568,13568
1462612204,13540,13540
1462612803,13538,13538
1462613404,13538,13538
1462614003,13533,13533
1462614603,13524,13524
1462615203,13522,13522
1462615802,13503,13503
1462616104,13493,13493
1462616703,13481,13481
1462617304,13462,13462
1462617606,13379,13379
1462618203,13381,13381
1462618802,13384,13384
1462619403,13382,13382
1462620003,13374,13374
1462620306,13281,13281
1462620903,13202,13202
1462621503,13201,13201
1462622103,13199,13199
1462622406,13127,13127
1462623003,13109,13109
1462623603,13156,13156
1462624203,13153,13153
1462624803,13151,13151
1462625403,13138,13138
1462626003,13131,13131
1462626602,13137,13137
1462627203,13127,13127
1462627803,13127,13127
1462628402,13124,13124
1462629003,13216,13216
1462629603,13208,13208
1462630207,13116,13116
1462630805,13070,13070
1462631402,13165,13165
