DateTime,AddedIPs,RemovedIPs
1457679915,252,0
1457701937,246,0
1457723796,176,0
1457745680,131,661
1457767721,110,0
1457789797,72,0
1457811904,96,0
1457833964,132,0
1457856035,169,0
1457878100,67,0
1457899980,88,0
1457922027,170,0
1457944106,100,0
1457965987,121,0
1457988024,155,0
1458009902,124,0
1458031938,75,0
1458053782,87,0
1458075628,66,0
1458097480,58,0
1458119321,33,0
1458141421,56,0
1458163465,4052,0
1458185327,1704,0
1458207393,989,0
1458229466,30,0
1458251317,132,0
1458273375,1115,0
1458295251,22,0
1458317313,87,0
1458339187,39,95
1458361219,220,71
1458383062,156,53
1458404920,47,30
1458426765,16,51
1458448610,41,67
1458470660,32,110
1458492772,52,47
1458514828,210,56
1458536674,46,109
1458558531,208,73
1458580614,754,80
1458602466,69,117
1458624504,224,115
1458646373,0,70
1458668425,1,102
1458690303,0,75
1458712352,0,76
1458734438,0,48
1458756283,22,73
1458778126,1696,2190
1458800178,1149,1154
1458822033,193,796
1458843908,217,29
1458865974,105,104
1458888024,370,907
1458910125,277,17
1458931971,852,68
1458954050,364,32
1458976130,182,188
1458997983,261,112
1459020215,103,39
1459042098,248,17
1459063975,262,31
1459086060,96,24
1459108137,320,47
1459130010,297,150
1459152075,197,33
1459174126,432,1003
1459196706,113,792
1459218777,308,35
1459240837,41,209
1459262706,83,0
1459284684,31,0
1459306595,476,2
1459328736,108,0
1459350594,391,0
1459372827,255,17
1459394853,906,964
1459416811,65,954
1459438839,2304,47
1459461091,439,72
1459482985,466,29
1459504872,912,298
1459526908,105,68
1459549058,24,575
1459570909,123,307
1459592921,157,57
1459614775,1026,138
1459636874,102,196
1459658956,140,150
1459681005,68,108
1459703095,44,49
1459724938,102,262
1459747085,73,121
1459769062,146,170
1459790929,528,307
1459812786,214,93
1459834876,235,73
1459856921,52,29
1459878773,363,40
1459900833,131,42
1459922972,80,173
1459945062,88,140
1459967088,2293,652
1459988959,2303,137
1460011249,213,468
1460033302,641,72
1460055392,532,2127
1460077274,597,378
1460099323,150,370
1460121191,572,854
1460143229,407,94
1460165100,152,34
1460187172,133,236
1460209227,249,335
1460231093,35,770
1460252958,72,108
1460274998,305,334
1460296853,67,100
1460318704,11,105
1460340552,96,144
1460362416,46,211
1460384773,52,354
1460406791,49,343
1460429079,239,320
1460450931,35,323
1460472991,72,48
1460494847,261,488
1460516929,785,256
1460538799,999,172
1460560891,1046,128
1460582918,473,2312
1460604780,312,2180
1460626622,371,224
1460648674,2396,694
1460670531,1157,544
1460692618,527,696
1460714656,1327,113
1460736534,788,798
1460758378,890,388
1460780464,435,163
1460802481,619,134
1460824377,1579,419
1460846446,575,29
1460868600,169,127
1460890648,965,319
1460912700,667,19
1460934782,317,11
1460956838,436,90
1460978918,100,73
1461001047,36,72
1461023073,13,47
1461044937,41,136
1461067019,108,40
1461089110,194,78
1461111157,156,138
1461133016,82,304
1461161894,946,601
1461183862,1683,570
1461205716,568,312
1461227835,1165,176
1461249861,131,250
1461271717,49,1182
1461293560,34,886
1461315624,66,347
1461337503,26,949
1461359560,31,523
1461381630,6,849
1461403694,17,309
1461425550,15,513
1461447420,35,1153
1461469464,23,795
1461491306,58,327
1461513159,464,1399
1461535336,1401,818
1461557316,174,325
1461579240,308,492
1461601230,94,172
1461623315,13,20
1461645385,36,5
1461667271,128,28
1461689314,18,160
1461711160,36,320
1461733244,52,76
1461755321,181,100
1461777167,862,921
1461799235,882,2904
1461821357,1150,1033
1461843378,177,2493
1461865234,1085,685
1461887348,240,41
1461909387,114,31
1461931269,137,56
1461953305,305,21
1461975165,190,30
1461997021,89,6
1462019054,135,24
1462041214,27,23
1462063224,178,35
1462085321,62,20
1462107391,236,79
1462129268,132,621
1462151301,27,620
1462173156,268,213
1462195218,3536,80
1462220945,325,73
1462243168,128,15
1462265083,75,33
1462286950,207,120
1462308999,73,11
1462331050,99,30
1462352955,37,49
1462374983,1723,184
1462397057,61,286
1462418916,102,390
1462440758,65,786
1462462826,54,193
1462484918,102,1167
1462507001,132,175
1462529059,141,156
1462550913,120,151
1462572777,175,1011
1462594810,39,315
1462616664,54,98
1462638511,203,164
1462660591,140,32
1462682687,50,261
1462704745,63,56
1462726870,219,167
1462748900,54,293
1462771020,29,26
1462792998,38,269
1462814901,100,3769
