DateTime,Entries,UniqueIPs
1460041210,7126,7126
1460046005,7124,7124
1460049848,7132,7132
1460055613,7153,7153
1460059443,7150,7150
1460061364,7142,7142
1460065205,7132,7132
1460070963,7072,7072
1460076965,7054,7054
1460084645,7046,7046
1460090404,7049,7049
1460096168,7087,7087
1460101928,7080,7080
1460105763,7102,7102
1460111526,7112,7112
1460115366,7098,7098
1460119209,7112,7112
1460123046,7108,7108
1460129043,7121,7121
1460134806,7142,7142
1460140564,7151,7151
1460144404,7150,7150
1460148243,7146,7146
1460155924,7083,7083
1460161691,7089,7089
1460167445,7065,7065
1460169368,7055,7055
1460173206,7049,7049
1460177045,7043,7043
1460183043,7060,7060
1460190003,7108,7108
1460195765,7133,7133
1460199604,7144,7144
1460205363,7143,7143
1460209204,7161,7161
1460215204,7154,7154
1460219046,7160,7160
1460222886,7166,7166
1460228643,7146,7146
1460230564,7137,7137
1460234404,7146,7146
1460239211,7118,7118
1460244963,7087,7087
1460248804,7092,7092
1460252883,7061,7061
1460258648,7044,7044
1460264407,7028,7028
1460272086,7063,7063
1460278327,7082,7082
1460282164,7121,7121
1460288163,7133,7133
1460292003,7133,7133
1460295843,7129,7129
1460305689,7130,7130
1460311446,7145,7145
1460317210,7145,7145
1460321046,7138,7138
1460324889,7134,7134
1460330645,7092,7092
1460334499,7082,7082
1460340488,7036,7036
1460346246,7028,7028
1460350324,7020,7020
1460358245,7052,7052
1460364243,7081,7081
1460370003,7103,7103
1460375768,7123,7123
1460383444,7120,7120
1460389447,7129,7129
1460395204,7079,7079
1460402885,7106,7106
1460406725,7079,7079
1460412484,7036,7036
1460418727,6997,6997
1460424483,6983,6983
1460430247,6982,6982
1460434087,6961,6961
1460438164,6953,6953
1460443927,6990,6990
1460449924,7004,7004
1460455688,7024,7024
1460461443,7025,7025
1460463615,7029,7029
1460469612,7038,7038
1460473447,7046,7046
1460481367,7047,7047
1460487128,7095,7095
1460493366,7090,7090
1460497446,7065,7065
1460505128,7013,7013
1460511126,6991,6991
1460516892,6978,6978
1460524568,6962,6962
1460530330,7019,7019
1460538249,7047,7047
1460546166,7017,7017
1460552164,7037,7037
1460556008,7037,7037
1460559843,7040,7040
1460565845,7051,7051
1460571614,7052,7052
1460579283,7064,7064
1460583125,7050,7050
1460586964,7003,7003
1460595138,6974,6974
1460602816,6965,6965
1460608804,6967,6967
1460612649,6967,6967
1460618409,7017,7017
1460622255,7027,7027
1460626087,7050,7050
1460629931,7060,7060
1460633767,7031,7031
1460639530,7061,7061
1460647926,7065,7065
1460652016,7063,7063
1460657767,7075,7075
1460663763,7074,7074
1460671687,7054,7054
1460677443,7011,7011
1460683203,6984,6984
1460691127,6991,6991
1460694963,6982,6982
1460699047,6974,6974
1460701207,6998,6998
1460706964,7024,7024
1460708889,7053,7053
1460712964,7049,7049
1460716805,7054,7054
1460720644,7047,7047
1460724487,7059,7059
1460730244,7062,7062
1460734088,7066,7066
1460737927,7061,7061
1460741770,7074,7074
1460747770,7063,7063
1460751608,7057,7057
1460755448,7058,7058
1460759284,7048,7048
1460763128,7008,7008
1460766965,6983,6983
1460774648,6961,6961
1460784251,6955,6955
1460790963,6998,6998
1460798889,7031,7031
1460802726,7046,7046
1460808490,7072,7072
1460810407,7064,7064
1460820007,7066,7066
1460825766,7053,7053
1460827692,7065,7065
1460833443,7068,7068
1460837531,7070,7070
1460843286,7062,7062
1460850964,7021,7021
1460852885,7022,7022
1460858645,6999,6999
1460864406,6983,6983
1460872336,7003,7003
1460878325,7032,7032
1460888170,7077,7077
1460892259,7096,7096
1460898055,7096,7096
1460903765,7099,7099
1460909795,7109,7109
1460917454,7117,7117
1460923211,7109,7109
1460930888,7070,7070
1460939058,7025,7025
1460943369,7013,7013
1460952963,6987,6987
1460958728,7020,7020
1460966651,7055,7055
1460974808,7061,7061
1460982974,7046,7046
1460986810,7064,7064
1460990884,7071,7071
1460992806,7070,7070
1460998565,7104,7104
1461006247,7109,7109
1461014166,7105,7105
1461022087,7021,7021
1461025925,7014,7014
1461031689,6994,6994
1461035770,6983,6983
1461041535,6949,6949
1461045364,7012,7012
1461053049,7041,7041
1461058807,7051,7051
1461064568,7040,7040
1461070326,7039,7039
1461078486,7032,7032
1461085211,7077,7077
1461090968,7100,7100
1461096727,7089,7089
1461104230,7081,7081
1461108007,7002,7002
1461113764,6962,6962
1461121443,6964,6964
1461127206,6954,6954
1461132974,6997,6997
1461138727,7022,7022
1461162273,6998,6998
1461171368,7017,7017
1461174004,7029,7029
1461177844,7031,7031
1461185523,7018,7018
1461191284,7004,7004
1461197044,6944,6944
1461202805,6920,6920
1461206644,6933,6933
1461210484,6918,6918
1461218164,6951,6951
1461225851,6973,6973
