DateTime,Entries,UniqueIPs
1461858743,869,883
1461860653,882,896
1461862587,872,886
1461864757,870,881
1461866653,870,881
1461868576,880,891
1461870499,880,891
1461872422,885,896
1461874349,881,892
1461876254,890,901
1461878206,878,888
1461880110,898,908
1461882022,906,916
1461883948,893,901
1461885855,921,930
1461887784,921,930
1461889702,933,942
1461891633,944,953
1461893547,969,978
1461895454,979,988
1461897388,979,988
1461899310,990,999
1461901215,1012,1023
1461903396,1011,1022
1461905302,1011,1025
1461907333,1029,1044
1461909140,1021,1034
1461911056,1038,1052
1461912976,1026,1042
1461914906,1032,1048
1461916821,1041,1059
1461918739,1043,1061
1461920651,1058,1076
1461922583,1054,1070
1461924508,1071,1086
1461926441,1084,1099
1461928334,1109,1124
1461930255,1129,1144
1461932174,1137,1153
1461934097,1161,1175
1461936018,1176,1190
1461937944,1165,1178
1461939856,1180,1193
1461941783,1186,1199
1461943737,1188,1201
1461945939,1205,1219
1461947783,1191,1206
1461949706,1189,1204
1461951621,1189,1204
1461953548,1185,1200
1461955448,1207,1223
1461957376,1224,1240
1461959294,1239,1256
1461961208,1252,1269
1461963130,1255,1272
1461965051,1271,1288
1461966974,1280,1297
1461968897,1277,1294
1461970848,1283,1302
1461972741,1284,1303
1461974649,1292,1311
1461976575,1291,1310
1461978498,1281,1300
1461980412,1278,1297
1461982346,1297,1314
1461984253,1297,1314
1461986176,1283,1300
1461988107,1283,1299
1461990020,1285,1301
1461991944,1272,1288
1461993852,1275,1292
1461995769,1285,1300
1461997697,1302,1318
1461999619,1316,1332
1462001544,1321,1336
1462003454,1327,1343
1462005374,1333,1349
1462007304,1341,1356
1462009219,1346,1362
1462011392,1358,1374
1462013305,1366,1382
1462015219,1356,1374
1462017199,1355,1373
1462019051,1351,1368
1462020989,1318,1335
1462022897,1317,1334
1462024830,1312,1329
1462026749,1309,1326
1462028647,1307,1325
1462030579,1309,1330
1462032524,1313,1334
1462034437,1337,1358
1462036365,1345,1366
1462038383,1365,1386
1462040279,1382,1404
1462042208,1374,1396
1462044057,1368,1391
1462045994,1362,1384
1462047894,1363,1385
1462049841,1359,1381
1462051743,1362,1384
1462053778,1361,1381
1462055809,1363,1383
1462057729,1380,1397
1462059644,1386,1403
1462061610,1390,1407
1462063478,1396,1413
1462065418,1401,1422
1462067325,1398,1419
1462069252,1401,1422
1462071160,1399,1421
1462073082,1411,1433
1462075013,1397,1419
1462076944,1401,1422
1462078854,1393,1414
1462080774,1394,1415
1462082680,1392,1414
1462084622,1392,1415
1462086536,1389,1412
1462088441,1392,1415
1462090395,1385,1410
1462092290,1389,1414
1462094509,1381,1406
1462096374,1380,1406
1462098272,1373,1399
1462100210,1367,1394
1462102120,1373,1401
1462104045,1390,1420
1462105965,1388,1415
1462107875,1400,1427
1462109811,1403,1427
1462111730,1417,1441
1462113655,1409,1434
1462115571,1406,1430
1462117473,1393,1419
1462119414,1389,1415
1462121321,1395,1421
1462123366,1403,1430
1462125397,1406,1432
1462127323,1404,1428
1462129250,1401,1428
1462131311,1396,1423
1462133343,1390,1417
1462135250,1392,1421
1462137167,1400,1429
1462139085,1398,1426
1462141000,1392,1419
1462142924,1398,1424
1462144837,1389,1416
1462146768,1382,1409
1462148678,1371,1398
1462150602,1355,1382
1462152523,1350,1378
1462154463,1352,1380
1462156357,1342,1370
1462158282,1335,1363
1462160209,1332,1357
1462162130,1339,1364
1462164327,1342,1367
1462166185,1349,1374
1462168105,1348,1371
