DateTime,AddedIPs,RemovedIPs
1461876254,11,14
1461878206,11,10
1461880110,15,19
1461882022,18,11
1461883948,5,18
1461885855,19,10
1461887784,16,6
1461889702,16,10
1461891633,24,9
1461893547,28,0
1461895454,14,7
1461897388,18,9
1461899310,15,5
1461901215,20,6
1461903396,20,17
1461905302,21,2
1461907333,19,9
1461909140,18,17
1461911056,16,3
1461912976,6,8
1461914906,11,5
1461916821,13,12
1461918739,12,6
1461920651,19,15
1461922583,11,13
1461924508,16,16
1461926441,15,15
1461928334,21,13
1461930255,18,17
1461932174,29,13
1461934097,27,13
1461936018,24,4
1461937944,13,10
1461939856,28,0
1461941783,15,7
1461943737,24,5
1461945939,17,0
1461947783,6,9
1461949706,9,12
1461951621,4,6
1461953548,6,6
1461955448,24,4
1461957376,18,7
1461959294,13,18
1461961208,16,5
1461963130,16,14
1461965051,20,17
1461966974,20,4
1461968897,14,8
1461970848,15,4
1461972741,13,10
1461974649,19,5
1461976575,17,3
1461978498,13,4
1461980412,12,8
1461982346,27,10
1461984253,21,12
1461986176,10,10
1461988107,16,18
1461990020,20,18
1461991944,16,21
1461993852,20,18
1461995769,25,14
1461997697,34,18
1461999619,15,10
1462001544,22,16
1462003454,23,19
1462005374,13,14
1462007304,23,14
1462009219,17,12
1462011392,26,18
1462013305,14,17
1462015219,17,10
1462017199,17,29
1462019051,19,10
1462020989,9,20
1462022897,19,19
1462024830,8,13
1462026749,26,17
1462028647,13,10
1462030579,27,11
1462032524,18,5
1462034437,15,14
1462036365,18,16
1462038383,20,11
1462040279,23,14
1462042208,18,18
1462044057,12,25
1462045994,15,22
1462047894,19,14
1462049841,12,13
1462051743,18,19
1462053778,23,6
1462055809,22,17
1462057729,20,8
1462059644,19,5
1462061610,20,14
1462063478,23,21
1462065418,18,10
1462067325,14,9
1462069252,23,20
1462071160,18,15
1462073082,16,12
1462075013,3,23
1462076944,21,21
1462078854,11,18
1462080774,17,17
1462082680,16,14
1462084622,22,21
1462086536,12,14
1462088441,16,8
1462090395,13,5
1462092290,14,3
1462094509,16,23
1462096374,16,19
1462098272,17,24
1462100210,19,21
1462102120,25,30
1462104045,27,16
1462105965,20,25
1462107875,14,24
1462109811,19,28
1462111730,21,21
1462113655,11,28
1462115571,18,18
1462117473,9,22
1462119414,18,21
1462121321,26,18
1462123366,26,14
1462125397,21,16
1462127323,23,17
1462129250,18,13
1462131311,8,28
1462133343,12,12
1462135250,23,18
1462137167,13,23
1462139085,10,17
1462141000,20,3
1462142924,25,9
1462144837,18,3
1462146768,15,14
1462148678,17,25
1462150602,15,19
1462152523,7,11
1462154463,17,19
1462156357,18,22
1462158282,14,17
1462160209,14,17
1462162130,7,10
1462164327,27,16
1462166185,16,10
1462168105,12,21
1462170046,16,17
1462171942,12,22
1462173847,17,16
1462175771,20,14
1462177694,20,20
1462179629,15,20
1462181553,20,25
1462183447,15,30
1462185376,11,29
1462187306,13,20
1462189224,10,14
1462191143,19,11
1462193051,20,29
1462194989,13,14
1462196910,24,20
1462198814,25,8
1462200737,7,10
1462202650,18,13
1462204581,5,2
1462206501,16,6
1462208428,4,18
1462210351,23,10
1462212247,4,15
1462220918,13,59
1462223147,7,12
1462225078,5,15
1462226929,16,0
1462228855,4,42
1462230759,5,0
1462232675,9,7
1462234618,7,0
1462236532,9,17
1462238446,9,16
1462240360,6,14
1462242276,21,20
1462244376,10,14
1462246362,11,21
1462248277,15,23
1462250199,12,14
1462252132,15,13
1462254049,12,15
1462255981,12,20
1462257883,29,24
1462259807,15,25
1462261724,22,31
1462263647,19,13
1462265579,12,20
1462267488,26,19
1462269398,23,13
1462271593,12,15
1462273473,17,13
1462275461,12,25
1462277317,13,18
1462279242,21,0
1462281179,26,30
1462283076,18,10
1462285011,21,12
1462286941,17,26
1462288837,19,13
1462290916,5,11
1462292922,7,13
1462294848,6,8
1462296779,3,26
1462298680,5,10
1462300616,5,9
1462302521,7,0
1462304454,6,28
1462306371,6,24
1462308278,7,14
1462310207,6,12
1462312131,19,19
1462314047,9,22
1462315967,3,10
1462317880,17,14
1462319804,5,16
1462321734,8,17
1462323651,7,9
1462325579,15,14
1462327507,17,12
1462329431,25,8
1462331633,15,14
1462333474,19,21
1462335405,17,16
1462337323,16,20
1462339243,7,15
1462341170,18,20
1462343085,19,21
1462345001,18,8
1462346919,19,30
1462348858,15,17
1462350860,27,21
1462352942,24,23
1462354843,19,9
1462356789,16,5
1462358677,23,17
1462360603,15,16
1462362527,18,6
1462364475,20,17
1462366371,15,20
1462368286,15,13
1462370200,16,8
1462372234,30,13
1462374074,9,6
1462375984,6,21
1462377880,17,6
1462379811,23,12
1462381740,4,7
1462383647,7,3
1462385574,14,8
1462387478,13,7
1462389401,15,4
1462391432,8,8
1462393482,23,6
1462395417,6,12
1462397484,7,7
1462399517,8,13
1462401397,3,8
1462403324,5,5
1462405353,15,12
1462407186,8,9
1462409079,15,8
1462411019,11,6
1462412919,20,8
1462414848,23,5
1462416762,31,10
1462418680,23,8
1462420601,22,10
1462422545,29,13
1462424465,21,19
1462426385,20,8
1462428288,8,21
1462430213,16,5
1462432120,20,22
1462434124,23,8
1462435987,26,7
1462437889,22,9
1462439851,26,10
1462441742,16,23
1462443655,15,3
1462445588,23,6
1462447498,16,7
1462449417,12,10
1462451355,27,19
1462453268,7,17
1462455202,9,18
1462457094,8,19
1462459158,5,9
1462461165,8,14
1462463083,13,21
1462464997,14,6
1462466924,9,16
1462468843,4,9
1462470758,7,7
1462472618,10,10
1462474606,5,9
1462476526,6,4
1462478471,8,10
1462480467,6,7
1462482334,10,12
1462484219,12,7
1462486211,8,16
1462488059,8,21
1462489982,9,5
1462491893,13,17
1462493822,12,12
1462495740,11,14
1462497644,14,20
1462499756,30,19
1462501748,26,11
1462503934,17,18
1462505781,16,18
1462507694,13,18
1462509617,14,22
1462511545,23,26
1462513447,18,16
1462515382,31,9
1462517301,18,11
1462519209,26,6
1462521135,16,12
1462523049,16,16
1462524971,22,11
1462526893,20,19
1462528823,9,6
1462530750,23,17
1462532652,23,13
1462534573,21,21
1462536500,25,10
1462538419,29,19
1462540353,12,29
1462542252,15,14
1462544179,14,10
1462546101,20,26
1462548012,18,14
1462549934,17,22
1462551849,14,16
1462553769,8,7
1462555693,16,8
1462557623,5,3
1462559544,5,9
1462561449,7,21
1462563376,6,15
1462565299,4,15
1462567221,7,18
1462569150,5,15
1462572367,6,38
1462574219,12,19
1462576136,7,13
1462578053,4,12
1462579991,20,16
1462581886,15,16
1462583813,24,11
1462585731,27,19
1462587641,26,22
1462589563,18,18
1462591474,13,8
1462593408,21,14
1462595347,19,17
1462597257,19,16
1462599170,17,10
1462601078,16,17
1462603152,16,26
1462605136,17,17
1462607049,20,20
1462608986,13,22
1462610894,19,16
1462612816,19,20
1462614741,18,13
1462616654,21,20
1462618571,18,18
1462620492,25,20
1462622423,22,14
1462624347,22,20
1462626250,15,5
1462628171,18,19
1462630096,20,5
1462632024,9,19
1462633944,23,19
1462635849,21,22
1462637798,24,27
1462639707,16,13
1462641615,20,16
1462643474,23,19
1462645482,13,25
1462647396,21,18
1462649321,17,11
1462651522,18,16
1462653384,15,18
1462655305,15,12
1462657214,19,19
1462659148,13,21
1462661050,33,18
1462663001,20,25
1462665040,25,22
1462667079,24,22
1462669004,16,24
1462671091,19,13
1462673097,15,18
1462675004,17,24
1462676928,12,17
1462678845,21,16
1462680760,22,4
1462682676,17,19
1462684610,12,13
1462686516,12,14
1462688436,16,10
1462690360,15,21
1462692283,23,13
1462694198,20,17
1462696156,20,12
1462698055,23,17
1462699977,24,15
1462701884,21,13
1462703841,20,18
1462705730,18,20
1462707644,24,22
1462709573,21,21
1462711477,21,15
1462713409,20,17
1462715328,11,17
1462717234,21,18
1462719161,20,17
1462721078,20,16
1462723006,18,12
1462724937,24,16
1462726865,22,23
1462728770,16,18
1462730684,14,21
1462732608,20,23
1462734529,14,19
1462736436,11,8
1462738373,16,16
1462740279,26,21
1462742214,10,14
1462744122,13,16
1462746044,19,19
1462747981,19,21
1462749876,21,20
1462751800,28,13
1462753729,16,13
1462755652,25,18
1462757572,3,12
1462759479,3,20
1462761402,16,18
1462763330,16,15
1462765243,17,16
1462767171,14,20
1462769075,11,0
1462771009,15,35
1462772924,14,15
1462774841,13,0
1462776889,16,29
1462778700,23,25
1462780606,20,21
1462782514,29,20
1462784467,6,14
1462786520,13,16
1462788530,19,17
1462790446,9,14
1462792373,24,16
1462794278,25,10
1462796210,24,28
1462798130,19,20
1462800045,16,14
1462801957,16,29
1462803881,27,26
1462805797,9,4
1462807720,19,19
1462809653,16,8
1462811597,17,17
1462813475,6,2
1462815399,7,30
1462817324,11,5
1462819364,33,0
1462821425,6,0
1462823328,24,0
1462825246,17,0
1462827165,7,14
1462829084,24,5
1462831000,4,5
1462832922,24,15
1462834859,21,8
1462836781,6,7
1462838668,12,9
1462840601,10,9
1462842526,9,8
1462844458,11,6
1462846370,24,4
1462848283,21,20
