DateTime,AddedIPs,RemovedIPs
1461494102,5,8
1461498045,13,4
1461499957,13,843
1461503806,842,1
1461505726,0,6
1461507629,0,3235
1461509561,3235,0
1461511472,4,1
1461513395,2,3
1461517299,2,3
1461519169,0,2
1461521238,0,853
1461525172,850,0
1461527074,0,1
1461528997,29,926
1461530917,917,0
1461532838,31,16
1461534960,20,19
1461538853,6,4
1461540763,24,25
1461544606,21,8
1461546526,21,558
1461550370,553,3
1461552283,2,2
1461558047,2,1
1461559953,0,4152
1461561875,4152,0
1461563800,1,6
1461565719,0,1
1461569593,12,11
1461571478,16,1067
1461575324,1063,0
1461577249,0,4
1461579170,43,326
1461581073,307,0
1461582996,2,6
1461584938,0,6
1461586980,0,1
1461590915,4,1087
1461592863,1085,4
1461595051,44,25
1461598862,37,24
1461600792,4,14
1461602913,1,4
1461606770,11,17
1461608675,20,46
1461610614,6,515
1461612530,499,0
1461614446,0,5
1461616358,40,59
1461620196,2,4
1461622138,4,9
1461624035,0,3996
1461625959,3996,0
1461630569,2,1
1461632458,0,1
1461636293,67,37
1461638238,20,21
1461640130,21,1287
1461642057,594,0
1461643988,678,0
1461646141,11,19
1461648055,2,5
1461651879,11,1226
1461653833,1211,0
1461657672,5,12
1461659593,0,1
1461661469,11,4228
1461663416,2983,0
1461665343,1240,3
1461667260,2,2
1461671087,22,20
1461673025,19,3133
1461674949,3114,0
1461676845,0,1131
1461678876,1131,2
1461682864,13,7
1461684781,23,11
1461686925,30,41
1461690764,61,15
1461692675,1,5
1461694604,18,1577
1461696526,1558,0
1461698429,57,1327
1461700371,1283,1
1461704207,32,47
1461706131,30,15
1461709974,2,9
1461711874,8,5
1461713811,6,0
1461717650,31,18
1461719560,25,16
1461723395,2,5
1461725328,25,60
1461740685,113,146
1461744549,3,10
1461746452,10,17
1461748488,1,2
1461752438,6,78
1461754364,77,1
1461758213,10,15
1461760134,0,1
1461762034,11,4172
1461763962,3635,0
1461765888,534,2
1461767802,16,14
1461771652,12,11
1461773576,16,607
1461777419,592,6
1461779322,13,5
1461781252,17,7
1461785119,1,3
1461787002,8,4
1461788919,0,947
1461790869,945,0
1461792776,13,2
1461794719,5,3
1461798540,7,6
1461800453,2,2
1461802381,17,1102
1461804278,1096,0
1461806210,18,20
1461808135,9,9
1461811991,17,7
1461813876,21,8
1461817719,7,1267
1461819654,1247,0
1461823478,4,9
1461825402,13,23
1461827326,8,20
1461831174,7,15
1461833075,10,167
1461835006,157,0
1461836918,4,10
1461838837,1,5
1461842668,2,582
1461844610,588,0
1461848455,2,2
1461854435,6,1
1461856362,3,550
1461860208,553,1
1461862144,7,9
1461864041,0,161
1461865969,157,0
1461867871,29,28
1461869804,3,3
1461873646,60,40
1461875570,0,7
1461877704,0,3
1461883477,52,47
1461887332,49,43
1461889238,46,27
1461891163,0,9
1461895009,82,58
1461896932,4,13
1461899799,1,1140
1461901899,1130,2
1461907719,36,19
1461911558,28,1308
1461913479,1310,1
1461915517,1,4
1461919514,31,20
1461921438,9,1215
1461925280,1200,0
1461927184,22,36
1461929251,28,28
1461933162,12,50
1461935068,37,1288
1461938936,1279,27
1461940836,16,8
1461943734,5,14
1461946603,13,34
1461950434,26,23
1461952367,15,13
1461954401,13,35
1461958365,30,33
1461960271,8,12
1461964129,52,26
1461966049,9,4
1461967951,27,3625
1461969879,3600,0
1461971806,15,55
1461973728,11,24
1461977568,65,38
1461979474,14,16
1461981398,34,1322
1461983338,1308,0
1461985266,6,16
1461987167,2,11
1461990995,25,24
1461992943,4,32
1461994944,65,54
1461998933,3,13
1462000846,5,11
1462004675,28,39
1462006612,11,13
1462008634,39,42
1462012364,31,35
1462014286,16,39
1462018134,40,38
1462020046,23,88
1462022153,38,19
1462026039,9,1479
1462028119,1452,16
1462032055,14,7
1462033967,45,15
1462036065,6,1266
1462040273,1266,15
1462042203,46,55
1462044054,16,26
1462047888,9,1343
1462049839,1377,33
1462053770,18,10
1462055806,11,15
1462057724,6,26
1462061606,11,25
1462063475,30,38
1462065411,34,1958
1462067319,1931,0
1462069246,37,1404
1462071159,1387,31
1462075012,30,13
1462076942,9,11
1462078850,30,29
1462082678,6,15
1462084618,31,36
1462088438,26,32
1462090392,30,28
1462094501,17,30
1462096371,5,19
1462098268,35,786
1462100209,755,0
1462102119,29,24
1462104041,9,3269
1462105958,3232,0
1462107872,19,27
1462109808,7,14
1462113649,42,36
1462115566,4,1473
1462117472,1450,0
1462119410,15,30
1462121317,12,50
1462123361,12,49
1462127322,4,171
1462129246,189,84
1462131304,48,49
1462135247,26,16
1462137164,2,1950
1462139083,1958,0
1462140994,26,42
1462142916,20,29
1462146767,23,44
1462148674,20,50
1462150600,1,1495
1462152521,1459,0
1462154458,29,44
1462156354,0,1006
1462158280,1000,0
1462160206,12,32
1462162125,37,26
1462165009,41,65
1462167049,37,77
1462170793,52,32
1462172689,0,1572
1462174625,608,0
1462176558,955,2
1462178463,46,44
1462182289,24,32
1462184476,28,979
1462186385,877,4
1462190222,32,107
1462192323,17,33
1462194296,8,2365
1462196222,1532,0
1462198150,809,3
1462200055,0,5
1462203885,45,35
1462205814,12,3
1462207885,0,7
1462211811,34,19
1462220891,63,750
1462223140,695,4
1462225075,34,18
1462228851,20,17
1462230756,20,1149
1462232673,1137,0
1462234612,19,25
1462236527,8,4
1462240359,1,11
1462242273,17,5
1462244375,2,1
1462248274,3,4
1462250195,1,1
1462254046,2,2
1462255978,7,0
1462257881,8,2
1462261719,4,2
1462263645,5,3
1462267483,1,4
1462269396,8,8
1462271587,0,2
1462275458,25,7
1462277312,15,927
1462281175,905,1
1462283074,34,15
1462286927,20,20
1462288835,25,6
1462290913,11,14
1462294844,19,5
1462296770,30,15
1462302516,19,19
1462304442,0,8
1462308276,47,27
1462310200,23,20
1462314045,9,14
1462315966,12,25
1462317876,22,21
1462321732,15,12
1462323647,11,8
1462327502,20,17
1462329425,2,3
1462331628,43,465
1462333473,446,0
1462335401,13,11
1462337319,11,14
1462341169,0,8
1462343080,14,4
1462346917,4,57
1462348854,59,0
1462350853,3,3
1462354838,4,2
1462356786,0,781
1462360596,785,1
1462364469,8,6
1462368277,1,1
1462370198,10,5
1462375977,47,31
1462377871,23,762
1462381732,755,0
1462383640,30,13
1462387476,51,20
1462389392,3,420
1462391428,419,2
1462395415,43,35
1462397479,0,6
1462401394,1,4
1462403319,68,32
1462405350,56,35
1462409075,0,2
1462414846,36,5
1462416761,158,38
1462418673,1,7
1462422544,2,2
1462424461,1,3
1462430210,34,34
1462432115,77,3364
1462434121,3266,0
1462435983,43,35
1462437887,0,4
1462441740,28,39
1462443653,10,17
1462447491,2,3
1462449416,0,5
1462451353,4,3
1462455193,3,3
1462457092,0,3
1462459150,2,2
1462463080,75,20
1462464993,23,21
1462468842,40,25
1462470756,0,5
1462472611,43,21
1462476524,101,68
1462478467,34,11
1462480462,33,18
1462484215,1,7
1462488056,23,13
1462489979,46,28
1462493815,1,3
1462495734,32,44
1462499755,16,9
1462501746,14,13
1462504590,5,892
1462506514,0,2566
1462508443,3448,0
1462510369,53,56
1462512272,17,8
1462514192,11,3927
1462516130,3921,0
1462518043,105,70
1462519966,3,12
1462523803,46,60
1462525721,16,20
1462527650,0,6
1462531719,44,18
1462533643,2,3
1462535714,3,5
1462539653,9,3
1462541560,21,9
1462545404,9,15
1462547342,28,15
1462551174,4,8
1462553078,28,45
1462556939,15,33
1462558834,2,7
1462562674,39,69
1462566522,20,38
1462570369,13,30
1462572356,0,3843
1462574213,3810,0
1462576131,1,6
1462578050,1,3
1462581883,5,4
1462583806,0,1007
1462587640,1023,0
1462589561,57,23
1462591469,31,3325
1462593407,3305,0
1462595345,1,4
1462601074,53,35
1462603020,24,11
1462606839,27,23
1462608762,23,47
1462610690,1,5
1462614525,54,58
1462616453,5,17
1462620273,37,1110
1462622211,1046,1
1462626074,1,5
1462627974,29,21
1462629878,7,1087
1462633725,1069,1
1462635646,3,2
1462639484,0,3
1462641417,8,1160
1462643469,1159,2
1462647395,28,64
1462649320,12,69
1462652201,0,3
1462654214,31,81
1462660137,10,18
1462662995,58,1156
1462665035,1084,1
1462669002,46,89
1462671086,16,40
1462675000,37,66
1462676923,1,615
1462680758,615,1
1462682673,2,2
1462686512,1,7
1462688434,16,1108
1462692279,1046,1
1462694197,2,2
1462699970,0,60
1462701882,60,0
1462703838,0,1
1462707641,12,1207
1462709570,947,0
1462711475,28,7
1462715323,3,8
1462717232,12,1105
1462719160,1067,2
1462723005,31,22
1462724936,86,46
1462726860,5,3
1462730681,82,42
1462732605,20,11
1462734524,0,9
1462738370,179,69
1462740276,2,12
1462742205,30,31
1462746041,6,11
1462747978,5,8
1462753728,15,10
1462755648,48,59
1462757559,0,1
1462761399,5,3
1462763325,36,134
1462765240,72,79
1462769073,0,3
1462771001,1,10
1462772918,0,784
1462774839,783,0
1462776763,0,1
1462778695,88,180
1462782513,39,1073
1462784462,1043,9
1462786511,0,1410
1462788521,1388,9
1462790443,50,76
1462792369,0,5
1462796204,2,5
1462798125,1,4
1462801956,89,138
1462803877,20,9
1462805795,50,13
1462809648,1,9
1462811589,27,17
1462815396,98,72
1462817315,80,63
