DateTime,Entries,UniqueIPs
1461525172,4286,4286
1461527074,4285,4285
1461528997,3388,3388
1461530917,4305,4305
1461532838,4320,4320
1461534960,4321,4321
1461538853,4323,4323
1461540763,4322,4322
1461544606,4335,4335
1461546526,3798,3798
1461550370,4348,4348
1461552283,4348,4348
1461558047,4349,4349
1461559953,197,197
1461561875,4349,4349
1461563800,4344,4344
1461565719,4343,4343
1461569593,4344,4344
1461571478,3293,3293
1461575324,4356,4356
1461577249,4352,4352
1461579170,4069,4069
1461581073,4376,4376
1461582996,4372,4372
1461584938,4366,4366
1461586980,4365,4365
1461590915,3282,3282
1461592863,4363,4363
1461595051,4382,4382
1461598862,4395,4395
1461600792,4385,4385
1461602913,4382,4382
1461606770,4376,4376
1461608675,4350,4350
1461610614,3841,3841
1461612530,4340,4340
1461614446,4335,4335
1461616358,4316,4316
1461620196,4314,4314
1461622138,4309,4309
1461624035,313,313
1461625959,4309,4309
1461630569,4310,4310
1461632458,4309,4309
1461636293,4339,4339
1461638238,4338,4338
1461640130,3072,3072
1461642057,3666,3666
1461643988,4344,4344
1461646141,4336,4336
1461648055,4333,4333
1461651879,3118,3118
1461653833,4329,4329
1461657672,4322,4322
1461659593,4321,4321
1461661469,104,104
1461663416,3087,3087
1461665343,4324,4324
1461667260,4324,4324
1461671087,4326,4326
1461673025,1212,1212
1461674949,4326,4326
1461676845,3195,3195
1461678876,4324,4324
1461682864,4330,4330
1461684781,4342,4342
1461686925,4331,4331
1461690764,4377,4377
1461692675,4373,4373
1461694604,2814,2814
1461696526,4372,4372
1461698429,3102,3102
1461700371,4384,4384
1461704207,4369,4369
1461706131,4384,4384
1461709974,4377,4377
1461711874,4380,4380
1461713811,4386,4386
1461717650,4399,4399
1461719560,4408,4408
1461723395,4405,4405
1461725328,4370,4370
1461740685,4337,4337
1461744549,4330,4330
1461746452,4323,4323
1461748488,4322,4322
1461752438,4250,4250
1461754364,4326,4326
1461758213,4321,4321
1461760134,4320,4320
1461762034,159,159
1461763962,3794,3794
1461765888,4326,4326
1461767802,4328,4328
1461771652,4329,4329
1461773576,3738,3738
1461777419,4324,4324
1461779322,4332,4332
1461781252,4342,4342
1461785119,4340,4340
1461787002,4344,4344
1461788919,3397,3397
1461790869,4342,4342
1461792776,4353,4353
1461794719,4355,4355
1461798540,4356,4356
1461800453,4356,4356
1461802381,3271,3271
1461804278,4367,4367
1461806210,4365,4365
1461808135,4365,4365
1461811991,4375,4375
1461813876,4388,4388
1461817719,3128,3128
1461819654,4375,4375
1461823478,4370,4370
1461825402,4360,4360
1461827326,4348,4348
1461831174,4340,4340
1461833075,4183,4183
1461835006,4340,4340
1461836918,4334,4334
1461838837,4330,4330
1461842668,3750,3750
1461844610,4338,4338
1461848455,4338,4338
1461854435,4343,4343
1461856362,3796,3796
1461860208,4348,4348
1461862144,4346,4346
1461864041,4185,4185
1461865969,4342,4342
1461867871,4343,4343
1461869804,4343,4343
1461873646,4363,4363
1461875570,4356,4356
1461877704,4353,4353
1461883477,4358,4358
1461887332,4364,4364
1461889238,4383,4383
1461891163,4374,4374
1461895009,4398,4398
1461896932,4389,4389
1461899799,3250,3250
