DateTime,AddedIPs,RemovedIPs
1460798431,0,7
1460802267,11,51
1460806258,119,470
1460810439,67,6973
1460812382,6825,0
1460816218,110,184
1460820044,113,165
1460823872,48,3
1460827880,46,57
1460833708,22,6
1460837589,2,1
1460843315,8,0
1460847159,5,10
1460850992,2,38
1460856768,12,16
1460864439,0,1
1460878368,1956,2021
1460882197,0,1
1460886038,2,0
1460890146,36,132
1460894195,110,6232
1460896122,6057,0
1460899971,100,0
1460903802,96,112
1460907644,47,2551
1460909835,2493,0
1460911730,23,6265
1460913641,6263,0
1460917482,2,0
1460921319,17,30
1460925185,29,72
1460934765,1482,873
1460939096,3,19
1460943405,5,4
1460948205,27,187
1460952043,73,213
1460955873,82,233
1460959999,27,293
1460961863,147,0
1460963790,45,949
1460965715,741,0
1460969558,87,41
1460973388,27,6
1460977247,31,105
1460981349,36,2396
1460985636,1289,0
1460987546,1073,0
1460991402,3,8
1460995238,15,4
1460999072,1698,850
1461003100,0,21
1461008911,0,23
1461012762,23,69
1461017329,90,460
1461021418,64,6034
1461023319,5700,0
1461027165,72,128
1461030994,79,161
1461034875,83,112
1461040612,41,23
1461044449,15,0
1461048290,0,3
1461054043,0,3
1461057964,0,9
1461063739,2118,970
1461067477,18,31
1461071321,0,13
1461075155,0,207
1461077080,196,0
1461081433,112,134
1461085275,112,16
1461089088,88,192
1461092934,52,122
1461096791,39,41
1461104269,32,14
1461106112,0,12
1461109953,0,1
1461113803,0,5440
1461115721,5440,0
1461119566,1462,1290
1461123389,29,74
1461127254,105,186
1461131281,0,579
1461133220,557,0
1461137054,32,1
1461140793,9,4
1461144672,0,2
1461162343,1106,1297
1461171428,425,453
1461175953,167,103
1461181718,181,219
1461185558,62,135
1461189392,39,1
1461193271,2,7295
1461195159,7411,0
1461198997,90,167
1461204751,53,234
1461208596,27,177
1461212438,81,126
1461216265,195,4020
1461218197,3621,0
1461222045,63,83
1461225877,224,242
1461229718,83,144
1461233551,119,2
1461239317,53,0
1461243907,47,0
1461247727,10,0
1461251566,11,13
1461257825,7,4
1461260456,182,38
1461265509,94,232
1461269340,33,42
1461275067,65,0
1461278995,41,1
1461282757,92,12
1461286717,52,137
1461292588,48,77
1461296678,106,21
1461300757,106,1716
1461305546,1479,0
1461309379,7,2574
1461311303,2573,0
1461315187,89,10
1461318993,49,47
1461322839,9,54
1461326656,83,204
1461331457,59,162
1461335610,27,73
1461341819,72,98
1461344458,233,219
1461348264,5,20
1461352314,230,243
1461358112,21,88
1461361942,34,108
1461366753,4,7
1461370583,358,265
1461374422,50,1372
1461376348,1241,0
1461380195,1,0
1461384063,149,388
1461387883,43,139
1461393639,59,69
1461397467,247,179
1461401305,73,131
1461405362,0,479
1461407316,513,0
1461411148,64,132
1461414988,169,160
1461418822,108,87
1461422662,85,117
1461428420,247,198
1461432257,48,77
1461436121,33,324
1461438036,306,0
1461441856,380,325
1461445716,37,95
1461449558,22,57
1461455306,572,450
1461459166,21,86
1461463242,38,187
1461467060,92,2062
1461468994,1949,0
1461472831,71,69
1461476661,70,18
1461480503,56,12
1461484591,5,6017
1461486514,5975,0
1461490348,90,165
1461494438,73,54
1461498260,119,37
1461502269,34,9
1461508109,32,1937
1461511955,1879,0
1461515782,53,65
1461519813,99,71
1461525628,65,50
1461529461,15,23
1461533304,18,18
1461537159,72,6105
1461539063,6022,0
1461542922,60,10
1461546764,162,109
1461548665,2,7
1461552506,123,217
1461556357,9,40
1461562116,102,98
1461565967,55,5669
1461567861,5527,0
1461571709,238,99
1461575561,37,2022
1461577475,2014,0
1461581306,42,10
1461585158,4,2
1461589254,105,23
1461595014,9,17
1461598827,199,21
1461602677,9,14
1461608424,133,86
1461612264,109,165
1461616122,66,17
1461619957,44,465
1461621866,456,0
1461625719,50,24
1461630535,26,10
1461634358,24,0
1461638200,49,16
1461642024,6,7
1461646107,0,1840
1461648018,1822,0
1461651855,150,2583
1461655706,2446,7
1461659553,12,3
1461665305,76,55
1461669157,26,55
1461673003,60,46
1461674914,0,1
1461678744,50,149
1461682594,98,29
1461686431,6,9
1461690262,0,3280
1461692196,3219,0
1461696045,9,49
1461701780,259,209
1461705619,103,64
1461709456,71,2148
1461711389,2055,0
1461715245,67,42
1461719059,40,25
1461722904,36,22
1461740252,236,1137
1461742116,810,0
1461745944,139,159
1461749795,142,84
1461753868,107,92
1461758660,84,96
1461762523,128,105
1461768261,140,96
1461772106,19,21
1461775977,89,60
1461781711,100,107
1461785563,25,10
1461789667,126,188
1461795385,110,126
1461799222,127,32
1461803059,23,52
1461809806,36,43
1461811706,13,17
1461817460,30,13
1461821309,0,4713
1461823242,4712,0
1461827057,53,145
1461830906,29,28
1461834761,1,643
1461836665,683,0
1461840508,6,9
1461844348,225,485
1461848200,236,201
1461853954,78,58
1461857782,19,8
1461861626,1,4
1461865707,157,113
1461871461,39,53
1461875310,102,63
1461879168,199,59
1461882995,15,14
1461888761,18,47
1461892630,103,135
1461896426,55,61
1461900263,47,717
1461902215,565,0
1461906063,64,30
1461909911,87,280
1461913737,52,86
1461917550,0,591
1461919468,426,0
1461923315,144,220
1461927148,24,87
1461930989,38,92
1461934855,30,44
1461940601,34,74
1461944436,29,106
1461948269,22,73
1461954038,8,25
1461957860,68,64
1461961716,59,98
1461966506,54,78
1461970347,61,860
1461972259,790,0
