DateTime,Entries,UniqueIPs
1460759328,7349,7349
1460763168,7277,7277
1460766998,7240,7240
1460770844,7185,7185
1460774891,6661,6661
1460776826,7153,7153
1460780666,7166,7166
1460784513,7165,7165
1460788624,7488,7488
1460794357,7477,7477
1460798431,7470,7470
1460802267,7430,7430
1460806258,7079,7079
1460810439,173,173
1460812382,6998,6998
1460816218,6924,6924
1460820044,6872,6872
1460823872,6917,6917
1460827880,6906,6906
1460833708,6922,6922
1460837589,6923,6923
1460843315,6931,6931
1460847159,6926,6926
1460850992,6890,6890
1460856768,6886,6886
1460864439,6885,6885
1460878368,6820,6820
1460882197,6819,6819
1460886038,6821,6821
1460890146,6725,6725
1460894195,603,603
1460896122,6660,6660
1460899971,6760,6760
1460903802,6744,6744
1460907644,4240,4240
1460909835,6733,6733
1460911730,491,491
1460913641,6754,6754
1460917482,6756,6756
1460921319,6743,6743
1460925185,6700,6700
1460934765,7309,7309
1460939096,7293,7293
1460943405,7294,7294
1460948205,7134,7134
1460952043,6994,6994
1460955873,6843,6843
1460959999,6577,6577
1460961863,6724,6724
1460963790,5820,5820
1460965715,6561,6561
1460969558,6607,6607
1460973388,6628,6628
1460977247,6554,6554
1460981349,4194,4194
1460985636,5483,5483
1460987546,6556,6556
1460991402,6551,6551
1460995238,6562,6562
1460999072,7410,7410
1461003100,7389,7389
1461008911,7366,7366
1461012762,7320,7320
1461017329,6950,6950
1461021418,980,980
1461023319,6680,6680
1461027165,6624,6624
1461030994,6542,6542
1461034875,6513,6513
1461040612,6531,6531
1461044449,6546,6546
1461048290,6543,6543
1461054043,6540,6540
1461057964,6531,6531
1461063739,7679,7679
1461067477,7666,7666
1461071321,7653,7653
1461075155,7446,7446
1461077080,7642,7642
1461081433,7620,7620
1461085275,7716,7716
1461089088,7612,7612
1461092934,7542,7542
1461096791,7540,7540
1461104269,7558,7558
1461106112,7546,7546
1461109953,7545,7545
1461113803,2105,2105
1461115721,7545,7545
1461119566,7717,7717
1461123389,7672,7672
1461127254,7591,7591
1461131281,7012,7012
1461133220,7569,7569
1461137054,7600,7600
1461140793,7605,7605
1461144672,7603,7603
1461162343,7412,7412
1461171428,7384,7384
1461175953,7448,7448
1461181718,7410,7410
1461185558,7337,7337
1461189392,7375,7375
1461193271,82,82
1461195159,7493,7493
1461198997,7416,7416
1461204751,7235,7235
1461208596,7085,7085
1461212438,7040,7040
1461216265,3215,3215
1461218197,6836,6836
1461222045,6816,6816
1461225877,6798,6798
1461229718,6737,6737
1461233551,6854,6854
1461239317,6907,6907
1461243907,6954,6954
1461247727,6964,6964
1461251566,6962,6962
1461257825,6965,6965
1461260456,7109,7109
1461265509,6971,6971
1461269340,6962,6962
1461275067,7027,7027
1461278995,7067,7067
1461282757,7147,7147
1461286717,7062,7062
1461292588,7033,7033
1461296678,7118,7118
1461300757,5508,5508
1461305546,6987,6987
1461309379,4420,4420
1461311303,6993,6993
1461315187,7072,7072
1461318993,7074,7074
1461322839,7029,7029
1461326656,6908,6908
1461331457,6805,6805
1461335610,6759,6759
1461341819,6733,6733
1461344458,6747,6747
1461348264,6732,6732
1461352314,6719,6719
1461358112,6652,6652
1461361942,6578,6578
1461366753,6575,6575
1461370583,6668,6668
1461374422,5346,5346
1461376348,6587,6587
1461380195,6588,6588
1461384063,6349,6349
1461387883,6253,6253
1461393639,6243,6243
1461397467,6311,6311
1461401305,6253,6253
1461405362,5774,5774
1461407316,6287,6287
1461411148,6219,6219
1461414988,6228,6228
1461418822,6249,6249
1461422662,6217,6217
1461428420,6266,6266
1461432257,6237,6237
1461436121,5946,5946
1461438036,6252,6252
1461441856,6307,6307
1461445716,6249,6249
1461449558,6214,6214
1461455306,6336,6336
1461459166,6271,6271
1461463242,6122,6122
1461467060,4152,4152
1461468994,6101,6101
1461472831,6103,6103
1461476661,6155,6155
1461480503,6199,6199
1461484591,187,187
1461486514,6162,6162
1461490348,6087,6087
1461494438,6106,6106
1461498260,6188,6188
1461502269,6213,6213
1461508109,4308,4308
1461511955,6187,6187
1461515782,6175,6175
1461519813,6203,6203
1461525628,6218,6218
1461529461,6210,6210
1461533304,6210,6210
1461537159,177,177
1461539063,6199,6199
1461542922,6249,6249
1461546764,6302,6302
1461548665,6297,6297
1461552506,6203,6203
1461556357,6172,6172
1461562116,6176,6176
1461565967,562,562
1461567861,6089,6089
1461571709,6228,6228
1461575561,4243,4243
1461577475,6257,6257
1461581306,6289,6289
1461585158,6291,6291
1461589254,6373,6373
1461595014,6365,6365
1461598827,6543,6543
1461602677,6538,6538
1461608424,6585,6585
1461612264,6529,6529
1461616122,6578,6578
1461619957,6157,6157
1461621866,6613,6613
1461625719,6639,6639
1461630535,6655,6655
1461634358,6679,6679
1461638200,6712,6712
1461642024,6711,6711
1461646107,4871,4871
1461648018,6693,6693
1461651855,4260,4260
1461655706,6699,6699
1461659553,6708,6708
1461665305,6729,6729
1461669157,6700,6700
1461673003,6714,6714
1461674914,6713,6713
1461678744,6614,6614
1461682594,6683,6683
1461686431,6680,6680
1461690262,3400,3400
1461692196,6619,6619
1461696045,6579,6579
1461701780,6629,6629
1461705619,6668,6668
1461709456,4591,4591
1461711389,6646,6646
1461715245,6671,6671
1461719059,6686,6686
1461722904,6700,6700
1461740252,5799,5799
1461742116,6609,6609
1461745944,6589,6589
1461749795,6647,6647
1461753868,6662,6662
1461758660,6650,6650
1461762523,6673,6673
1461768261,6717,6717
1461772106,6715,6715
1461775977,6744,6744
1461781711,6737,6737
1461785563,6752,6752
1461789667,6690,6690
1461795385,6674,6674
1461799222,6769,6769
1461803059,6740,6740
1461809806,6733,6733
1461811706,6729,6729
1461817460,6746,6746
1461821309,2033,2033
1461823242,6745,6745
1461827057,6653,6653
1461830906,6654,6654
1461834761,6012,6012
1461836665,6695,6695
1461840508,6692,6692
1461844348,6432,6432
1461848200,6467,6467
1461853954,6487,6487
1461857782,6498,6498
1461861626,6495,6495
1461865707,6539,6539
1461871461,6525,6525
1461875310,6564,6564
1461879168,6704,6704
1461882995,6705,6705
1461888761,6676,6676
1461892630,6644,6644
1461896426,6638,6638
1461900263,5968,5968
1461902215,6533,6533
1461906063,6567,6567
1461909911,6374,6374
1461913737,6340,6340
1461917550,5749,5749
1461919468,6175,6175
1461923315,6099,6099
1461927148,6036,6036
1461930989,5982,5982
1461934855,5968,5968
1461940601,5928,5928
1461944436,5851,5851
1461948269,5800,5800
1461954038,5783,5783
1461957860,5787,5787
1461961716,5748,5748
1461966506,5724,5724
1461970347,4925,4925
1461972259,5715,5715
1461976114,5665,5665
1461979959,5630,5630
1461985707,5544,5544
1461989550,5528,5528
1461993391,5406,5406
1461999146,5360,5360
1462002993,5350,5350
1462006836,5347,5347
1462010919,3612,3612
1462012826,5346,5346
1462016682,5343,5343
1462020515,4812,4812
1462024357,4901,4901
1462028446,4867,4867
1462032514,4223,4223
1462034429,4893,4893
1462038343,4900,4900
1462042169,4937,4937
1462045956,4936,4936
1462049802,4654,4654
1462051707,4880,4880
1462055546,4849,4849
1462059390,4873,4873
1462064187,4840,4840
1462068038,4813,4813
1462071856,2316,2316
1462073791,4826,4826
1462077620,4861,4861
1462081719,4868,4868
1462090359,4196,4196
1462095163,4067,4067
1462098981,4081,4081
1462100905,4083,4083
1462104760,4087,4087
1462108597,4148,4148
1462112569,4327,4327
1462118439,4394,4394
1462122257,4403,4403
1462126110,4411,4411
1462129947,4525,4525
1462135713,4478,4478
1462139552,4474,4474
1462143378,4488,4488
1462149149,4518,4518
1462152997,4504,4504
1462156820,4621,4621
1462160868,4201,4201
1462162827,4524,4524
1462166661,2950,2950
1462170761,4093,4093
1462174587,4531,4531
1462180363,4531,4531
1462184448,4529,4529
1462188266,4548,4548
1462192289,4588,4588
1462198115,4590,4590
1462201945,4633,4633
1462205780,4704,4704
1462209779,4767,4767
1462220870,4784,4784
1462223783,4785,4785
1462229544,4784,4784
1462237227,5022,5022
1462242997,4848,4848
1462246823,4843,4843
1462250684,4956,4956
1462255468,4903,4903
1462261234,3744,3744
1462265066,5210,5210
1462268909,5010,5010
1462270833,5233,5233
1462274760,5437,5437
1462278525,5445,5445
1462282375,5100,5100
