DateTime,Entries,UniqueIPs
1462348343,5019,5019
1462349300,5041,5041
1462350264,5024,5024
1462351218,4980,4980
1462352196,4952,4952
1462353138,4962,4962
1462354106,4977,4977
1462355061,4982,4982
1462356023,4940,4940
1462356984,4926,4926
1462357951,4929,4929
1462358897,4889,4889
1462359851,4864,4864
1462360827,4834,4834
1462361774,4842,4842
1462362742,4758,4758
1462363698,4712,4712
1462364659,4702,4702
1462365627,4651,4651
1462366581,4651,4651
1462367551,4709,4709
1462368501,4674,4674
1462369455,4671,4671
1462370439,4639,4639
1462371412,4635,4635
1462372341,4572,4572
1462373304,4536,4536
1462374254,4543,4543
1462375220,4666,4666
1462376183,4706,4706
1462377148,4733,4733
1462378102,4723,4723
1462379064,4736,4736
1462380027,4799,4799
1462380993,4792,4792
1462381951,4821,4821
1462382911,4835,4835
1462383858,4828,4828
1462384844,4799,4799
1462385798,4785,4785
1462386752,4763,4763
1462387720,4759,4759
1462388661,4777,4777
1462389623,4772,4772
1462390585,4777,4777
1462391546,4784,4784
1462392509,4788,4788
1462393487,4786,4786
1462394423,4791,4791
1462395422,4790,4790
1462396338,4809,4809
1462397497,4836,4836
1462398503,4801,4801
1462399523,4799,4799
1462400434,4799,4799
1462401402,4782,4782
1462402347,4787,4787
1462403336,4791,4791
1462404261,4766,4766
1462405365,4763,4763
1462406433,4747,4747
1462407389,4755,4755
1462408357,4790,4790
1462409306,4824,4824
1462410248,4826,4826
1462411233,4816,4816
1462412186,4829,4829
1462413147,4847,4847
1462414109,4862,4862
1462415055,4856,4856
1462416025,4856,4856
1462416993,4863,4863
1462417944,4884,4884
1462418909,4864,4864
1462419861,4858,4858
1462420834,4868,4868
1462421788,4881,4881
1462422753,4900,4900
1462423707,4902,4902
1462424651,4912,4912
1462425630,4903,4903
1462426637,4906,4906
1462427550,4897,4897
1462428513,4905,4905
1462429588,4920,4920
1462430658,4905,4905
1462431637,4900,4900
1462432576,4876,4876
1462433556,4821,4821
1462434499,4809,4809
1462435453,4808,4808
1462436430,4822,4822
1462437382,4824,4824
1462438340,4817,4817
1462439319,4803,4803
1462440262,4792,4792
1462441216,4802,4802
1462442186,4797,4797
1462443204,4819,4819
1462444360,4818,4818
1462445308,4882,4882
1462446257,4894,4894
1462447223,4904,4904
1462448193,4902,4902
1462449140,4937,4937
1462450121,4945,4945
1462451054,4936,4936
1462452021,4968,4968
1462453001,4968,4968
1462453972,4898,4898
1462454900,4858,4858
1462455871,4880,4880
1462456829,4928,4928
1462457790,4919,4919
1462458751,4957,4957
1462459712,4982,4982
1462460652,4941,4941
1462461623,4804,4804
1462462587,4805,4805
1462463552,4760,4760
1462464507,4762,4762
1462465468,4732,4732
1462466416,4654,4654
1462467390,4638,4638
1462468350,4639,4639
1462469307,4628,4628
1462470261,4637,4637
1462471302,4664,4664
1462472631,4639,4639
1462473627,4658,4658
1462474611,4652,4652
1462475555,4639,4639
1462476530,4618,4618
1462477451,4617,4617
1462478484,4614,4614
1462479621,4599,4599
1462480587,4606,4606
1462481546,4596,4596
1462482505,4595,4595
1462483464,4579,4579
1462484419,4559,4559
1462485384,4531,4531
1462486359,4535,4535
1462487307,4551,4551
1462488263,4564,4564
1462489242,4570,4570
1462490184,4577,4577
1462491160,4547,4547
1462492109,4528,4528
1462493057,4550,4550
1462494034,4539,4539
1462494990,4509,4509
1462495946,4494,4494
1462496920,4501,4501
1462497858,4501,4501
1462498824,4506,4506
1462499768,4502,4502
1462500741,4508,4508
1462501753,4492,4492
1462502660,4506,4506
1462503939,4514,4514
1462505063,4523,4523
1462506020,4553,4553
1462506995,4566,4566
1462507957,4544,4544
1462508902,4551,4551
1462509868,4591,4591
1462510840,4600,4600
1462511785,4613,4613
1462512766,4597,4597
1462513715,4604,4604
1462514661,4625,4625
1462515695,4633,4633
1462516815,4668,4668
1462517793,4677,4677
1462518743,4679,4679
1462519701,4693,4693
1462520658,4705,4705
1462521632,4738,4738
1462522577,4734,4734
1462523556,4756,4756
1462524498,4772,4772
1462525454,4794,4794
1462526431,4780,4780
1462527379,4790,4790
1462528350,4795,4795
1462529312,4817,4817
1462530257,4810,4810
1462531224,4815,4815
1462532185,4820,4820
1462533157,4834,4834
1462534102,4850,4850
1462535066,4851,4851
1462536052,4858,4858
1462536982,4856,4856
1462537961,4852,4852
1462538900,4851,4851
1462539862,4895,4895
1462540824,4908,4908
1462541790,4899,4899
1462542748,4899,4899
1462543717,4920,4920
1462544655,4909,4909
1462545629,4932,4932
1462546592,4916,4916
1462547563,4905,4905
1462548502,4909,4909
1462549463,4922,4922
1462550427,4904,4904
1462551383,4891,4891
1462552356,4879,4879
1462553299,4860,4860
1462554253,4882,4882
1462555232,4867,4867
1462556184,4860,4860
1462557143,4856,4856
1462558119,4862,4862
1462559064,4858,4858
1462560016,4837,4837
1462560987,4851,4851
1462561952,4842,4842
1462562903,4806,4806
1462563864,4818,4818
1462564841,4804,4804
1462565782,4827,4827
1462566762,4845,4845
1462567701,4834,4834
1462568657,4812,4812
1462569635,4810,4810
1462570580,4822,4822
1462572380,4807,4807
1462573455,4792,4792
1462574441,4788,4788
1462575372,4774,4774
1462576351,4770,4770
1462577305,4766,4766
1462578254,4768,4768
1462579232,4760,4760
1462580181,4759,4759
1462581147,4762,4762
1462582096,4751,4751
1462583067,4739,4739
1462584012,4720,4720
1462584983,4707,4707
1462585943,4703,4703
1462586914,4676,4676
1462587859,4680,4680
1462588826,4675,4675
1462589785,4672,4672
1462590742,4677,4677
1462591718,4653,4653
1462592655,4658,4658
1462593623,4643,4643
1462594596,4622,4622
1462595541,4621,4621
1462596512,4585,4585
1462597463,4531,4531
1462598413,4532,4532
1462599387,4492,4492
1462600344,4477,4477
1462601313,4456,4456
1462602256,4429,4429
1462603164,4393,4393
1462604184,4375,4375
1462605140,4365,4365
1462606114,4335,4335
1462607053,4315,4315
1462608019,4290,4290
1462609000,4276,4276
1462609945,4236,4236
1462610898,4218,4218
1462611868,4203,4203
1462612822,4166,4166
1462613774,4166,4166
1462614753,4145,4145
1462615701,4148,4148
1462616658,4147,4147
1462617622,4118,4118
1462618576,4108,4108
1462619550,4087,4087
1462620504,4098,4098
1462621453,4069,4069
1462622428,4068,4068
1462623387,4061,4061
1462624353,4056,4056
1462625297,4051,4051
1462626265,4043,4043
1462627220,4031,4031
1462628176,4019,4019
1462629151,4019,4019
1462630101,4002,4002
1462631053,4008,4008
1462632037,3991,3991
1462632973,3991,3991
1462633948,3986,3986
1462634905,3971,3971
1462635854,3975,3975
1462636821,3991,3991
1462637811,3995,3995
1462638748,3969,3969
1462639713,3966,3966
1462640668,3973,3973
1462641620,3964,3964
1462642587,3968,3968
1462643808,3992,3992
1462644744,3989,3989
1462645718,3985,3985
1462646721,4001,4001
1462647652,4024,4024
1462648593,4024,4024
1462649555,4034,4034
1462650510,4056,4056
1462651534,4049,4049
1462652654,4058,4058
1462653621,4050,4050
1462654572,4061,4061
1462655548,4065,4065
1462656541,4088,4088
