DateTime,Entries,UniqueIPs
1462338500,22722,23003
1462339462,22713,22994
1462340423,22671,22950
1462341375,22670,22950
1462342464,22681,22960
1462343541,22698,22974
1462344502,22690,22967
1462345450,22699,22979
1462346417,22703,22982
1462347382,22700,22979
1462348340,22712,22991
1462349297,22719,22999
1462350261,22693,22971
1462351215,22674,22951
1462352193,22646,22923
1462353134,22665,22943
1462354103,22689,22969
1462355058,22679,22959
1462356020,22679,22959
1462356981,22637,22916
1462357948,22635,22912
1462358894,22587,22864
1462359848,22577,22854
1462360824,22541,22818
1462361771,22575,22853
1462362739,22583,22861
1462363694,22591,22869
1462364656,22537,22816
1462365624,22471,22751
1462366579,22493,22773
1462367548,22523,22804
1462368498,22544,22825
1462369452,22478,22756
1462370436,22492,22770
1462371409,22446,22724
1462373302,22391,22668
1462374250,22395,22671
1462375217,22551,22831
1462376180,22558,22838
1462377145,22628,22911
1462378098,22623,22905
1462379061,22606,22887
1462380024,22678,22960
1462380990,22694,22975
1462381948,22704,22983
1462382908,22684,22962
1462383855,22630,22906
1462384841,22596,22870
1462385794,22575,22849
1462386749,22565,22842
1462387717,22570,22848
1462388657,22585,22863
1462389620,22555,22833
1462390581,22556,22834
1462391542,22561,22838
1462392506,22566,22844
1462393484,22545,22823
1462394420,22558,22839
1462395419,22539,22820
1462396335,22558,22839
1462397494,22590,22869
1462398500,22562,22841
1462399519,22561,22839
1462400431,22556,22835
1462401399,22546,22827
1462402344,22560,22844
1462403333,22557,22841
1462404257,22543,22827
1462405362,22580,22865
1462406430,22578,22865
1462407386,22564,22850
1462408354,22636,22925
1462409303,22638,22928
1462410245,22675,22965
1462411230,22624,22912
1462412183,22634,22922
1462413143,22651,22940
1462414106,22689,22979
1462415052,22644,22935
1462416022,22687,22979
1462416990,22670,22961
1462417941,22698,22989
1462418906,22675,22968
1462419858,22663,22956
1462420831,22694,22988
1462421785,22684,22979
1462422750,22725,23022
1462423705,22696,22993
1462424648,22745,23042
1462425627,22737,23033
1462426634,22697,22994
1462427547,22721,23018
1462428510,22705,23002
1462429585,22703,23001
1462430655,22709,23007
1462431634,22733,23032
1462432573,22684,22983
1462433552,22711,23010
1462434496,22733,23032
1462435450,22736,23035
1462436427,22752,23052
1462437379,22724,23025
1462438337,22715,23015
1462439316,22728,23028
1462440259,22725,23027
1462441214,22735,23041
1462442183,22721,23027
1462443201,22729,23035
1462444357,22727,23034
1462445305,22761,23068
1462446254,22767,23074
1462447220,22761,23070
1462448190,22761,23070
1462449137,22761,23069
1462450118,22759,23068
1462451051,22745,23052
1462452018,22775,23081
1462452998,22765,23070
1462453968,22791,23095
1462454897,22792,23095
1462455868,22829,23131
1462456826,22840,23142
1462457787,22821,23123
1462458748,22848,23150
1462459709,22844,23143
1462460648,22862,23161
1462461620,22868,23166
1462462584,22860,23156
1462463548,22872,23169
1462464504,22894,23191
1462465465,22899,23195
1462466414,22918,23214
1462467387,22901,23197
1462468347,22923,23219
1462469304,22941,23238
1462470258,22935,23232
1462471299,22971,23268
1462472628,22968,23262
1462473624,23001,23295
1462474608,23016,23311
1462475552,23040,23335
1462476528,23076,23371
1462477448,23077,23373
1462478481,23060,23355
1462479618,23070,23368
1462480585,23036,23334
1462481543,23060,23359
1462482501,23069,23369
1462483461,23017,23316
1462484416,23051,23351
1462485381,23055,23355
1462486355,23061,23361
1462487304,23064,23361
1462488260,23085,23386
1462489239,23101,23399
1462490181,23109,23407
1462491157,23069,23367
1462492105,23128,23428
1462493054,23133,23434
1462494031,23159,23460
1462494987,23113,23412
1462495943,23150,23451
1462496917,23153,23453
1462497855,23177,23477
1462498821,23188,23487
1462499765,23215,23515
1462500738,23223,23523
1462501750,23194,23492
1462502656,23232,23531
1462503936,23216,23515
1462505060,23242,23543
1462506017,23226,23529
1462506992,23260,23565
1462507954,23252,23557
1462508899,23285,23590
1462509865,23283,23588
1462510837,23321,23627
1462511782,23312,23619
1462512762,23328,23636
1462513711,23360,23668
