DateTime,AddedIPs,RemovedIPs
1462353134,46,30
1462354103,62,61
1462355058,16,14
1462356020,30,61
1462356981,2,20
1462357948,51,49
1462358894,6,46
1462359848,10,42
1462360824,15,46
1462361771,35,26
1462362739,8,72
1462363694,8,63
1462364656,19,31
1462365624,20,75
1462366579,22,24
1462367548,134,72
1462368498,21,54
1462369452,18,23
1462370436,14,45
1462371409,16,20
1462372339,0,61
1462373302,0,37
1462374250,44,47
1462375217,188,56
1462376180,76,30
1462377145,73,41
1462378098,36,49
1462379061,48,35
1462380024,93,26
1462380990,43,44
1462381948,43,34
1462382908,57,41
1462383855,20,22
1462384841,33,76
1462385794,17,37
1462386749,34,59
1462387717,37,36
1462388657,50,27
1462389620,10,16
1462390581,35,30
1462391542,27,30
1462392506,45,40
1462393484,33,30
1462394420,40,31
1462395419,25,24
1462396335,33,10
1462397494,60,25
1462398500,24,50
1462399519,23,31
1462400431,24,26
1462401399,28,47
1462402344,27,31
1462403333,26,25
1462404257,15,38
1462405362,58,59
1462406430,42,54
1462407386,20,10
1462408354,76,39
1462409303,59,31
1462410245,37,45
1462411230,22,26
1462412183,45,32
1462413143,46,25
1462414106,39,32
1462415052,33,30
1462416022,44,48
1462416990,34,28
1462417941,28,12
1462418906,28,38
1462419858,23,22
1462420831,32,34
1462421785,28,12
1462422750,47,22
1462423705,27,28
1462424648,49,30
1462425627,16,16
1462426634,34,44
1462427547,24,36
1462428510,36,33
1462429585,30,16
1462430655,37,49
1462431634,53,49
1462432573,14,43
1462433552,35,82
1462434496,40,54
1462435450,26,26
1462436427,34,18
1462437379,20,14
1462438337,26,32
1462439316,37,46
1462440259,18,31
1462441214,38,39
1462442183,26,26
1462443201,32,0
1462444357,47,59
1462445305,62,0
1462446254,24,15
1462447220,33,22
1462448190,19,31
1462449137,37,0
1462450118,27,18
1462451051,25,26
1462452018,44,20
1462452998,22,18
1462453968,42,120
1462454897,25,36
1462455868,46,14
1462456826,47,18
1462457787,6,14
1462458748,38,0
1462459709,33,0
1462460648,36,77
1462461620,31,170
1462462584,36,51
1462463548,36,73
1462464504,37,33
1462465465,24,56
1462466414,34,117
1462467387,14,37
1462468347,45,40
1462469304,54,70
1462470258,14,16
1462471299,52,41
1462472628,34,39
1462473624,48,35
1462474608,28,28
1462475552,24,39
1462476528,55,67
1462477448,16,22
1462478481,34,40
1462479618,42,57
1462480585,22,20
1462481543,25,33
1462482501,33,38
1462483461,18,34
1462484416,35,47
1462485381,20,44
1462486355,23,18
1462487304,48,43
1462488260,25,16
1462489239,52,44
1462490181,8,4
1462491157,29,50
1462492105,61,74
1462493054,44,28
1462494031,26,38
1462494987,19,54
1462495943,39,48
1462496917,34,24
1462497855,42,37
1462498821,52,53
1462499765,28,30
1462500738,32,31
1462501750,30,38
1462502656,40,20
1462503936,47,44
1462505060,28,24
1462506017,38,22
1462506992,36,19
1462507954,34,49
1462508899,53,44
1462509865,49,8
1462510837,56,50
1462511782,24,14
1462512762,42,52
1462513711,54,45
1462514657,44,26
1462515692,36,28
1462516812,58,27
1462517790,32,28
1462518740,42,35
1462519698,65,49
1462520655,34,24
1462521629,72,38
1462522574,18,20
1462523552,67,40
1462524494,44,33
1462525450,44,26
1462526427,23,34
1462527376,70,49
1462528346,34,26
1462529309,47,24
1462530253,24,34
1462531221,52,53
1462532182,18,10
1462533154,56,40
1462534098,55,37
1462535062,26,20
1462536048,60,37
1462536978,21,24
1462537958,36,41
1462538896,37,44
1462539858,48,26
1462540821,35,20
1462541787,30,32
1462542745,44,37
1462543714,34,18
1462544652,16,30
1462545626,44,21
1462546590,14,34
1462547560,35,41
1462548499,43,36
1462549460,26,24
1462550424,28,46
1462551380,1,16
