DateTime,Entries,UniqueIPs
1462319295,3322,3322
1462320261,3362,3362
1462321226,3387,3387
1462322184,3405,3405
1462323134,3250,3250
1462324116,3201,3201
1462325051,3201,3201
1462326014,3185,3185
1462326991,3175,3175
1462327938,3164,3164
1462328903,3138,3138
1462329861,3149,3149
1462330823,3146,3146
1462331795,3132,3132
1462332743,3143,3143
1462333711,3139,3139
1462334651,3143,3143
1462335621,3129,3129
1462336588,3101,3101
1462337542,3086,3086
1462338500,3088,3088
1462339462,3094,3094
1462340423,3099,3099
1462341375,3107,3107
1462342464,3102,3102
1462343541,3065,3065
1462344502,3055,3055
1462345450,3057,3057
1462346417,3074,3074
1462347382,3079,3079
1462348340,3064,3064
1462349297,3076,3076
1462350261,3053,3053
1462351215,3023,3023
1462352193,3005,3005
1462353134,3021,3021
1462354103,3022,3022
1462355058,3024,3024
1462356020,2993,2993
1462356981,2975,2975
1462357948,2977,2977
1462358894,2937,2937
1462359848,2905,2905
1462360824,2874,2874
1462361771,2883,2883
1462362739,2819,2819
1462363694,2764,2764
1462364656,2752,2752
1462365624,2697,2697
1462366579,2695,2695
1462367548,2757,2757
1462368498,2724,2724
1462369452,2719,2719
1462370436,2688,2688
1462371409,2684,2684
1462372339,2623,2623
1462373302,2586,2586
1462374250,2583,2583
1462375217,2715,2715
1462376180,2761,2761
1462377145,2793,2793
1462378098,2780,2780
1462379061,2793,2793
1462380024,2860,2860
1462380990,2859,2859
1462381948,2868,2868
1462382908,2884,2884
1462383855,2882,2882
1462384841,2839,2839
1462385794,2819,2819
1462386749,2794,2794
1462387717,2795,2795
1462388657,2818,2818
1462389620,2812,2812
1462390581,2817,2817
1462391542,2814,2814
1462392506,2819,2819
1462393484,2822,2822
1462394420,2831,2831
1462395419,2832,2832
1462396335,2855,2855
1462397494,2890,2890
1462398500,2864,2864
1462399519,2856,2856
1462400431,2854,2854
1462401399,2835,2835
1462402344,2831,2831
1462403333,2832,2832
1462404257,2809,2809
1462405362,2808,2808
1462406430,2796,2796
1462407386,2806,2806
1462408354,2843,2843
1462409303,2871,2871
1462410245,2863,2863
1462411230,2859,2859
1462412183,2872,2872
1462413143,2893,2893
1462414106,2900,2900
1462415052,2903,2903
1462416022,2899,2899
1462416990,2905,2905
1462417941,2921,2921
1462418906,2911,2911
1462419858,2912,2912
1462420831,2910,2910
1462421785,2926,2926
1462422750,2951,2951
1462423705,2950,2950
1462424648,2969,2969
1462425627,2969,2969
1462426634,2959,2959
1462427547,2947,2947
1462428510,2950,2950
1462429585,2964,2964
1462430655,2952,2952
1462431634,2956,2956
1462432573,2927,2927
1462433552,2880,2880
1462434496,2866,2866
1462435450,2866,2866
1462436427,2882,2882
1462437379,2888,2888
1462438337,2882,2882
1462439316,2873,2873
1462440259,2860,2860
1462441214,2859,2859
1462442183,2859,2859
1462443201,2891,2891
1462444357,2879,2879
1462445305,2941,2941
1462446254,2950,2950
1462447220,2961,2961
1462448190,2949,2949
1462449137,2986,2986
1462450118,2995,2995
1462451051,2994,2994
1462452018,3018,3018
1462452998,3022,3022
1462453968,2944,2944
1462454897,2933,2933
1462455868,2965,2965
1462456826,2994,2994
1462457787,2986,2986
1462458748,3024,3024
1462459709,3057,3057
1462460648,3016,3016
1462461620,2877,2877
1462462584,2862,2862
1462463548,2825,2825
1462464504,2829,2829
1462465465,2797,2797
1462466414,2714,2714
1462467387,2691,2691
1462468347,2696,2696
1462469304,2680,2680
1462470258,2678,2678
1462471299,2689,2689
1462472628,2684,2684
1462473624,2697,2697
1462474608,2697,2697
1462475552,2682,2682
1462476528,2670,2670
