DateTime,AddedIPs,RemovedIPs
1462363698,46,32
1462364659,40,42
1462365627,53,53
1462366581,34,48
1462367551,24,69
1462368501,78,0
1462369455,20,28
1462370439,13,55
1462371412,36,94
1462372341,48,0
1462373304,0,23
1462374254,41,68
1462375220,59,79
1462376183,47,20
1462377148,32,55
1462378102,94,9
1462379064,30,60
1462380027,24,49
1462380993,5,40
1462381951,45,40
1462382911,6,39
1462383858,6,38
1462384844,92,63
1462385798,90,68
1462386752,48,27
1462387720,51,75
1462388661,63,36
1462389623,46,68
1462390585,52,29
1462391546,32,68
1462392509,28,33
1462393487,28,32
1462394423,44,38
1462395422,22,38
1462396338,36,43
1462397497,77,46
1462398503,43,51
1462399523,85,28
1462400434,36,50
1462401402,40,32
1462402347,34,57
1462403336,39,16
1462404261,25,63
1462405365,51,56
1462406433,44,32
1462407389,47,42
1462408357,57,39
1462409306,48,47
1462410248,40,40
1462411233,41,98
1462412186,21,32
1462413147,44,46
1462414109,39,26
1462415055,34,47
1462416025,43,45
1462416993,32,43
1462417944,20,42
1462418909,49,49
1462419861,18,31
1462420834,48,42
1462421788,17,31
1462422753,59,45
1462423707,26,29
1462424651,66,35
1462425630,44,78
1462426637,43,27
1462427550,28,47
1462428513,39,13
1462429588,29,59
1462430658,38,56
1462431637,40,40
1462432576,20,32
1462433556,46,45
1462434499,41,41
1462435453,46,31
1462436430,36,77
1462437382,24,12
1462438340,46,101
1462439319,41,30
1462440262,33,0
1462441216,27,54
1462442186,39,81
1462443204,43,73
1462444360,68,17
1462445308,38,72
1462446257,41,21
1462447223,28,39
1462448193,39,56
1462449140,41,45
1462450121,36,30
1462451054,33,49
1462452021,29,0
1462453001,24,90
1462453972,36,75
1462454900,68,23
1462455871,30,56
1462456829,35,39
1462457790,13,0
1462458751,64,37
1462459712,29,63
1462460652,50,50
1462461623,51,56
1462462587,37,85
1462463552,32,63
1462464507,55,19
1462465468,35,80
1462466416,46,53
1462467390,22,67
1462468350,43,49
1462469307,40,22
1462470261,10,54
1462471302,56,48
1462472631,102,63
1462473627,49,27
1462474611,18,61
1462475555,40,18
1462476530,56,90
1462477451,21,32
1462478484,44,67
1462479621,65,52
1462480587,30,44
1462481546,61,29
1462482505,47,40
1462483464,26,60
1462484419,39,31
1462485384,59,54
1462486359,29,28
1462487307,57,65
1462488263,18,65
1462489242,39,36
1462490184,12,51
1462491160,46,39
1462492109,45,61
1462493057,29,25
1462494034,23,82
1462494990,12,70
1462495946,49,76
1462496920,29,44
1462497858,35,45
1462498824,58,45
1462499768,25,37
1462500741,39,43
1462501753,35,70
1462502660,33,26
1462503939,60,53
1462505063,26,133
1462506020,39,0
1462506995,16,74
1462507957,31,49
1462508902,48,46
1462509868,23,67
1462510840,38,57
1462511785,13,48
1462512766,43,47
1462513715,65,39
1462514661,41,54
1462515695,29,52
1462516815,29,74
1462517793,32,37
1462518743,26,58
1462519701,49,92
1462520658,25,43
1462521632,47,76
1462522577,28,73
1462523556,42,61
1462524498,28,53
1462525454,45,74
1462526431,33,68
1462527379,36,71
1462528350,48,33
1462529312,57,54
1462530257,28,82
1462531224,42,55
1462532185,34,73
1462533157,35,43
1462534102,56,48
1462535066,21,40
1462536052,61,50
1462536982,11,42
1462537961,76,56
1462538900,35,26
1462539862,40,40
1462540824,42,68
1462541790,54,23
1462542748,41,63
1462543717,54,17
1462544655,36,82
1462545629,46,66
1462546592,52,46
1462547563,56,38
1462548502,75,34
1462549463,25,104
1462550427,63,0
1462551383,28,42
1462552356,77,39
1462553299,34,41
1462554253,68,41
1462555232,34,78
1462556184,51,19
1462557143,40,56
1462558119,42,30
1462559064,35,51
1462560016,44,44
1462560987,29,41
1462561952,12,29
1462562903,100,53
1462563864,23,12
1462564841,37,24
1462565782,20,68
1462566762,40,31
1462567701,55,60
1462568657,58,32
1462569635,40,49
1462570580,26,25
1462572380,65,83
1462573455,40,44
1462574441,44,90
1462575372,21,0
1462576351,38,70
1462577305,61,45
1462578254,22,57
1462579232,43,57
1462580181,15,50
1462581147,41,52
1462582096,23,52
1462583067,53,44
1462584012,28,34
1462584983,28,36
1462585943,41,58
1462586914,53,39
1462587859,32,73
1462588826,38,33
1462589785,41,89
1462590742,38,45
1462591718,42,40
1462592655,23,55
1462593623,43,43
1462594596,25,46
1462595541,42,72
1462596512,42,26
1462597463,31,55
1462598413,66,56
1462599387,32,29
1462600344,43,50
1462601313,46,22
1462602256,39,70
1462603164,48,66
1462604184,35,43
1462605140,25,66
1462606114,53,75
1462607053,23,52
1462608019,34,41
1462609000,24,86
1462609945,37,21
1462610898,8,74
1462611868,74,45
1462612822,34,47
1462613774,37,24
1462614753,47,79
1462615701,30,42
1462616658,37,90
1462617622,47,0
1462618576,37,44
1462619550,28,38
1462620504,56,34
1462621453,27,62
1462622428,49,53
1462623387,28,34
1462624353,38,75
1462625297,46,35
1462626265,41,50
1462627220,27,71
1462628176,17,33
1462629151,41,80
1462630101,45,11
1462631053,24,85
1462632037,49,88
1462632973,19,0
1462633948,26,65
1462634905,60,22
1462635854,31,62
1462636821,42,65
1462637811,21,24
1462638748,53,56
1462639713,32,38
1462640668,36,39
1462641620,24,60
1462642587,24,39
1462643808,56,70
1462644744,10,44
1462645718,56,67
1462646721,27,31
1462647652,35,61
1462648593,11,44
1462649555,53,30
1462650510,48,32
1462651534,34,41
1462652654,33,38
1462653621,37,93
1462654572,25,30
1462655548,24,42
1462656541,40,47
1462657453,14,52
1462658428,36,34
1462659389,21,34
1462660344,39,26
1462661314,38,62
1462662351,30,34
1462663480,34,93
1462664439,37,0
1462665401,31,82
1462666350,10,0
1462667335,51,37
1462668258,11,49
1462669268,24,39
1462670192,14,21
1462671104,51,59
1462672107,26,44
1462673103,49,13
1462674028,26,57
1462675009,29,44
1462675945,32,24
1462676940,31,33
1462677853,33,36
1462678850,47,33
1462679774,23,46
1462680772,29,45
1462681706,62,58
1462682681,16,36
1462683638,46,1
1462684616,15,24
1462685562,44,28
1462686530,29,6
1462687454,46,9
1462688442,31,79
1462689379,30,60
1462690374,27,86
1462691298,29,109
1462692289,26,50
1462693232,42,0
1462694206,31,67
1462695142,15,0
1462696169,45,113
1462697311,24,52
1462698267,55,43
1462699223,28,40
1462700175,31,60
1462701154,26,55
1462702116,26,40
1462703057,29,22
1462704025,26,76
1462704986,26,32
1462705954,24,32
1462706906,32,33
1462707852,44,24
1462708832,32,30
1462709791,10,52
1462710743,59,17
1462711705,23,53
1462712666,44,55
1462713620,18,0
1462714587,30,49
1462715541,24,26
1462716511,36,48
1462717458,29,39
1462718432,47,52
1462719429,37,67
1462720340,11,53
1462721317,36,22
1462722264,21,0
1462723223,44,46
1462724192,11,30
1462725146,42,34
1462726112,38,51
1462727060,27,45
1462728020,20,40
1462728990,27,48
1462729956,19,45
1462730908,33,31
1462731852,26,59
1462732832,42,22
1462733784,23,89
1462734750,29,28
1462735705,42,58
1462736659,23,46
1462737631,43,62
1462738588,36,48
1462739547,23,56
1462740502,36,20
1462741475,36,56
1462742412,30,61
1462743385,34,66
1462744351,21,42
1462745302,34,44
1462746253,28,30
1462747227,28,0
1462748176,28,0
1462749146,38,0
1462750104,57,63
1462751056,22,130
1462752033,54,59
1462752996,32,56
1462753939,34,53
1462754909,17,59
1462755877,54,20
1462756836,36,70
1462757784,24,52
1462758745,40,0
1462759724,42,79
1462760657,39,71
1462761635,42,27
1462762580,36,0
1462763560,20,129
1462764509,61,30
1462765455,13,0
1462766433,45,77
1462767398,36,57
1462768345,37,0
1462769307,36,38
1462770265,44,55
1462771216,35,42
1462772191,25,82
1462773154,30,0
1462774106,22,51
1462775064,33,36
1462776033,29,172
1462777235,57,0
1462778184,41,9
1462779163,32,141
1462780109,40,0
1462781057,23,37
1462782020,26,46
1462782979,27,31
1462783954,34,63
1462784901,35,44
1462785855,36,50
1462786839,31,73
1462787778,41,30
1462788752,24,53
1462789706,72,64
1462790661,13,33
1462791639,60,49
1462792585,33,24
1462793550,43,56
1462794505,74,26
1462795463,40,36
1462796421,17,25
1462797384,4,33
1462798350,3,33
1462799317,42,32
1462800255,78,51
1462801235,33,18
1462802190,47,64
1462803149,14,31
1462804099,64,35
1462805067,22,36
1462806036,43,32
1462806979,28,70
1462807956,45,22
1462808903,21,49
1462809858,57,35
1462810823,60,75
1462811786,92,0
1462812742,42,50
1462813720,23,38
1462814658,39,48
1462815622,17,44
1462816585,51,43
1462817552,46,29
1462818505,29,25
1462819455,23,49
1462820437,4,41
1462821430,28,57
1462822356,81,34
1462823333,56,54
1462824257,15,14
1462825258,21,59
1462826182,47,51
1462827169,37,42
1462828113,50,40
1462829088,5,26
1462830025,124,34
1462831012,23,50
1462831953,2,39
1462832926,81,40
1462833863,18,27
1462834864,67,49
1462835795,21,63
1462836793,54,31
1462837701,30,81
1462838674,54,47
1462839630,37,0
1462840606,40,90
1462841547,43,0
1462842538,48,97
1462843459,38,0
1462844463,41,87
1462845385,23,0
1462846374,28,26
1462847299,70,65
