DateTime,AddedIPs,RemovedIPs
1460973126,53,53
1460977210,51,61
1460981045,44,50
1460982973,66,48
1460986809,62,56
1460990883,56,57
1460994726,69,61
1460998563,73,47
1461002411,67,65
1461004323,82,78
1461008164,73,64
1461012243,73,86
1461016086,47,92
1461020163,45,83
1461025924,105,131
1461029762,76,77
1461033609,82,94
1461037686,101,135
1461041532,108,76
1461045363,95,64
1461049216,68,51
1461051133,64,52
1461054964,57,47
1461058806,50,57
1461062645,58,62
1461068423,57,62
1461072245,60,56
1461074175,52,53
1461076566,52,59
1461081368,63,61
1461085209,85,42
1461087125,80,57
1461091926,59,67
1461096726,69,72
1461098644,61,69
1461104229,69,93
1461106082,43,98
1461109922,67,73
1461113763,45,78
1461119525,163,161
1461123363,86,96
1461127205,87,80
1461131044,98,62
1461134887,60,55
1461138726,75,55
1461142565,50,58
1461162272,178,195
1461171367,155,123
1461174003,64,60
1461179762,64,66
1461181683,68,67
1461185522,66,80
1461189364,58,71
1461195122,99,159
1461200884,60,84
1461202804,77,64
1461206643,85,103
1461210483,98,95
1461214323,77,77
1461218163,87,54
1461220084,54,87
1461222005,130,92
1461223923,73,56
1461227762,58,55
1461231603,68,67
1461233523,59,58
1461239282,50,49
1461243853,40,45
1461245762,53,51
1461249603,59,49
1461257766,88,79
1461260403,78,61
1461265446,67,69
1461267363,74,76
1461269284,76,74
1461271203,107,126
1461275043,59,68
1461278882,57,106
1461282722,68,64
1461286564,48,64
1461290408,75,62
1461292336,93,104
1461296170,92,105
1461300008,84,82
1461303844,95,63
1461307684,63,49
1461311526,71,51
1461315366,56,55
1461319210,57,61
1461321132,62,50
1461324962,53,50
1461328803,54,63
1461335536,79,97
1461341765,69,50
1461344408,68,65
1461346322,77,55
1461350163,70,59
1461354003,53,65
1461359763,72,75
1461361683,59,80
1461365523,52,83
1461369363,63,83
1461373211,50,80
1461375122,74,68
1461378962,91,103
1461382803,107,97
1461386642,66,71
1461390482,85,51
1461394323,40,45
1461398164,76,42
1461402008,70,58
1461405842,58,44
1461407763,65,69
1461409683,53,57
1461415442,59,53
1461419282,59,58
1461423123,61,58
1461427209,61,44
1461429122,66,65
1461432963,71,70
1461436804,61,71
1461440643,65,63
1461444483,54,79
1461448324,49,70
1461452171,69,69
1461456010,70,70
1461459842,51,77
1461461762,63,64
1461465604,94,109
1461469443,94,98
1461473283,65,73
1461477122,78,58
1461480972,49,43
1461484810,66,41
1461486723,67,48
1461490563,67,64
1461496322,65,61
1461498243,57,49
1461502082,64,74
1461505922,71,63
1461509771,62,69
1461513610,58,48
1461515522,72,62
1461519362,62,62
1461523442,68,68
1461527282,58,101
1461531123,95,66
1461535210,53,85
1461537132,46,84
1461540962,65,83
1461546722,50,63
1461548643,79,68
1461552482,94,105
1461556322,90,95
1461560164,73,80
1461564009,98,63
1461565932,49,54
1461569763,79,51
1461573603,62,44
1461577442,61,56
1461581283,54,58
1461585123,58,59
1461589207,57,64
1461591123,63,48
1461594971,59,66
1461598803,73,67
1461604563,85,55
1461606483,77,81
1461610322,76,77
1461614163,87,68
1461618010,76,79
1461621843,57,87
1461623771,48,88
1461632163,108,141
1461636008,72,73
1461637924,90,103
1461641765,98,108
1461643684,83,75
1461649444,93,62
1461653284,68,45
1461657125,76,57
1461660965,49,48
1461664810,45,58
1461668644,59,52
1461670562,58,52
1461674403,54,55
1461678242,57,48
1461682082,65,55
1461685922,52,68
1461689763,66,53
1461693610,77,71
1461695526,77,67
1461699603,71,69
1461703443,68,61
1461707282,47,75
1461711124,55,106
1461714963,69,89
1461718808,47,68
1461720723,90,72
1461724563,81,96
1461728404,113,119
1461732243,72,70
1461736083,92,60
1461739923,54,61
1461743763,66,46
1461747664,59,55
1461749523,56,95
1461753363,98,57
1461757203,64,57
1461761043,58,57
1461764883,55,66
1461768722,69,61
1461772566,70,55
1461776408,59,57
1461780242,67,58
1461782162,72,63
1461786003,71,59
1461789843,60,75
1461793682,51,66
1461797523,61,105
1461801364,71,77
1461805208,46,68
1461807123,80,79
1461810962,86,91
1461814804,106,107
1461818643,73,73
1461822483,83,68
1461826323,63,46
1461830163,78,48
1461834009,64,52
1461835923,57,53
1461839763,55,53
1461843604,66,58
1461847443,65,61
1461851282,55,53
1461855123,53,55
1461857043,102,99
1461858964,70,61
1461862808,88,92
1461864724,107,56
1461868564,84,75
1461872405,62,78
1461876244,61,61
1461880087,58,96
1461883927,46,108
1461887766,77,89
1461891608,52,71
1461893523,81,81
1461897362,84,90
1461901204,97,108
1461905283,73,78
1461909122,100,74
1461912963,54,44
1461916809,75,38
1461920642,57,57
1461922565,62,48
1461926433,55,56
1461930245,68,71
1461934088,66,67
1461939844,68,62
1461941767,67,57
1461945609,69,72
1461949444,69,58
1461951363,66,64
1461955203,82,77
1461959043,70,61
1461962883,51,77
1461966724,54,63
1461970564,56,127
1461974409,66,78
1461976326,50,76
1461980164,86,77
1461984010,84,97
1461987845,102,117
1461991685,86,88
1461995525,82,64
1461999367,62,55
1462003210,66,46
1462005123,54,60
1462008963,56,50
1462014726,67,60
1462016643,74,54
1462020482,77,53
1462024323,66,56
1462028408,64,64
