DateTime,Entries,UniqueIPs
1461012243,7101,7101
1461016086,7056,7056
1461020163,7018,7018
1461025924,6992,6992
1461029762,6991,6991
1461033609,6979,6979
1461037686,6945,6945
1461041532,6977,6977
1461045363,7008,7008
1461049216,7025,7025
1461051133,7037,7037
1461054964,7047,7047
1461058806,7040,7040
1461062645,7036,7036
1461068423,7031,7031
1461072245,7035,7035
1461074175,7034,7034
1461076566,7027,7027
1461081368,7029,7029
1461085209,7072,7072
1461087125,7095,7095
1461091926,7087,7087
1461096726,7084,7084
1461098644,7076,7076
1461104229,7052,7052
1461106082,6997,6997
1461109922,6991,6991
1461113763,6958,6958
1461119525,6960,6960
1461123363,6950,6950
1461127205,6957,6957
1461131044,6993,6993
1461134887,6998,6998
1461138726,7018,7018
1461142565,7010,7010
1461162272,6993,6993
1461171367,7025,7025
1461174003,7029,7029
1461179762,7027,7027
1461181683,7028,7028
1461185522,7014,7014
1461189364,7001,7001
1461195122,6941,6941
1461200884,6917,6917
1461202804,6930,6930
1461206643,6912,6912
1461210483,6915,6915
1461214323,6915,6915
1461218163,6948,6948
1461220084,6915,6915
1461222005,6953,6953
1461223923,6970,6970
1461227762,6973,6973
1461231603,6974,6974
1461233523,6975,6975
1461239282,6976,6976
1461243853,6971,6971
1461245762,6973,6973
1461249603,6983,6983
1461257766,6992,6992
1461260403,7009,7009
1461265446,7007,7007
1461267363,7005,7005
1461269284,7007,7007
1461271203,6988,6988
1461275043,6979,6979
1461278882,6930,6930
1461282722,6934,6934
1461286564,6918,6918
1461290408,6931,6931
1461292336,6920,6920
1461296170,6907,6907
1461300008,6909,6909
1461303844,6941,6941
1461307684,6955,6955
1461311526,6975,6975
1461315366,6976,6976
1461319210,6972,6972
1461321132,6984,6984
1461324962,6987,6987
1461328803,6978,6978
1461335536,6960,6960
1461341765,6979,6979
1461344408,6982,6982
1461346322,7004,7004
1461350163,7015,7015
1461354003,7003,7003
1461359763,7000,7000
1461361683,6979,6979
1461365523,6948,6948
1461369363,6928,6928
1461373211,6898,6898
1461375122,6904,6904
1461378962,6892,6892
1461382803,6902,6902
1461386642,6897,6897
1461390482,6931,6931
1461394323,6926,6926
1461398164,6960,6960
1461402008,6972,6972
1461405842,6986,6986
1461407763,6982,6982
1461409683,6978,6978
1461415442,6984,6984
1461419282,6985,6985
1461423123,6988,6988
1461427209,7005,7005
1461429122,7006,7006
1461432963,7007,7007
1461436804,6997,6997
1461440643,6999,6999
1461444483,6974,6974
1461448324,6953,6953
1461452171,6953,6953
1461456010,6953,6953
1461459842,6927,6927
1461461762,6926,6926
1461465604,6911,6911
1461469443,6907,6907
1461473283,6899,6899
1461477122,6919,6919
1461480972,6925,6925
1461484810,6950,6950
1461486723,6969,6969
1461490563,6972,6972
1461496322,6976,6976
1461498243,6984,6984
1461502082,6974,6974
1461505922,6982,6982
1461509771,6975,6975
1461513610,6985,6985
1461515522,6995,6995
1461519362,6995,6995
1461523442,6995,6995
1461527282,6952,6952
1461531123,6981,6981
1461535210,6949,6949
1461537132,6911,6911
1461540962,6893,6893
1461546722,6880,6880
1461548643,6891,6891
1461552482,6880,6880
1461556322,6875,6875
1461560164,6868,6868
1461564009,6903,6903
1461565932,6898,6898
1461569763,6926,6926
1461573603,6944,6944
1461577442,6949,6949
1461581283,6945,6945
1461585123,6944,6944
1461589207,6937,6937
1461591123,6952,6952
1461594971,6945,6945
1461598803,6951,6951
1461604563,6981,6981
1461606483,6977,6977
1461610322,6976,6976
1461614163,6995,6995
1461618010,6992,6992
1461621843,6962,6962
1461623771,6922,6922
1461632163,6889,6889
1461636008,6888,6888
1461637924,6875,6875
1461641765,6865,6865
1461643684,6873,6873
1461649444,6904,6904
1461653284,6927,6927
1461657125,6946,6946
1461660965,6947,6947
1461664810,6934,6934
1461668644,6941,6941
1461670562,6947,6947
1461674403,6946,6946
1461678242,6955,6955
1461682082,6965,6965
1461685922,6949,6949
1461689763,6962,6962
1461693610,6968,6968
1461695526,6978,6978
1461699603,6980,6980
1461703443,6987,6987
1461707282,6959,6959
1461711124,6908,6908
1461714963,6888,6888
1461718808,6867,6867
