DateTime,AddedIPs,RemovedIPs
1460999041,2,2
1461002641,5,3
1461006241,6,1
1461009841,4,2
1461013441,1,2
1461017041,1,4
1461020641,5,1
1461024241,1,0
1461027842,2,0
1461031441,1,5
1461035042,2,2
1461042241,5,2
1461045842,1,2
1461049441,4,0
1461053041,3,3
1461056641,3,1
1461060241,0,1
1461063841,2,1
1461067441,3,4
1461071041,2,4
1461074641,1,6
1461078242,3,5
1461081842,4,3
1461085442,2,2
1461089041,4,1
1461092642,0,3
1461096241,5,1
1461099841,2,3
1461103441,3,1
1461107041,3,1
1461110641,1,2
1461117841,2,6
1461121442,5,0
1461125041,1,1
1461128641,4,1
1461132241,3,5
1461135841,1,4
1461139441,2,1
1461143041,1,3
1461161041,13,6
1461168241,6,4
1461171841,6,2
1461175441,3,3
1461179041,3,2
1461182641,3,4
1461186242,3,0
1461189841,4,1
1461193441,5,1
1461197042,3,3
1461200641,2,2
1461204241,1,1
1461207842,3,2
1461211442,3,2
1461215041,2,0
1461218641,0,4
1461222242,6,2
1461225842,7,3
1461229441,1,2
1461233041,0,4
1461236641,1,2
1461240241,5,5
1461243841,2,3
1461247441,2,0
1461251042,1,3
1461254641,1,3
1461258241,4,2
1461261841,0,4
1461265441,4,4
1461272641,0,2
1461276241,3,1
1461279842,1,1
1461283441,5,2
1461287041,3,0
1461290642,1,3
1461294242,4,4
1461297842,0,3
1461301441,3,3
1461305041,2,2
1461308641,2,3
1461312242,1,7
1461315842,2,1
1461319441,1,4
1461323041,0,1
1461326642,4,4
1461330241,4,3
1461333841,0,3
1461337441,5,1
1461341042,4,2
1461344641,1,6
1461348241,5,4
1461351842,1,2
1461355441,5,3
1461359041,2,2
1461362641,2,4
1461369842,2,3
1461373441,2,1
1461377041,3,0
1461380642,0,9
1461384243,1,2
1461387841,0,8
1461391442,3,0
1461395041,2,0
1461398641,4,0
1461402242,5,0
1461409442,4,0
1461413042,3,0
1461416641,2,0
1461420242,1,0
1461423841,2,0
1461427442,1,25
1461431041,4,2
1461434641,6,3
1461438241,0,4
1461441842,0,3
1461445441,1,3
1461449041,2,1
1461452641,6,3
1461456241,2,2
1461459842,0,1
1461463441,3,4
1461467041,2,0
1461470641,2,2
1461474242,1,3
1461477841,1,1
1461481441,5,0
1461485041,3,6
1461488642,2,3
1461492241,3,3
1461495841,2,5
1461499441,2,1
1461503042,3,0
1461506641,4,4
1461510242,2,3
1461513842,3,2
1461517441,4,4
1461521041,3,3
1461524641,1,6
1461528241,4,1
1461531841,1,0
1461535441,1,4
1461539042,2,2
1461542642,3,0
1461546241,2,2
1461549842,1,1
1461553441,2,5
1461557042,1,2
1461560641,1,5
1461564241,3,2
1461567842,2,1
1461571443,1,2
1461575043,3,1
1461578642,3,0
1461582241,8,4
1461585841,1,2
1461589441,1,0
1461593041,3,2
1461596642,1,2
1461600241,2,0
1461603842,1,3
1461607441,0,3
1461611041,2,3
1461614642,0,2
1461618241,7,1
1461621842,1,3
1461625441,2,2
1461629042,2,7
1461632641,3,1
1461636241,1,0
1461639841,2,0
1461643441,1,2
1461647042,3,2
1461650641,2,1
1461654241,5,4
1461657842,3,3
1461661441,4,2
1461665041,1,1
1461668642,3,1
1461672241,3,2
1461675841,1,2
1461679441,2,2
1461683041,3,3
1461686641,5,2
1461690242,3,3
1461693842,6,4
1461697442,2,3
1461701041,3,2
1461704642,1,4
1461708242,4,4
1461711842,1,1
1461715442,9,2
1461719042,8,1
1461722642,8,2
1461726242,6,6
1461729841,2,0
1461733442,3,2
1461737042,2,1
1461740642,5,2
1461744242,1,4
1461747841,2,2
1461751442,4,2
1461755042,5,0
1461758642,4,3
1461762242,3,2
1461765842,2,0
1461769443,7,1
1461773042,3,4
1461776641,2,2
1461780241,1,1
1461783842,4,2
1461787441,1,2
1461791041,3,4
1461794642,4,4
1461798241,4,9
1461801842,7,8
1461805442,6,0
1461809042,2,1
1461812641,0,4
1461816242,2,1
1461819841,3,2
1461823441,1,0
1461827041,2,4
1461830641,4,0
1461834242,1,1
1461837841,0,1
1461841441,2,1
1461845041,3,3
1461848642,1,2
1461852242,3,1
1461855842,2,1
1461859441,2,2
1461863041,0,3
1461866641,7,1
1461870242,3,4
1461873841,5,0
1461877441,2,1
1461881041,2,2
1461884642,1,3
1461888242,3,2
1461891841,3,1
1461895442,6,1
1461899041,2,3
1461902641,1,1
1461906241,5,2
1461909841,2,4
1461913441,3,1
1461917041,3,1
1461920641,1,2
1461924241,2,0
1461927841,4,0
1461931441,1,2
1461935041,4,4
1461938642,0,1
1461942241,2,3
1461945842,1,4
1461949441,5,0
1461953042,1,6
1461956641,2,2
1461960241,1,3
1461963842,3,3
1461967441,2,1
1461971041,1,3
1461974642,1,2
1461978241,4,1
1461981841,1,2
1461985441,2,1
1461992641,0,1
1461996241,2,4
1461999842,4,2
1462003441,1,2
1462007042,2,2
1462010641,1,3
1462014242,2,2
1462017841,1,3
1462021441,2,3
1462025041,2,3
1462028641,2,1
1462032242,5,3
1462035841,0,3
1462039441,1,4
1462043042,1,2
1462046641,2,1
1462050241,1,2
1462053842,4,1
1462057441,0,3
1462061041,2,2
1462064642,3,2
1462068242,2,2
1462071841,2,2
1462075442,2,5
1462079041,3,0
1462082642,3,2
1462086241,0,5
1462089842,3,3
1462093441,1,5
1462097041,2,2
1462100641,1,2
1462104241,0,3
1462107841,7,3
1462111441,1,3
1462115041,3,3
1462118641,2,5
1462122242,3,4
1462125842,2,2
1462129442,1,1
1462133041,0,1
1462136641,1,1
1462140241,2,1
1462143842,0,3
1462147441,1,6
1462151041,1,0
1462154641,0,4
1462158241,3,4
1462161842,4,0
1462165441,1,0
1462169041,3,5
1462172641,2,2
1462176242,4,2
1462179841,4,3
1462183441,4,5
1462187041,2,6
1462190641,4,3
1462194241,2,1
1462197842,2,2
1462201441,2,1
1462205042,1,2
1462208641,1,2
1462212242,2,0
1462219441,5,2
1462223042,5,2
1462226642,3,3
1462230241,4,2
1462233841,4,1
1462237441,5,4
1462241041,2,2
1462244641,2,3
1462248242,2,2
1462251841,2,4
1462255441,3,2
1462259042,0,2
1462262642,2,2
1462266241,2,1
1462269841,1,2
1462273441,0,2
1462277041,3,5
1462280641,4,2
1462284242,3,1
1462287841,4,2
1462291442,0,3
1462295041,1,2
1462298641,6,5
1462302242,3,6
1462305842,1,1
1462309441,2,2
1462313041,1,3
1462316641,16,2
1462320242,1,2
1462323842,1,3
1462327442,0,5
1462331041,0,2
1462334641,1,5
1462338241,0,1
1462341841,5,0
1462345441,4,8
1462349041,2,6
1462352641,1,4
1462356241,0,3
1462359841,4,2
1462363441,3,5
1462367041,1,4
1462370641,1,1
1462374242,2,7
1462377841,2,4
1462381441,2,3
1462385042,4,2
1462388642,2,3
1462392242,1,8
1462395842,3,5
1462399441,1,3
1462403041,0,2
1462406641,1,3
1462410241,3,2
1462413841,1,0
1462417441,2,1
1462421042,4,1
1462424641,2,4
1462428243,2,2
1462431841,2,4
1462435441,1,4
1462439042,6,1
1462442642,3,2
1462446241,1,2
1462449841,2,0
1462453441,4,1
1462457041,3,3
1462460641,2,0
1462464244,2,3
1462467842,5,1
1462471442,4,1
1462475041,1,2
1462478641,2,6
1462482241,2,3
1462485841,1,3
1462489441,1,2
1462493041,3,2
1462496641,2,1
1462500241,4,5
1462503841,0,1
1462507444,1,2
1462511042,6,2
1462514641,3,3
1462518242,3,3
1462521841,6,3
1462525441,1,3
1462529041,6,3
1462532641,5,4
1462536241,1,3
1462539841,1,2
1462543442,2,1
1462547041,2,3
1462550641,3,1
1462554242,2,4
1462557844,4,2
1462561442,0,1
1462565041,1,1
1462568642,3,3
1462572241,2,3
1462575841,1,4
1462579442,6,7
1462583041,4,6
1462586642,0,1
1462590243,1,1
1462593841,2,1
1462597442,4,0
1462601042,2,2
1462604641,2,2
1462608242,3,2
1462611841,2,5
1462615443,4,0
1462619041,1,3
1462622642,0,1
1462626242,1,4
1462629841,3,3
1462633441,1,5
1462637042,0,3
1462640641,2,6
1462644241,0,2
1462647841,2,1
1462651441,1,1
1462655041,1,1
1462658642,0,3
1462665841,5,0
1462669442,1,0
1462673042,3,4
1462676642,0,1
1462680241,2,4
1462683841,4,4
1462687441,1,5
1462691042,1,1
