DateTime,AddedIPs,RemovedIPs
1459941311,19,0
1459941612,1,0
1459942512,19,0
1459942810,3,0
1459944011,37,0
1459944311,68,0
1459944908,0,4
1459950310,0,1
1459950610,2,0
1459955710,47,0
1459956012,11,0
1459957211,0,1
1459961411,0,1
1459962910,2,0
1459975810,0,1
1460014211,13,0
1460021411,10,0
1460022013,0,1
1460028012,6,0
1460036111,15,0
1460036412,5,0
1460040910,0,1
1460042411,40,0
1460044810,0,1
1460049612,2,0
1460050509,0,1
1460055009,0,1
1460055609,0,1
1460056210,0,1
1460059212,0,1
1460063713,0,1
1460067611,1,0
1460090711,0,1
1460091613,0,1
1460092810,0,1
1460093409,0,1
1460093711,0,1
1460094012,0,1
1460101211,0,1
1460103611,6,0
1460116211,1,0
1460117410,53,0
1460118013,3,0
1460124611,6,0
1460133613,0,1
1460134511,0,1
1460137810,3,0
1460142609,0,1
1460145909,1,0
1460146812,1,0
1460160012,0,1
1460161211,0,1
1460180710,1,0
1460216412,0,1
1460231711,0,1
1460273409,0,1
1460308509,0,1
1460312709,1,0
1460326210,1,0
1460332209,1,0
1460336412,0,1
1460337610,0,1
1460344812,1,0
1460350810,0,1
1460361009,0,1
1460361311,0,2
1460361612,0,1
1460361908,0,2
1460364910,0,1
1460372410,0,1
1460379612,17,0
1460380511,24,1
1460380811,9,3
1460381110,2,0
1460381410,1,2
1460382309,1,0
1460382610,55,0
1460382910,43,0
1460384711,0,1
1460386210,0,1
1460389812,0,1
1460391309,0,1
1460392811,1,0
1460406312,0,1
1460419514,0,1
1460429711,1,0
1460451010,157,0
1460451310,49,0
1460451612,35,0
1460453111,3,0
1460454610,1,0
1460461211,10,0
1460461510,15,0
1460461810,6,0
1460462112,27,0
1460462709,5,0
1460463011,3,1
1460477109,1,0
1460478310,0,1
1460481311,0,1
1460486111,0,2
1460487309,1,0
1460490311,1,0
1460491209,0,1
1460491809,1,0
1460494812,0,1
1460503809,0,1
1460522411,0,1
1460522709,0,1
1460523611,0,1
1460527808,0,1
1460535010,24,0
1460535610,42,0
1460536210,34,0
1460536811,8,3
1460537110,1,0
1460541011,0,1
1460543110,0,1
1460556012,14,1
1460556310,1,0
1460556609,1,0
1460558110,29,0
1460558409,2,0
1460559309,0,1
1460559610,72,1
1460569810,1,0
1460572511,0,2
1460592610,0,1
1460596213,0,1
1460599810,1,0
1460600113,3,0
1460604011,0,1
1460618710,15,1
1460619310,70,0
1460619611,26,0
1460619909,34,0
1460620211,50,0
1460620510,3,0
1460622013,6,0
1460622909,10,0
1460623210,5,0
1460623810,1,0
1460625011,12,0
1460625312,1,0
1460625912,1,0
1460626210,1,0
1460638514,65,0
1460643311,0,1
1460646011,0,1
1460648411,0,1
1460649310,0,1
1460656210,0,1
1460657111,0,1
1460660109,0,1
1460660412,0,1
1460664311,0,1
1460696111,0,1
1460699110,2,0
1460705111,8,12660
1460708709,53,0
1460709007,57,0
1460709610,6,0
1460710207,57,0
1460710508,14,0
1460711409,11,0
1460712009,10,0
1460721308,0,20
1460721609,0,1
1460723108,0,1
1460724909,0,2
1460725209,0,1
1460728508,0,1
1460738410,1,0
1460744407,0,1
1460749208,1,0
1460778010,0,1
1460794209,1,0
1460806808,0,2
1460807107,0,1
1460808009,0,1
1460832908,0,1
1460833507,0,1
1460853608,0,1
1460853908,0,1
1460857208,1,0
1460862009,0,1
1460864408,0,1
1460868008,0,1
1460880608,0,1
1460886910,93,0
1460887208,3,0
1460887508,4,0
1460888408,5,0
1460889008,36,0
1460889307,12,0
1460893208,0,1
1460914808,1,0
1460925909,0,1
1460932809,1,0
1460939108,0,1
1460943608,1,0
1460956509,2,0
1460963709,1,0
1460966107,6,0
1460966409,87,0
1460966708,43,0
1460967009,1,0
1460968210,2,0
1460969109,5,0
1460975408,0,1
1460975709,0,1
1460976908,8,0
1460977209,25,0
1460977508,46,0
1460977809,6,0
1460979008,6,0
1460979609,49,0
1460980207,71,0
1460980508,37,4
1460980809,38,1
1460981407,3,0
1460992209,0,1
1461001808,0,1
1461005108,0,1
1461041407,0,1
1461049209,0,1
1461052509,2,0
1461052810,83,0
1461053408,1,0
1461054009,35,0
1461054609,6,0
1461055209,2,0
1461065110,0,10
1461070508,0,1
1461076207,0,1
1461083108,1,0
1461092409,0,1
1461096907,1,0
1461097808,0,1
1461098707,1,0
1461111907,0,1
1461113107,0,1
1461124806,1,0
1461126907,0,1
1461131707,0,1
1461161706,114,0
1461170707,0,1
1461174007,0,1
1461178507,0,1
1461186307,1,0
1461190806,0,1
1461195606,0,1
1461225306,25,0
1461225907,72,0
1461226206,12,0
1461226506,6,0
1461226806,13,3
1461227407,1,0
1461228007,10,0
1461235807,1,0
1461246906,0,1
1461248106,0,1
1461250506,0,1
1461260707,1,0
1461285907,1,0
1461300007,1,0
1461310506,83,0
1461310806,23,0
1461311406,5,0
1461312007,28,0
1461312307,1,0
1461312607,6,0
1461320107,0,1
1461346807,4,0
1461349206,0,1
1461358808,0,1
1461363607,0,1
1461384306,1,0
1461397507,1,0
1461412206,0,1
1461412506,0,1
1461418206,14,0
1461418508,41,0
1461419107,49,0
1461419407,29,0
1461419707,3,0
1461421207,6,0
1461428106,0,1
1461432606,0,1
1461435306,0,1
1461456008,4,0
1461471606,1,1
1461474607,0,1
1461482407,0,1
1461513910,0,1
1461522606,1,1
1461525907,0,1
1461533407,0,1
1461550207,0,1
1461572107,23,0
1461572407,61,0
1461572706,34,3
1461573307,3,0
1461573906,4,0
1461574207,3,0
1461574506,10,0
1461574808,6,0
1461576607,0,1
1461583808,0,1
1461588907,0,1
1461589807,0,1
1461605108,2,0
1461606307,0,1
1461615607,0,1
1461654007,0,1
1461657306,26,0
1461657606,31,0
1461658207,24,0
1461658507,2,0
1461658807,5,0
1461659106,3,0
1461660606,5,0
1461663606,1,0
1461673207,0,1
1461677708,0,1
1461690607,0,1
1461692707,0,1
1461705606,0,1
1461741606,1,0
1461759006,115,1
1461759307,2,0
1461759907,20,0
1461760506,7,0
1461761107,1,0
1461761708,1,0
1461762008,5,0
1461763207,0,1
1461765307,0,1
1461768007,0,1
1461781207,2,0
1461789606,1,0
1461794707,0,1
1461802207,1,0
1461813912,0,1
1461846606,0,1
1461850206,0,1
1461854707,0,1
1461867006,3,0
1461868806,0,1
1461870607,1,0
1461890407,0,1
1461894607,0,1
1461917113,180,0
1461917407,4,0
1461917706,36,0
1461918907,12,0
1461919207,5,0
1461951307,0,1
1461954006,1,0
1461954306,1,0
1461957306,1,0
1461962407,1,0
1461973507,0,1
1461985207,1,0
1461987006,1,0
1462038606,1,0
1462042807,0,1
1462048807,0,1
1462064107,0,1
1462069206,2,0
1462080606,1,0
1462101006,0,1
1462112707,0,1
1462121707,0,1
1462124407,1,0
1462126807,0,1
1462129208,0,1
1462131307,1,0
1462145106,1,0
1462151707,0,1
1462159516,1,0
1462176308,34,0
1462176906,11,0
1462177507,222,3
1462177807,34,0
1462178106,30,0
1462178406,36,0
1462178706,4,0
1462179607,0,1
1462182006,0,1
1462182307,0,3
1462208408,2,0
1462221907,2,0
1462233007,0,1
1462238708,2,0
1462242007,0,1
1462244407,0,1
1462245006,1,0
1462256706,0,1
1462257306,3,0
1462273807,0,1
1462281906,10,0
1462283107,17,0
1462283406,36,0
1462284607,0,1
1462297507,0,1
1462307407,3,0
1462312507,1,0
1462320907,0,1
1462332006,2,0
1462342807,0,1
1462347906,2,0
1462348206,159,0
1462348506,52,0
1462348806,24,0
1462349706,1,0
1462350006,25,0
1462350306,2,0
1462350606,1,0
1462350908,2,0
1462355706,0,1
1462356607,99,0
1462356907,66,0
1462357206,154,0
1462357507,47,6
1462357806,0,14
1462358106,38,0
1462358407,35,0
1462358706,20,0
1462372806,0,1
1462377607,0,1
1462386307,0,1
1462396506,0,1
1462399807,0,1
1462408507,1,0
1462423207,1,0
1462435507,2,0
1462435806,6,2
1462437307,102,0
1462437607,106,0
1462437907,78,3
1462438207,42,0
1462438506,1,0
1462438806,1,0
1462444807,0,1
1462450208,0,1
1462459207,0,1
1462462506,0,1
1462468506,0,1
1462469707,2,0
1462472407,0,1
1462473606,0,1
1462474206,0,1
1462486507,1,0
1462516206,1,0
1462539007,0,1
1462539306,0,1
1462541706,0,1
1462550406,0,1
1462554307,0,2
1462554607,0,1
1462554906,0,2
1462557006,6,0
1462558506,0,1
1462560307,0,1
1462570206,0,1
1462574106,0,1
1462587306,0,1
1462640107,1,0
1462647306,1,0
