DateTime,AddedIPs,RemovedIPs
1460360713,0,2
1460361010,0,2
1460361312,0,4
1460361613,0,2
1460361909,0,2
1460364911,0,1
1460380511,0,1
1460386211,0,1
1460394309,0,1
1460401211,0,1
1460409911,0,1
1460413810,0,1
1460414111,0,1
1460414711,0,2
1460427310,0,1
1460427910,0,1
1460428511,22,0
1460429711,0,1
1460437812,0,1
1460454312,0,1
1460456712,0,1
1460478311,0,1
1460481311,0,1
1460482511,0,1
1460486711,0,1
1460508013,0,1
1460509209,0,1
1460512510,0,1
1460514311,0,1
1460515810,0,1
1460529909,1,0
1460534111,0,1
1460534413,0,3
1460538609,0,2
1460539210,0,1
1460543110,0,2
1460544012,0,4
1460549111,0,1
1460554209,0,1
1460562912,0,1
1460570109,1,0
1460576711,0,1
1460599214,0,1
1460601010,0,1
1460609412,0,1
1460623211,0,1
1460623510,0,1
1460628910,0,1
1460646012,0,1
1460651412,0,1
1460655612,0,1
1460663410,0,1
1460665211,0,1
1460677810,0,2
1460703012,0,1
1460705111,145,119265
1460707209,0,1
1460723109,0,1
1460747709,0,1
1460755809,0,2
1460759108,0,1
1460798409,0,1
1460806809,0,1
1460807108,0,2
1460808010,0,1
1460823011,0,1
1460831710,0,1
1460875209,1,0
1460889608,0,1
1460899508,0,1
1460899808,0,1
1460900107,0,1
1460913908,0,3
1460928309,30,0
1460933407,1,0
1460943907,0,1
1460964008,23,0
1460990107,0,1
1461000009,0,1
1461016808,1,0
1461021008,3,0
1461049807,1,0
1461050110,1,0
1461070509,37,0
1461098408,0,1
1461098707,0,1
1461112807,0,1
1461113107,0,1
1461116108,0,1
1461161707,0,1
1461173407,0,1
1461174007,0,1
1461178208,0,1
1461235807,0,1
1461236106,0,1
1461237307,179,0
1461237606,0,1
1461237908,3,2
1461238207,0,3
1461238807,138,0
1461243607,190,1
1461247509,0,1
1461249006,0,1
1461257407,0,25
1461259807,0,8
1461260407,0,1
1461261908,0,1
1461262506,0,1
1461279607,0,1
1461285607,27,0
1461295207,0,1
1461311106,0,1
1461317707,0,1
1461323407,0,2
1461323706,0,1
1461324307,0,1
1461324607,0,1
1461329708,0,1
1461336907,0,1
1461337207,0,1
1461337508,0,2
1461337808,0,3
1461338107,0,2
1461338407,0,1
1461341407,0,3
1461343807,0,11
1461344407,0,1
1461345307,64,0
1461347707,46,0
1461348906,27,0
1461349807,35,0
1461350106,63,0
1461350708,19,0
1461351007,35,0
1461352207,2,1
1461352507,1,1
