DateTime,AddedIPs,RemovedIPs
1453295108,0,1
1453337709,5,0
1453338011,28,0
1453338309,44,0
1453377611,3,0
1453383010,0,5
1453384509,0,5
1453385411,1,0
1453387211,3,0
1453391111,1,0
1453403408,0,5
1453461910,0,5
1453481114,0,1
1453500310,4,0
1453521010,4,0
1453521309,2,0
1453521610,1,0
1453521910,1,0
1454496611,107,41
1454502909,0,5
1454503810,0,5
1454510710,0,1
1454571609,0,1
1454578810,7,0
1454579109,1,0
1454599513,1,0
1454603108,0,5
1454603709,0,1
1454604009,0,1
1454604610,2,0
1454604910,6,0
1454607610,3,0
1454607910,5,0
1454608812,3,0
1454646608,0,1
1454669411,0,5
1454680810,0,1
1454692510,0,1
1454692810,1,0
1454720109,0,1
1454763009,0,5
1454809810,0,5
1454828411,0,1
1454842509,35,0
1454842811,4,0
1454862609,0,5
1454873709,0,1
1454880011,4,0
1454902810,1,0
1454903111,1,0
1454915409,0,5
1454974509,1,0
1454976010,2,0
1454995509,0,5
1455014410,0,1
1455042908,0,5
1455048010,14,0
1455054309,0,1
1455063310,1,0
1455063609,1,0
1455078009,11,0
1455078610,2,0
1455108010,53,0
1455108309,18,0
1455108609,14,0
1455128710,4,0
1455129011,4,0
1455129613,1,0
1455134109,1,0
1455134411,5,0
1455134709,7,0
1455135009,2,0
1455135310,3,0
1455136210,1,0
1455144909,9,0
1455145509,12,0
1455157509,1,0
1455158708,11,0
1455159310,6,0
1455176111,1,0
1455191109,0,1
1455215710,1,0
1455216011,1,0
1455235509,49,0
1455236109,53,0
1455236412,10,0
1455259810,1,0
1455302709,0,1
1455304812,0,1
1455308411,41,0
1455308709,16,0
1455352511,1,0
1455352809,3,0
1455358211,2,0
1455362709,1,0
1455380708,0,5
1455392711,1,0
1455395409,1,0
1455397509,3,0
1455428711,0,1
1455430811,0,1
1455450611,1,0
1455451211,1,0
1455451509,1,0
1455498611,3,0
1455498910,1,0
1455499212,2,0
1455500108,17,0
1455500410,4,0
1455505809,8,0
1455544812,1,0
1455570311,1,0
1455570913,2,0
1455582310,1,0
1455582610,5,0
1455582910,2,0
1455616511,0,1
1455619510,0,1
1455621910,0,1
1455643211,0,1
1455680109,0,5
1455735612,12,0
1455742811,1,0
1455747308,1,0
1455749412,1,0
1455756910,3,0
1455757212,1,0
1455757510,1,0
1455788109,3,0
1455789008,1,0
1455792910,2,0
1455813611,0,1
1455928810,3,0
1455929108,3,0
1455929408,2,0
1455930310,4,0
1455939009,0,1
1455940209,3,0
1455976811,0,5
1456026911,10,0
1456027211,7,0
1456027512,3,0
1456050910,0,5
1456120810,0,1
1456128909,0,1
1456148412,0,5
1456237811,0,1
1456257910,0,5
1456293910,0,1
1456316412,0,1
1456428909,0,1
1456429810,0,5
1456442411,0,1
1456453208,20,0
1456453512,57,0
1456453810,7,0
1456475412,0,5
1456539011,8,0
1456539311,12,0
1456539611,3,0
1456569911,0,1
1456580412,1,0
1456580708,3,0
1456581011,1,0
1456581310,1,0
1456581909,1,0
1456584012,1,0
1456584310,3,0
1456584911,6,0
1456585511,2,0
1456629611,0,5
1456638909,0,5
1456641911,0,5
1456647311,1,0
1456654511,4,0
1456654811,3,0
1456656910,1,0
1456657212,3,0
1456657811,2,0
1456658112,1,0
1456658411,4,0
1456658709,1,0
1456659011,5,0
1456660510,3,0
1456662011,2,0
1456662612,1,0
1456662909,1,0
1456675810,3,0
1456704609,7,0
1456757411,3,0
1456813511,0,5
1456827010,0,5
1456839909,0,5
1456865109,0,1
1456918810,0,1
1456936210,2,0
1456939811,0,5
1457008209,0,1
1457025011,0,5
1457071210,0,1
1457098810,0,5
1457167511,0,1
1457197811,3,0
1457214011,1,0
1457214309,1,0
1457214610,4,0
1457215509,2,0
1457215813,2,0
1457220310,2,0
1457227211,8,0
1457230510,10,0
1457230810,10,0
1457240710,5,0
1457241010,2,0
