DateTime,AddedIPs,RemovedIPs
1462159760,0,2560
1462160653,1024,0
1462162600,2816,256
1462163354,0,3072
1462164258,1024,0
1462166285,1280,1024
1462166953,0,1536
1462167852,1024,0
1462168814,3328,768
1462171463,1024,2560
1462173499,256,1536
1462175054,256,2304
1462177059,3072,1280
1462178668,1536,3328
1462180658,1024,768
1462181352,0,1536
1462182257,768,0
1462184220,3584,512
1462184954,0,256
1462185860,768,2560
1462187489,768,1536
1462188562,0,1536
1462189457,256,0
1462191386,2560,512
1462192153,0,2048
1462192891,768,0
1462195286,2048,1280
1462196496,0,1280
1462197552,0,2304
1462198639,2048,0
1462199375,0,3072
1462200279,1024,0
1462201216,1024,1536
1462202323,0,512
1462204785,0,512
1462205858,3072,0
1462206562,0,3072
1462207527,768,0
1462209484,1536,512
1462211054,256,768
1462220260,4352,5376
1462220953,0,2816
1462221859,1536,0
1462223803,256,1280
1462225453,256,1792
1462226353,0,256
1462227478,2304,0
1462228166,0,2560
1462229059,1024,0
1462231203,768,768
1462231756,0,768
1462232655,256,0
1462233554,0,256
1462234874,3584,0
1462236257,512,2560
1462237156,0,768
1462238238,1280,0
1462239853,1280,1536
1462242196,3072,256
1462243459,2304,2560
1462244355,0,768
1462245441,1024,0
1462247057,1280,1280
1462247820,0,768
1462249077,2816,0
1462250662,1024,2816
1462252447,1280,1024
1462254261,256,2048
1462256261,2816,0
1462256956,0,3584
1462257874,1024,0
1462259981,768,1792
1462261456,1536,1024
1462263457,3328,0
1462265059,1536,3328
1462267280,768,768
1462268658,2048,1536
1462269558,0,1280
1462270623,2304,0
1462272257,1024,3584
1462274256,1792,768
1462274951,0,512
1462275858,1280,0
1462277661,2816,256
1462279455,1536,2560
1462280353,0,1280
1462281432,1024,0
1462282159,0,1536
1462283058,512,0
1462285001,2816,0
1462285752,0,2304
1462286785,1280,0
1462287557,0,768
1462288665,1024,0
1462289351,0,1280
1462291168,256,0
1462292060,2560,256
1462293855,1536,2304
1462294756,0,768
1462295868,1024,0
1462296555,0,1280
1462297459,256,0
1462299427,2816,0
1462300164,0,2816
1462301131,1280,0
1462303012,2304,0
1462306671,2816,0
1462307356,0,2304
1462308115,1024,0
1462309155,0,1280
1462310323,768,0
1462311858,256,256
1462312752,0,256
1462313890,2304,0
1462315454,768,2048
1462316217,0,512
1462317264,768,0
1462318289,256,512
1462320058,3328,256
1462322655,1536,3328
1462324456,1280,512
1462326262,2304,1280
1462328308,2816,256
1462329860,1536,2560
