DateTime,Entries,UniqueIPs
1462119538,2122,547840
1462121053,2109,544512
1462121952,2100,542208
1462123029,2103,542976
1462124657,2099,541952
1462126625,2110,544768
1462127353,2101,542464
1462128257,2104,543232
1462130239,2099,541952
1462131855,2095,540928
1462133903,2101,542464
1462135455,2089,539392
1462136356,2078,536576
1462137456,2083,537856
1462139056,2081,537344
1462139953,2077,536320
1462141087,2088,539136
1462142663,2075,535552
1462144461,2072,534784
1462145408,2066,533248
1462148264,2074,535296
1462149860,2060,531712
1462151854,2060,531712
1462152554,2053,529920
1462153458,2055,530432
1462155428,2060,531712
1462157063,2050,529152
1462159065,2044,527616
1462160653,2041,526848
1462162600,2045,527872
1462163354,2026,523008
1462164258,2030,524032
1462165016,2024,522496
1462166285,2025,522752
1462167852,2020,521472
1462168814,2030,524032
1462171463,2016,520448
1462173499,2012,519424
1462175054,2008,518400
1462177059,2014,519936
1462177752,1998,515840
1462178668,2003,517120
1462180658,2002,517120
1462181352,1996,515584
1462182257,1996,515840
1462184220,2005,518144
1462184954,1988,513792
1462185860,1991,514560
1462187489,1989,514048
1462189457,1984,512768
1462191386,1991,514560
1462192891,1981,512000
1462195286,1982,512256
1462196496,1978,511232
1462197552,1977,510976
1462198639,1983,512512
1462200279,1970,509184
1462201216,1967,508416
1462202323,1965,507904
1462203860,1959,506368
1462205858,1968,508672
1462207527,1957,505856
1462209484,1955,505344
1462211054,1949,503808
1462220260,1933,499712
1462221859,1920,496384
1462223803,1911,494080
1462225453,1904,492288
1462226353,1901,491520
1462227478,1908,493312
1462228166,1893,489472
1462229059,1895,489984
1462231203,1889,488192
1462234874,1902,491520
1462236257,1890,488448
1462237156,1882,486400
1462238238,1886,487680
1462239853,1879,485888
1462242196,1887,487936
1462243459,1879,485888
1462245441,1876,485120
1462246153,1869,483328
1462247057,1871,483840
1462249077,1874,484608
1462249757,1863,481792
1462250662,1865,482304
1462252447,1859,480512
1462253368,1853,478976
1462256261,1862,481280
1462256956,1848,477696
1462257874,1852,478720
1462259981,1851,478464
1462261456,1854,479232
1462263457,1865,482048
1462265059,1855,480000
1462267280,1849,478464
1462268658,1847,477952
1462270623,1853,479488
1462271365,1847,477952
1462272257,1849,478464
1462274256,1848,478208
1462275858,1846,477696
1462277661,1851,478976
1462279455,1844,477184
1462280353,1837,475392
1462281432,1838,475904
1462283058,1837,475648
1462285001,1842,477184
1462286785,1829,473856
1462288665,1824,472576
1462291168,1818,471040
1462292060,1825,472832
1462292997,1812,469504
1462293855,1817,470784
1462294756,1813,469760
1462295868,1816,470528
1462296555,1810,468992
1462297459,1811,469248
1462298356,1810,468992
1462299427,1820,471552
1462300164,1808,468480
1462301131,1806,467968
1462303012,1811,469248
1462303763,1808,468480
1462306671,1803,467200
1462308115,1805,467712
1462309155,1798,465920
1462310323,1801,466688
1462311858,1799,466176
1462312752,1796,465408
1462313890,1804,467456
1462315454,1794,464896
1462317264,1789,463616
1462318289,1787,463104
