DateTime,Entries,UniqueIPs
1462591067,23324,130415
1462591803,23136,130226
1462592522,23162,129232
1462592656,23166,130256
1462593553,23194,130285
1462593726,23177,130268
1462594202,22973,130064
1462594752,22980,132111
1462595282,23017,132149
1462596123,22819,131951
1462596730,22340,129410
1462597210,22116,129188
1462597325,22101,129173
1462598042,22120,129193
1462598336,22122,130213
1462598951,22166,128737
1462599612,22176,128750
1462599723,21960,128534
1462599960,21963,129557
1462600563,21987,129581
1462600925,21976,129570
1462601497,21922,132577
1462602483,21955,132610
1462603466,21893,132542
1462604363,21909,128478
1462604525,21910,128479
1462605002,21829,128397
1462605394,21836,128407
1462605468,21839,129686
1462606082,21872,129720
1462606923,21756,129604
1462607311,21760,129611
1462608125,21758,128589
1462608842,21724,128302
1462609220,21720,128298
1462609683,21765,131150
1462610522,21726,131105
1462611147,21725,131105
1462611549,21752,128074
1462611725,21751,128073
1462612311,21695,127760
1462613064,21692,127749
1462613396,21629,127682
1462614123,21654,127707
1462614255,21648,126171
1462614962,21679,126202
1462615325,21682,126205
1462615803,21585,126108
1462616321,21597,128925
1462616883,21635,128963
1462617722,21546,128867
1462617855,21548,126070
1462618563,21571,126095
1462618925,21570,126094
1462619402,20838,125102
1462619824,20842,126126
1462620482,20876,126164
1462621323,20730,126018
1462621463,20730,126019
1462622525,20729,126018
1462623243,20585,125868
1462623578,20590,126892
1462624082,20599,123586
1462624923,20492,123477
1462625054,20495,124500
1462626124,20468,124473
1462626842,20324,124333
1462626855,20321,123310
1462627683,20352,123344
1462628522,20079,123062
1462628654,20079,123317
1462629568,20108,122581
1462629724,20058,122531
1462630354,20321,122810
1462630645,20331,125625
1462631283,20367,125664
1462632262,20080,125372
1462632264,20077,123839
1462633153,20094,122333
1462633323,20084,122323
1462633802,19522,121750
1462634176,19532,121761
1462634351,19536,122785
1462634882,19568,122817
1462635722,19280,122526
1462636101,19271,122517
1462636562,19292,122539
1462636924,19271,122518
1462637654,19129,124411
1462638262,19104,124386
1462638483,19122,124408
1462639323,18991,124272
1462639453,18984,121970
1462640184,18988,121975
1462640523,19020,122007
1462640990,18883,123908
1462642106,18974,124007
1462642922,18852,123883
1462643061,18852,124139
1462643971,18882,124169
1462644123,18877,124164
1462644602,18742,124023
1462644980,18768,124052
1462645044,18779,126868
1462645682,18820,126910
1462645756,18809,124094
1462646653,18712,124765
1462647362,18731,124787
1462647854,18734,124790
1462648202,18626,124681
1462648588,18615,124917
1462649283,18649,124953
1462649775,18659,124964
1462650122,18587,123870
1462650257,18587,124636
1462651323,18611,124661
1462651960,18501,124548
1462652280,18509,127361
1462652882,18543,127395
1462653855,18427,127278
1462654753,18439,124742
1462654923,18442,124745
1462655402,18369,124669
1462655790,18363,124658
1462655813,18371,125430
1462656483,18403,125464
1462656548,18398,123929
1462657322,18190,125249
1462657705,18178,125236
1462658822,18180,125238
1462659242,17753,124808
1462659636,17759,124814
1462659964,17772,128397
1462660174,17765,126350
1462661547,17611,126197
1462661947,17632,127238
1462662724,17731,127341
1462663475,17734,128108
1462663803,17430,127801
1462664522,17435,125767
1462664655,17441,127558
1462665553,17460,127578
1462666345,15707,125770
1462666802,15719,127567
1462667282,15745,127593
1462668253,15313,127157
1462668256,15303,124853
1462668962,15337,124887
1462669151,15331,123351
1462669802,14899,122915
1462669924,14895,122911
1462670296,14899,124190
1462671002,14706,122720
1462671722,14719,122733
1462671867,14715,122220
1462672563,14733,122238
1462673402,14573,122080
1462673523,14575,122082
1462674016,15435,122991
1462674482,15462,125060
1462674560,15466,122009
1462675323,15293,121829
1462675941,15298,121831
1462676369,15319,122617
1462677002,15029,122325
1462677123,15031,122327
1462677849,15020,122823
1462678082,15041,122844
1462678922,14793,122595
1462679059,14786,121058
1462679770,14775,121046
1462679952,14791,120297
1462680603,14537,120040
1462680723,14534,120037
1462681213,14533,122582
1462681683,14560,122610
1462682676,14256,122306
1462683362,14270,121555
1462683556,14270,121810
1462684202,14028,121562
1462684611,14028,121562
1462684652,14029,122328
1462685282,14051,122351
1462685366,14047,120054
1462686122,13951,119958
1462686517,13977,119985
1462687155,14008,121036
1462688057,13916,123236
1462688969,13928,123248
1462689723,13810,123127
1462689858,13799,120566
1462690562,13823,120591
1462690753,13822,120080
1462691402,13749,120006
1462691523,13748,120005
1462691895,13753,121540
1462692602,13697,120211
1462693322,13711,120226
1462693456,13714,120994
1462694162,13726,121009
1462695002,13558,120833
1462695261,13568,123393
1462696082,13600,123426
1462696188,13591,120867
1462696926,13198,121491
1462697762,13215,121509
1462697952,13213,120742
1462698691,12870,121922
1462699683,12899,121951
1462700522,12679,121733
1462700656,12680,121224
1462701605,12399,120939
1462702443,12407,120948
1462702672,12414,123760
1462703282,12438,123787
1462703349,12425,120459
1462704123,12201,121517
1462704963,12223,121542
1462705802,12043,121362
1462705923,12044,121363
1462706048,12047,121623
1462707003,11848,121421
1462707722,11875,121450
1462707857,11874,121194
1462708797,11891,121221
1462709523,11893,121223
1462709851,11900,122758
1462710483,11787,122649
1462710552,11772,118809
1462711322,11612,118645
1462711452,11615,119923
1462712350,11640,119949
1462713002,11490,119797
1462713124,11489,119796
1462713437,11486,119028
1462714082,11518,119063
1462714922,11342,118889
1462715055,11343,119145
1462715953,11384,119190
1462716602,11270,119078
1462716854,11277,120870
1462717683,11352,120946
1462717828,11357,122226
1462718523,11218,122079
1462718658,11210,119010
1462719553,11231,116991
1462720202,11165,116922
1462720323,11163,116920
1462720651,11166,118199
1462721181,11178,118211
1462721403,11128,118160
1462722122,11159,118191
1462722260,11159,118191
1462722963,11206,118240
1462723802,11174,118208
1462723923,11172,118206
1462724242,11182,119747
1462724882,11209,119778
1462724952,11198,116450
1462725722,11168,116417
1462725849,11166,115905
1462726563,11193,115933
1462727402,11153,116913
1462727671,11151,116911
1462728482,11142,116904
1462729451,11141,116393
1462730163,11149,116402
1462730227,11141,114354
1462731002,11103,114312
1462731123,11106,114315
1462731263,11113,116362
1462732083,11153,116406
1462732689,11157,117430
1462732929,11182,117458
1462733125,11170,114386
1462733762,11187,114405
1462734603,11114,114324
1462734723,11113,114323
1462735187,11116,115091
1462735682,11147,115122
1462736522,11122,115093
1462736656,11126,113571
1462737363,11149,113597
1462737572,11155,113093
1462738202,11116,113054
1462738639,11127,115870
1462739282,11162,115906
1462740122,11122,115864
1462740254,11113,113815
1462741151,11133,113835
1462741802,11078,113768
1462741923,11074,113764
1462742250,11077,114532
1462742821,11083,114538
1462743003,11052,114510
1462743722,11080,114541
1462743859,11075,113261
1462744810,11039,113223
1462745642,11070,113256
1462745870,11081,116072
1462746421,11083,116074
1462746482,11110,116104
1462747322,11046,116035
1462747456,11037,114751
1462748355,11068,114785
1462749002,10930,114645
1462749123,10934,114649
1462749444,10935,114905
1462750082,10966,114936
1462750922,10818,114788
1462751057,10811,115290
1462751953,10833,115313
1462752602,10791,115269
1462752723,10792,115270
1462753110,10799,117572
1462753682,10844,117618
1462753921,10845,117619
1462754522,10811,117583
1462754656,10811,117583
1462755362,10833,117607
1462756202,10794,117566
1462756459,10794,118332
1462757282,10830,118371
1462757523,10835,118376
1462758123,10795,117059
1462758323,10801,118595
1462759262,10817,122691
1462760062,10825,122182
1462760956,10864,122221
1462761122,10863,122220
1462761722,10811,122163
1462761884,10807,121904
1462762562,10839,121938
1462762756,10833,120402
1462763402,10793,120362
1462763524,10792,120361
1462763931,10796,121640
1462764482,10833,121678
1462764721,10836,121681
1462765322,10804,121648
1462765458,10801,120370
1462766162,10832,120401
1462767002,10801,120371
1462767124,10803,120373
1462767699,10817,124212
1462768082,10854,124250
1462768322,10853,124249
1462768922,10816,124206
1462769057,10811,122416
1462769761,10847,122454
1462769956,10846,122198
1462770602,10822,122174
1462770724,10825,122177
1462771186,10826,122688
1462771683,10879,122743
1462772522,10870,122733
1462772657,10869,121461
1462773363,10904,121502
1462773553,10899,120222
1462774203,10862,120183
1462774323,10863,120184
1462774744,10881,124792
1462775283,10924,124836
1462775521,10923,124835
1462776122,10889,124800
1462776262,10885,124794
1462777211,10890,124543
1462778102,10935,124589
1462778326,10936,124080
1462778946,10962,124108
1462779122,10962,124109
1462779722,10930,124074
1462779860,10929,124073
1462780562,10977,124121
1462781696,10962,127931
1462782564,11012,127983
1462783322,10966,127937
1462783454,10976,127698
1462784162,11018,127742
1462785120,10995,128228
1462786083,11044,128277
1462786621,11047,128280
1462786922,11048,128278
1462787060,11049,127769
1462787762,11110,127830
1462788603,11118,127838
1462788724,11119,127839
1462789407,11133,131167
1462789682,11187,131223
1462790221,11189,131225
1462790523,11181,131214
1462790659,11174,129422
1462791362,11206,129454
1462791553,11204,128942
1462792203,11198,128936
1462792323,11200,128938
1462793282,11253,130777
1462793821,11252,130775
1462794122,11229,130751
1462794264,11228,130751
1462794962,11254,130780
1462795155,11250,129756
1462795803,11237,129745
1462795923,11237,129745
