DateTime,AddedIPs,RemovedIPs
1462412522,14,47
1462413722,7,14
1462414922,2,41
1462416122,4,9
1462417321,66,18
1462418521,11,15
1462419734,1,47
1462420947,63,0
1462422122,7,23
1462423322,3,0
1462424522,4,22
1462425721,12,40
1462426922,3,1
1462428122,5,58
1462429322,19,23
1462430521,7,0
1462431722,6,72
1462432921,13,30
1462434122,5,33
1462435322,2,26
1462436522,1,17
1462437722,33,14
1462438922,13,9
1462440122,9,10
1462441322,4,23
1462442522,17,22
1462443722,8,8
1462444922,7,37
1462446122,17,5
1462447322,30,36
1462448527,73,2
1462449722,4,24
1462450922,43,20
1462452122,20,43
1462453322,12,0
1462454522,12,59
1462455722,16,28
1462456923,24,54
1462458122,14,16
1462459322,4,3
1462460522,12,40
1462461722,10,29
1462462922,19,48
1462464122,3,17
1462465322,6,69
1462466521,3,3
1462467722,17,34
1462468922,38,5
1462470122,21,9
1462471321,4,9
1462471922,1,4
1462473722,1,1
1462474921,12,17
1462476122,16,23
1462477322,5,43
1462478521,51,10
1462479722,1,27
1462480922,14,13
1462482122,13,19
1462483321,9,28
1462484522,3,41
1462485722,5,0
1462486922,7,34
1462488122,14,0
1462489322,1,24
1462490522,3,38
1462491722,3,25
1462492922,2,60
1462494122,24,25
1462495322,5,0
1462496522,3,55
1462497721,51,86
1462498922,13,6
1462500122,3,0
1462501321,46,8
1462502522,15,8
1462503723,3,13
1462504922,54,13
1462506122,3,9
1462507322,6,26
1462508522,15,12
1462509722,1,16
1462510922,3,36
1462512121,21,19
1462513322,2,6
1462514521,2,0
1462515722,16,65
1462516922,7,7
1462518122,11,7
1462519322,6,24
1462520522,17,20
1462521722,3,11
1462522922,3,20
1462524122,5,0
1462525321,6,33
1462526522,6,7
1462527722,4,11
1462528922,13,55
1462530122,15,5
1462531322,3,16
1462532522,5,26
1462533722,25,65
1462534922,5,65
1462536122,7,58
1462537322,22,4
1462538522,7,40
1462539721,9,13
1462540922,6,21
1462542122,7,0
1462543322,45,37
1462544522,12,29
1462545722,16,33
1462546922,3,36
1462548122,19,8
1462549322,6,34
1462550522,3,0
1462551722,1,4
1462552922,8,18
1462554122,14,11
1462555322,5,34
1462556522,1,15
1462557722,11,11
1462558922,19,40
1462560121,33,14
1462561322,5,19
1462562522,7,14
1462563722,0,11
1462564922,2,13
1462566122,21,31
1462567322,6,8
1462568522,8,25
1462569722,14,52
1462570922,6,14
1462572722,24,11
1462573922,9,0
1462575122,1,31
1462576321,4,0
1462577521,27,16
1462578722,5,55
1462579922,3,12
1462581122,74,1
1462582322,5,23
1462583522,15,4
1462584722,2,24
1462584781,0,1
1462585922,1,19
1462587122,10,21
1462588322,15,17
1462589521,0,11
1462590723,11,32
1462591922,71,23
1462593121,19,15
1462594321,28,18
1462595521,6,63
1462596722,10,17
1462597922,2,6
1462599122,8,11
1462599181,0,1
1462600322,17,23
1462601522,13,25
1462602722,5,9
1462602961,2,8
1462603922,4,9
1462605122,19,14
1462605722,7,10
1462606323,5,0
1462606381,1,0
1462607521,18,6
1462608122,5,19
1462608722,29,3
1462609322,2,3
1462610522,2,30
1462611121,2,0
1462611722,0,13
1462612922,3,6
1462614122,1,1
1462614722,5,0
1462615321,4,15
1462616522,3,17
1462617121,1,0
1462617723,1,14
1462618922,21,18
1462619522,9,14
1462620121,0,47
1462620695,6,5
1462622521,1,9
1462623721,20,1
1462624321,1,0
1462624922,3,15
1462625521,3,15
1462626122,2,40
1462627322,1,74
1462628522,2,22
1462629121,21,0
1462629721,23,64
1462630322,11,3
1462630922,0,19
1462632121,1,19
1462633322,0,4
1462634522,17,4
1462635181,6,0
1462635722,0,9
1462636321,1,4
1462636922,18,2
1462637521,2,6
1462638121,1,0
1462638721,2,16
1462639323,1,2
1462640522,7,11
1462641122,13,16
1462641722,1,0
1462642322,9,20
1462642921,2,12
1462643522,7,0
1462644121,9,17
1462644722,9,0
1462645322,8,0
1462645922,3,12
1462646522,11,25
1462647121,6,0
1462647722,3,4
1462648322,6,2
1462648922,12,0
1462649522,5,2
1462649581,2,17
1462650122,9,0
1462650722,1,22
1462651922,11,16
1462652522,6,0
1462653721,8,29
