DateTime,Entries,UniqueIPs
1460021320,4234,4234
1460023234,4297,4297
1460025168,4350,4350
1460027082,4440,4440
1460030930,4612,4612
1460032838,4594,4594
1460034794,5194,5194
1460036669,5198,5198
1460038604,5198,5198
1460041275,5209,5209
1460043174,5234,5234
1460045096,5264,5264
1460047005,5308,5308
1460050842,5334,5334
1460052779,5348,5348
1460054670,5355,5355
1460056605,5375,5375
1460058520,5379,5379
1460060442,5391,5391
1460062352,5390,5390
1460064299,5390,5390
1460066200,5390,5390
1460068136,5394,5394
1460070093,5408,5408
1460071963,5409,5409
1460073878,1335,1335
1460077988,3926,3926
1460079865,3841,3841
1460081820,3804,3804
1460083719,3775,3775
1460085654,3722,3722
1460087566,3614,3614
1460089468,3527,3527
1460091405,3471,3471
1460093316,3388,3388
1460095264,3309,3309
1460097165,3152,3152
1460101267,3059,3059
1460103174,2950,2950
1460105084,2893,2893
1460107012,2821,2821
1460108939,2787,2787
1460110851,2747,2747
1460112786,2700,2700
1460114687,2625,2625
1460116613,2590,2590
1460118515,2546,2546
1460120532,2482,2482
1460122390,4712,4712
1460124343,4595,4595
1460126238,4494,4494
1460128194,4415,4415
1460130072,4309,4309
1460132241,4185,4185
1460134150,4120,4120
1460136061,4038,4038
1460137987,3973,3973
1460139894,3954,3954
1460141955,3859,3859
1460143985,3826,3826
1460145929,3796,3796
1460147830,3722,3722
1460149765,3691,3691
1460151679,3659,3659
1460153608,3629,3629
1460155501,3609,3609
1460157444,3551,3551
1460159350,3512,3512
1460161279,1101,1101
1460163264,1101,1101
1460165094,2303,2303
1460167025,2322,2322
1460168947,2361,2361
1460170873,2318,2318
1460172790,2306,2306
1460174695,2206,2206
1460176881,2206,2206
1460178846,2229,2229
1460180834,2274,2274
1460182855,2300,2300
1460184859,2324,2324
1460186686,2362,2362
1460188613,2422,2422
1460190535,2483,2483
1460192502,2511,2511
1460194399,2512,2512
1460196307,2514,2514
1460198890,2530,2530
1460200841,2555,2555
1460202755,2561,2561
1460204675,2597,2597
1460206601,2596,2596
1460208523,3439,3439
1460210779,3479,3479
1460212585,3463,3463
1460214511,3445,3445
1460216431,3390,3390
1460218361,3351,3351
1460220341,3385,3385
1460222215,3385,3385
1460224155,3423,3423
1460226061,3442,3442
1460228004,3426,3426
1460229881,3430,3430
1460231805,3435,3435
1460233724,3425,3425
1460235696,3434,3434
1460237583,3393,3393
1460241407,3401,3401
1460243343,3374,3374
1460245245,3362,3362
1460247199,1002,1002
1460249080,969,969
1460251048,2363,2363
1460252936,2399,2399
1460254877,2416,2416
1460256779,2418,2418
1460258680,2413,2413
1460260607,2384,2384
1460262525,2344,2344
1460264495,2375,2375
1460266394,2387,2387
1460268280,2419,2419
1460270211,2402,2402
1460272134,2431,2431
1460274296,2420,2420
1460276632,2416,2416
1460278597,2396,2396
1460280516,2406,2406
1460282461,2384,2384
1460284373,2338,2338
1460287562,2349,2349
1460289420,2385,2385
1460291355,2391,2391
1460293296,2359,2359
1460295211,3260,3260
1460297100,3255,3255
1460299038,3274,3274
1460300962,3264,3264
1460302877,3255,3255
1460304807,3252,3252
1460306713,3279,3279
1460308628,3279,3279
1460310557,3266,3266
1460312477,3251,3251
1460314395,3235,3235
1460316318,3224,3224
1460318248,3221,3221
1460320190,3220,3220
1460322120,3198,3198
1460324144,3188,3188
1460326144,3081,3081
1460328054,3070,3070
1460329991,3052,3052
1460331894,3051,3051
1460333952,913,913
1460336039,864,864
1460338249,2100,2100
1460340080,2113,2113
1460342017,2144,2144
1460343896,2136,2136
1460345837,2124,2124
1460348035,2010,2010
1460350073,2038,2038
1460352110,2049,2049
1460354127,2071,2071
1460356134,2076,2076
1460358082,2094,2094
1460360047,2154,2154
1460361978,2144,2144
1460363845,2153,2153
1460365797,2145,2145
1460367720,2159,2159
1460369596,2148,2148
1460371498,2129,2129
1460373506,2127,2127
1460375392,2108,2108
1460377323,2091,2091
1460379202,2066,2066
1460381340,2919,2919
1460383281,2916,2916
1460385213,2920,2920
1460387100,2923,2923
1460389178,2907,2907
1460391212,2870,2870
1460393094,2863,2863
1460395034,2862,2862
1460396967,2874,2874
1460398848,2876,2876
1460400768,2881,2881
1460402692,2900,2900
1460404644,2882,2882
1460406557,2870,2870
1460410587,2832,2832
1460412506,2832,2832
