DateTime,AddedIPs,RemovedIPs
1460997321,77,63
1461000921,43,48
1461004521,55,49
1461008121,35,62
1461011721,38,42
1461015321,29,40
1461018920,30,36
1461022520,21,51
1461026120,20,38
1461029720,33,38
1461033321,37,44
1461036921,33,48
1461040521,31,60
1461044121,23,78
1461047721,23,73
1461051321,33,60
1461054920,47,52
1461058521,49,54
1461062120,57,47
1461065720,54,37
1461069320,252,52
1461072920,59,39
1461076519,62,40
1461080120,63,40
1461083720,61,28
1461087320,52,29
1461090919,58,32
1461094519,37,28
1461098119,37,20
1461103519,46,55
1461107118,30,31
1461110719,33,32
1461114318,29,22
1461117918,28,30
1461121518,23,40
1461125118,35,27
1461128718,28,32
1461132318,27,33
1461135918,30,34
1461139518,42,21
1461143118,52,45
1461162017,301,282
1461171016,161,166
1461174617,58,45
1461178217,60,54
1461181816,47,32
1461185416,43,39
1461189016,28,31
1461192616,43,25
1461196216,47,21
1461199816,40,20
1461203416,52,40
1461207016,47,34
1461210617,38,29
1461214216,55,32
1461217817,53,21
1461221416,49,29
1461225016,47,30
1461228616,46,49
1461232216,34,53
1461235816,37,52
1461239416,112,83
1461243915,45,247
1461247516,50,52
1461251115,58,58
1461257416,85,111
1461261015,59,56
1461265515,44,65
1461269115,36,32
1461272715,31,41
1461276314,29,26
1461279915,39,30
1461283515,40,33
1461287114,27,30
1461290714,27,27
1461294314,28,24
1461297914,29,34
1461301514,36,29
1461305114,46,25
1461308714,36,31
1461312314,50,38
1461315913,41,51
1461319513,56,56
1461323113,34,61
1461326713,59,48
1461330313,95,57
1461334813,70,85
1461338413,57,61
1461343813,88,101
1461347413,69,57
1461351012,50,62
1461354612,53,48
1461358212,61,41
1461361812,66,31
1461365412,46,39
1461369012,100,47
1461372612,53,41
1461376212,60,51
1461379812,74,46
1461383412,68,39
1461387012,83,56
1461390612,88,49
1461394212,84,48
1461397812,117,52
1461401412,79,43
1461405012,108,35
1461408612,107,38
1461412212,92,113
1461415812,78,38
1461419412,91,38
1461423011,98,62
1461426611,62,53
1461430211,74,36
1461433811,81,70
1461437411,89,34
1461441011,55,40
1461444611,60,29
1461448211,57,30
1461451812,54,30
1461455412,38,48
1461459012,48,28
1461462612,49,29
1461466212,45,25
1461469812,46,30
1461473412,46,31
1461477013,57,42
1461480613,47,42
1461484213,62,42
1461487813,36,52
1461491413,106,56
1461495013,204,35
1461498613,217,46
1461502213,251,95
1461505813,247,64
1461509414,215,44
1461513013,165,69
1461516613,26,55
1461520213,30,69
1461523813,38,54
1461527413,30,48
1461531013,41,60
1461534613,43,69
1461538213,32,45
1461541812,25,96
1461545413,21,58
1461549013,25,52
1461552613,38,77
1461556213,28,68
1461559813,31,82
1461563414,30,91
1461567013,44,85
1461570613,50,113
1461574213,44,76
1461577813,51,111
1461581414,71,110
1461585014,62,97
1461588614,60,73
1461592214,80,91
1461595814,72,101
1461599414,74,62
1461603014,64,70
1461606614,58,78
1461610214,55,93
1461613814,40,59
1461617415,48,61
1461621015,40,55
1461624614,36,55
1461630014,46,67
1461633614,30,43
1461637214,39,45
1461640814,37,47
1461644414,32,50
1461648013,37,52
1461651614,42,44
1461655214,36,60
1461658814,60,52
1461662414,57,35
1461666014,54,163
1461669614,52,212
1461673214,38,237
1461676815,66,245
1461680415,57,228
1461684015,47,218
1461687615,68,92
1461691215,51,27
1461694815,44,41
1461698415,50,35
1461702015,66,32
1461705615,45,47
1461709215,53,33
1461712815,23,30
1461716416,47,26
1461720015,35,19
1461723615,40,29
1461727215,29,38
1461730815,45,27
1461734415,41,32
1461738015,32,38
1461741615,46,42
1461745215,58,48
1461748815,58,44
1461752415,97,58
1461756015,204,67
1461759615,419,72
1461763215,349,55
1461766815,512,89
1461770415,332,62
1461774015,333,77
1461777615,640,55
1461781214,726,62
1461784814,90,51
1461788414,101,42
1461792014,183,38
1461795614,190,50
1461799214,138,25
1461802814,137,30
1461806414,127,33
1461810014,154,41
1461813614,152,35
1461817214,183,30
1461820814,241,38
1461824413,46,37
1461828013,48,41
1461831613,29,49
1461835213,101,63
1461838813,555,57
1461842413,646,55
1461846013,843,38
1461849613,687,60
1461853213,865,60
1461856813,928,51
1461860413,372,62
1461864013,121,53
1461867613,157,44
1461871213,66,51
1461874813,182,66
1461878413,188,45
1461882013,149,51
1461885613,138,27
1461889212,106,47
1461892812,126,34
1461896412,125,41
1461900013,111,24
1461903613,132,48
1461907213,186,42
1461910813,31,29
1461914413,37,43
1461918013,80,58
1461921613,68,53
1461925213,63,103
1461928813,269,163
1461932414,350,415
1461936014,523,374
1461939613,301,463
1461943213,130,393
1461946814,441,309
1461950414,139,581
1461954014,202,818
1461957614,571,82
1461961214,380,112
1461964814,101,170
1461968414,57,193
1461972014,52,140
1461975614,24,137
1461979214,25,131
1461982814,24,152
1461986414,17,144
1461990014,26,180
1461993613,31,240
1461997213,24,67
1462000813,33,48
1462004413,28,29
1462008013,27,71
1462011613,45,552
1462015213,53,602
1462018813,98,907
1462022412,80,661
1462026012,55,847
1462029612,52,931
1462033212,30,421
1462036812,30,113
1462040412,45,162
1462044011,24,70
1462047611,27,167
1462051211,34,195
1462054811,32,154
1462058412,38,131
1462062011,25,117
1462065611,24,120
1462069211,18,126
1462072811,15,108
1462076410,47,130
1462080010,45,196
1462083610,61,33
1462087210,61,35
1462090810,43,71
1462094410,29,77
1462098010,51,54
1462101610,35,246
1462105210,35,352
1462108809,34,508
1462112409,33,334
1462116009,29,144
1462119609,32,437
1462123209,26,142
1462126809,35,176
1462130408,40,570
1462134008,88,408
1462137608,78,90
1462141208,39,66
1462144808,48,50
1462148408,31,31
1462152008,30,25
1462155608,26,22
1462159207,28,18
1462162807,20,26
1462166407,19,31
1462170007,29,23
1462173608,30,31
1462177207,30,31
1462180807,25,24
1462184407,42,45
1462188006,39,50
1462191607,35,91
1462195206,48,86
1462198807,102,56
1462202407,79,54
1462206007,52,32
1462209607,101,33
1462220407,115,95
1462224007,27,32
1462227607,28,34
1462231208,29,36
1462234807,14,29
1462238407,27,22
1462242007,30,16
1462245607,33,16
1462249207,23,48
1462252807,40,42
1462256407,57,61
1462260008,65,60
1462263607,106,44
1462267207,169,30
1462270807,104,49
1462274407,83,37
1462278007,251,33
1462281607,264,35
1462285208,320,34
1462288808,298,25
1462292408,272,28
1462296008,598,32
1462299607,311,34
1462303208,204,37
1462306807,118,88
1462310407,153,81
1462314006,151,43
1462317607,148,49
1462321207,169,29
1462324807,156,26
1462328407,208,30
1462332007,228,26
1462335607,311,22
1462339207,421,20
1462342806,393,26
1462346406,251,32
1462350006,31,31
1462353606,31,22
1462357206,57,44
1462360805,123,40
1462364405,223,32
1462368005,152,42
1462371605,112,105
1462375206,354,79
1462378805,515,57
1462382405,383,90
1462386005,219,51
1462389605,162,28
1462393205,60,47
1462396805,184,28
1462400405,246,25
1462404004,184,30
1462407604,211,16
1462411204,181,26
1462414804,76,31
1462418404,91,29
1462422004,107,27
1462425604,148,36
1462429204,190,54
1462432804,76,64
1462436404,55,101
1462440004,57,176
1462443604,77,107
1462447204,92,88
1462450804,84,217
1462454404,248,275
1462458004,722,319
1462461603,503,308
1462465203,609,258
1462468803,329,560
1462472403,284,357
1462476003,196,203
1462479603,127,132
1462483203,48,154
1462486803,55,152
1462490402,191,142
1462494002,39,158
1462497603,170,165
1462501202,210,197
1462504802,126,227
1462508402,214,307
1462512002,254,403
1462515602,211,406
1462519202,70,284
1462522802,63,32
1462526402,117,29
1462530002,171,56
1462533602,323,115
1462537203,236,218
1462540802,214,157
1462544401,278,96
1462548001,298,348
1462551601,232,506
1462555201,48,397
1462558801,30,244
1462562401,40,155
1462566001,37,66
1462569601,31,175
1462573201,23,245
1462576801,27,172
1462580402,47,221
1462584002,18,183
1462587602,32,82
1462591202,46,86
1462594802,42,110
1462598402,52,142
1462602002,70,194
1462605602,52,84
1462609202,43,53
1462612802,44,53
1462616402,67,73
1462620002,80,101
1462623601,91,85
1462627202,73,202
1462630802,61,721
1462634402,68,528
1462638002,70,562
1462641602,89,379
1462645202,68,290
1462648803,83,193
1462652402,94,137
1462656003,78,52
1462659603,75,46
1462663203,63,191
1462666803,55,46
1462670403,49,148
1462674003,60,223
1462677603,35,127
1462681203,37,212
1462684803,49,240
1462688404,36,233
1462692004,70,66
1462695603,62,67
1462699203,47,104
1462702803,58,164
1462706403,43,330
1462710003,56,229
1462713603,57,214
1462717203,73,274
1462720803,76,302
1462724402,84,252
1462728002,95,51
1462731602,93,28
1462735202,65,43
1462738802,53,34
1462742402,54,32
1462746002,42,26
1462749603,45,27
1462753202,38,50
1462756802,30,15
1462760402,51,33
1462764003,44,43
1462767601,48,42
1462771201,56,51
1462774801,60,73
1462778402,50,53
1462782001,59,43
1462785601,57,44
1462789201,59,60
1462792801,83,82
1462796401,105,97
1462800001,110,72
1462803601,89,56
1462807201,68,74
1462810801,62,64
1462814401,52,89
1462818000,58,62
