DateTime,Entries,UniqueIPs
1460964922,2283,2283
1460968522,2231,2231
1460972122,2205,2205
1460975722,2197,2197
1460979322,2172,2172
1460982922,2137,2137
1460986521,2117,2117
1460990121,2107,2107
1460993722,2100,2100
1460997321,2114,2114
1461000921,2109,2109
1461004521,2115,2115
1461008121,2088,2088
1461011721,2084,2084
1461015321,2073,2073
1461018920,2067,2067
1461022520,2037,2037
1461026120,2019,2019
1461029720,2014,2014
1461033321,2007,2007
1461036921,1992,1992
1461040521,1963,1963
1461044121,1908,1908
1461047721,1858,1858
1461051321,1831,1831
1461054920,1826,1826
1461058521,1821,1821
1461062120,1831,1831
1461065720,1848,1848
1461069320,2048,2048
1461072920,2068,2068
1461076519,2090,2090
1461080120,2113,2113
1461083720,2146,2146
1461087320,2169,2169
1461090919,2195,2195
1461094519,2204,2204
1461098119,2221,2221
1461103519,2212,2212
1461107118,2211,2211
1461110719,2212,2212
1461114318,2219,2219
1461117918,2217,2217
1461121518,2200,2200
1461125118,2208,2208
1461128718,2204,2204
1461132318,2198,2198
1461135918,2194,2194
1461139518,2215,2215
1461143118,2222,2222
1461162017,2241,2241
1461171016,2236,2236
1461174617,2249,2249
1461178217,2255,2255
1461181816,2270,2270
1461185416,2274,2274
1461189016,2271,2271
1461192616,2289,2289
1461196216,2315,2315
1461199816,2335,2335
1461203416,2347,2347
1461207016,2360,2360
1461210617,2369,2369
1461214216,2392,2392
1461217817,2424,2424
1461221416,2444,2444
1461225016,2461,2461
1461228616,2458,2458
1461232216,2439,2439
1461235816,2424,2424
1461239416,2453,2453
1461243915,2251,2251
1461247516,2249,2249
1461251115,2249,2249
1461257416,2223,2223
1461261015,2226,2226
1461265515,2205,2205
1461269115,2209,2209
1461272715,2199,2199
1461276314,2202,2202
1461279915,2211,2211
1461283515,2218,2218
1461287114,2215,2215
1461290714,2215,2215
1461294314,2219,2219
1461297914,2214,2214
1461301514,2221,2221
1461305114,2242,2242
1461308714,2247,2247
