DateTime,Entries,UniqueIPs
1462353303,39995,39995
1462354204,39995,39995
1462355104,39994,39994
1462356003,39993,39993
1462356903,39993,39993
1462357803,39992,39992
1462358704,39991,39991
1462359603,39990,39990
1462360503,39988,39988
1462361403,39987,39987
1462362302,39986,39986
1462363202,39985,39985
1462364102,38629,38629
1462365002,36430,36430
1462365902,35276,35276
1462366802,32302,32302
1462367702,29803,29803
1462368602,30279,30279
1462369502,30516,30516
1462370403,30465,30465
1462371303,35695,35695
1462372203,39983,39983
1462373103,39985,39985
1462374003,39986,39986
1462374903,39994,39994
1462375803,39999,39999
1462376703,40000,40000
1462377605,40000,40000
1462378503,40000,40000
1462379403,40000,40000
1462380304,40000,40000
1462381205,40000,40000
1462382105,40000,40000
1462383005,39999,39999
1462383906,39989,39989
1462384807,39982,39982
1462385706,39975,39975
1462386607,39972,39972
1462387507,39970,39970
1462388407,39970,39970
1462389307,39970,39970
1462390207,39970,39970
1462391108,39968,39968
1462392007,39968,39968
1462392907,39972,39972
1462393807,39978,39978
1462394707,39986,39986
1462395608,39989,39989
1462396508,39989,39989
1462397409,39985,39985
1462398309,39581,39581
1462399208,39319,39319
1462400108,39152,39152
1462401007,39034,39034
1462401909,38957,38957
1462402805,38841,38841
1462403704,38708,38708
1462404605,38609,38609
1462405507,38510,38510
1462406405,38436,38436
1462407303,38355,38355
1462408206,38371,38371
1462409104,38415,38415
1462410007,38454,38454
1462410907,38532,38532
1462411807,38610,38610
1462412704,38677,38677
1462413607,38720,38720
1462414507,38747,38747
1462415407,38762,38762
1462416307,38803,38803
1462417207,38870,38870
1462418105,38928,38928
1462419004,38991,38991
1462419905,39059,39059
1462420807,39123,39123
1462421705,39223,39223
1462422608,39336,39336
1462423509,39393,39393
1462424407,39475,39475
1462425309,39546,39546
1462426208,39584,39584
1462427109,39588,39588
1462428008,39568,39568
1462428907,39534,39534
1462429809,39541,39541
1462430708,39466,39466
1462431608,39419,39419
1462432504,39344,39344
1462433404,39286,39286
1462434308,39224,39224
1462435204,39167,39167
1462436105,39075,39075
1462437008,39013,39013
1462437904,38951,38951
1462438803,38904,38904
1462439705,38845,38845
1462440606,38796,38796
1462441504,38733,38733
1462442405,38680,38680
1462443307,38609,38609
1462444203,38538,38538
1462445106,38450,38450
1462446004,38396,38396
1462446905,38330,38330
1462447806,38246,38246
1462448707,38266,38266
1462449607,38867,38867
1462450507,39100,39100
1462451407,39168,39168
1462452307,39681,39681
1462453206,39589,39589
1462454107,39535,39535
1462455007,39499,39499
1462455908,39642,39642
1462456809,39790,39790
1462457710,39776,39776
1462458610,39764,39764
1462459509,39702,39702
1462460409,39624,39624
1462461310,39592,39592
1462462210,39552,39552
1462463111,39524,39524
1462464011,39501,39501
1462464911,39425,39425
1462465812,39411,39411
1462466710,39408,39408
1462467610,39398,39398
1462468512,39331,39331
1462469411,39306,39306
1462470311,39279,39279
1462471211,39251,39251
1462472110,39226,39226
1462473009,39198,39198
1462473910,39111,39111
1462474810,39057,39057
1462475711,39002,39002
1462476609,38914,38914
1462477509,38851,38851
1462478409,38749,38749
1462479309,38670,38670
1462480210,38661,38661
1462481105,38680,38680
1462482010,38702,38702
1462482909,38575,38575
1462483809,38473,38473
1462484710,38269,38269
1462485609,37455,37455
1462486509,35865,35865
1462487409,34138,34138
1462488306,32011,32011
1462489214,30431,30431
1462490110,28763,28763
1462491009,27567,27567
1462491910,26447,26447
1462492809,25341,25341
1462493710,24534,24534
1462494609,23638,23638
1462495510,22923,22923
1462496409,26631,26631
1462497310,29220,29220
1462498212,31770,31770
1462499110,34510,34510
1462500011,36523,36523
1462500910,36238,36238
1462501810,35952,35952
1462502710,35672,35672
1462503609,35473,35473
1462504509,35332,35332
1462505409,35309,35309
1462506311,35296,35296
1462507209,35351,35351
1462508110,35735,35735
1462509008,36372,36372
1462509909,36823,36823
1462510810,37049,37049
1462511710,37471,37471
1462512610,37869,37869
1462513510,38154,38154
1462514407,38277,38277
1462515309,38232,38232
1462516209,38218,38218
1462517106,38156,38156
1462518010,38091,38091
1462518908,38032,38032
1462519808,37862,37862
