DateTime,AddedIPs,RemovedIPs
1455721807,48,38
1455732615,44,35
1455747009,44,51
1455761411,41,56
1455775809,59,52
1455790292,62,51
1455804711,49,48
1455819012,63,57
1455833418,73,73
1455847805,78,96
1455862205,68,55
1455873132,47,29
1455887534,52,59
1455901818,57,46
1455916212,43,52
1455930610,31,56
1455945004,57,57
1455955936,36,34
1455970334,54,61
1455984610,44,64
1455999005,59,67
1456013410,44,59
1456027808,50,55
1456042331,60,53
1456056732,56,50
1456071021,50,40
1456085406,51,34
1456099812,66,52
1456114214,42,69
1456128729,62,60
1456143215,57,46
1456157414,71,72
1456171815,73,57
1456186215,52,61
1456200617,48,58
1456215129,60,54
1456229545,59,40
1456243812,59,62
1456258221,68,60
1456272613,58,44
1456287019,62,48
1456301532,83,75
1456315932,70,81
1456330212,58,64
1456344610,72,53
1456359013,51,52
1456373414,76,59
1456387924,66,67
1456402357,79,58
1456416611,52,65
1456431000,53,60
1456445415,71,83
1456459812,60,67
1456470974,47,53
1456485116,55,85
1456499470,70,59
1456513823,63,48
1456528215,59,65
1456542622,85,69
1456557105,66,60
1456571518,67,54
1456585813,66,61
1456600225,64,79
1456614615,74,58
1456625415,39,51
1456639811,67,64
1456650733,45,51
1456665134,62,61
1456679423,50,55
1456693823,57,78
1456708204,64,59
1456722615,69,43
1456737140,63,69
1456751540,62,67
1456765816,69,76
1456780216,68,51
1456794613,84,71
1456809020,89,59
1456823539,61,62
1456837914,56,49
1456852220,71,56
1456866607,59,68
1456881021,67,65
1456895421,67,77
1456909924,70,57
1456924337,75,61
1456938609,60,79
1456953017,64,74
1456967416,62,77
1456981804,51,60
1456996340,52,67
1457010720,67,70
1457025020,115,54
1457039404,62,66
1457053806,59,60
1457068204,72,58
1457082729,69,85
1457097137,56,74
1457111408,59,69
1457125818,50,81
1457140229,68,56
1457154601,62,73
1457169146,90,74
1457183544,63,120
1457197818,65,57
1457211101,55,50
1457223013,49,58
1457237426,49,69
1457251945,55,55
1457263779,62,53
1457277016,65,44
1457291457,73,66
1457305810,47,61
1457320205,67,51
1457331004,46,47
1457343289,45,54
1457356337,61,65
1457370608,65,56
1457385009,70,55
1457399413,73,58
1457413807,74,69
1457428316,51,74
1457442736,63,101
1457457020,43,50
1457471421,55,70
1457485824,51,66
1457500227,67,67
1457511142,57,45
1457525528,67,64
1457539804,50,64
1457554221,58,77
1457568607,59,71
1457583010,54,52
1457593916,39,46
1457608307,50,38
1457622633,55,48
1457637100,49,45
1457651427,44,66
1457665817,38,55
1457680321,50,72
1457694725,66,44
1457709022,38,51
1457723450,50,39
1457737821,42,68
1457752208,43,50
1457766714,45,59
1457781120,55,45
1457795499,48,51
1457809835,42,36
1457824345,35,48
1457838601,39,43
1457853085,29,53
1457867519,53,41
1457881810,45,41
1457896213,41,50
1457910618,42,41
1457925019,55,52
1457939530,55,51
1457953954,46,46
1457968218,48,46
1457982611,42,35
1457997014,42,41
1458011412,46,27
1458025937,46,48
1458040338,35,48
1458054618,44,47
1458069019,38,36
1458083410,34,59
1458097808,38,49
1458112339,47,48
1458126735,57,51
1458141027,54,45
1458155425,80,29
1458169841,54,50
1458184217,45,46
1458198733,67,34
1458213137,58,37
1458227414,55,41
1458241823,62,24
1458256214,63,42
1458270618,54,49
1458285119,36,52
1458299540,40,55
1458313820,32,47
1458328213,37,57
1458342603,45,44
1458357024,44,75
1458371517,40,69
1458385938,48,65
1458400218,40,52
1458414618,53,48
1458429024,53,58
1458443420,59,32
1458454327,41,35
1458468726,41,39
1458483014,51,47
1458497422,42,43
1458511821,55,43
1458526216,41,41
1458540726,50,56
1458555107,55,31
1458569415,49,51
1458583820,59,57
1458598222,45,63
1458612613,49,63
1458627121,46,40
1458641724,48,51
1458655813,52,46
1458670355,85,52
1458684625,63,44
1458699008,55,49
1458713503,44,51
1458727962,56,51
1458742216,50,52
1458753009,44,31
1458767419,55,51
1458781821,44,50
1458796209,44,68
1458810731,38,52
1458825021,57,57
1458839423,38,50
1458853827,39,50
1458868209,57,44
1458882621,57,56
1458897129,83,52
1458911426,56,63
1458925834,47,56
1458940228,43,55
1458954637,54,44
1458969041,41,58
1458983565,40,64
1458997839,44,48
1459012225,53,45
1459026623,43,66
1459041023,25,45
1459055433,51,81
1459069965,54,58
1459084236,34,56
1459098641,77,50
1459113036,30,49
1459127425,42,42
1459141839,33,39
1459156361,50,48
1459170628,41,48
1459185030,61,40
1459199435,37,36
1459213844,34,52
1459228233,53,51
1459242750,49,39
1459257022,48,47
1459271427,38,42
1459282290,34,31
1459296630,54,31
1459311030,51,47
1459325548,60,39
1459339988,52,60
1459354240,46,53
1459368637,34,34
1459383037,28,47
1459397434,53,48
1459408364,28,33
1459420345,79,44
1459433479,51,37
1459448107,53,53
1459462225,57,39
1459476639,53,61
1459491315,43,44
1459501946,29,42
1459515039,39,38
1459527034,34,31
1459541441,56,42
1459555829,52,50
1459570216,53,47
1459584731,47,60
1459599137,47,47
1459613416,46,53
1459627826,39,51
1459642213,53,47
1459656625,50,45
1459671139,43,45
1459685535,41,40
1459699812,32,67
1459714228,47,52
1459725466,37,38
1459739425,37,45
1459753926,39,47
1459765591,42,37
1459779055,50,45
1459793430,54,45
1459807818,52,52
1459822258,33,38
1459836854,46,55
1459851114,61,54
1459865718,46,45
1459879822,40,37
1459894223,45,40
1459908752,37,36
1459923117,38,50
1459937514,41,55
1459951824,46,54
1459966227,51,38
1459980635,35,40
1459995053,45,41
