DateTime,AddedIPs,RemovedIPs
1455971070,16,13
1455985228,5,9
1455999626,9,17
1456014027,7,20
1456028434,18,16
1456039425,20,5
1456053833,16,17
1456068043,21,14
1456082466,7,20
1456093245,5,10
1456107653,6,6
1456122029,12,18
1456133088,3,7
1456144041,9,3
1456158027,24,10
1456172437,15,15
1456186813,27,20
1456201249,18,12
1456212255,1,26
1456223077,15,11
1456237253,12,4
1456251641,14,7
1456266057,14,3
1456280463,18,12
1456294860,2,12
1456305890,6,17
1456320291,10,15
1456334418,7,35
1456348840,28,12
1456363227,19,5
1456377639,22,12
1456388678,14,10
1456403098,9,14
1456417230,10,15
1456431625,17,17
1456446038,18,2
1456460426,15,11
1456471732,7,7
1456485844,8,8
1456500082,13,28
1456514447,25,15
1456528822,15,21
1456543245,12,15
1456554054,15,8
1456565088,25,7
1456579475,16,19
1456593611,16,22
1456608047,10,15
1456622446,9,10
1456636841,15,6
1456647875,2,7
1456662283,16,24
1456676436,12,15
1456690826,20,18
1456705238,16,12
1456719635,18,25
1456730628,5,13
1456745031,11,17
1456759664,21,14
1456774007,11,10
1456788034,16,14
1456802431,11,4
1456817019,32,17
1456831428,22,12
1456845639,35,21
1456860192,47,16
1456874413,31,20
1456888828,26,4
1456899667,7,15
1456910696,11,20
1456925073,35,8
1456939223,22,18
1456953632,22,14
1456968027,12,32
1456982402,27,21
1456993418,18,23
1457007854,13,38
1457022025,17,38
1457036424,27,29
1457050801,14,8
1457065205,19,23
1457076344,5,28
1457090602,4,21
1457104861,5,23
1457119268,5,12
1457133656,5,28
1457148104,3,24
1457162657,2,9
1457176997,6,25
1457191241,13,26
1457202020,9,11
1457216427,7,19
1457230821,5,7
1457245255,5,4
1457259838,6,5
1457273442,11,6
1457284852,3,3
1457299223,3,3
1457313633,3,2
1457328032,12,5
1457336633,21,5
1457349843,31,15
1457360736,32,7
1457374844,53,3
1457389278,32,7
1457403662,14,4
1457418053,21,6
1457429035,8,9
1457443466,13,2
1457457644,31,3
1457472049,35,7
1457486443,10,22
1457500846,15,37
1457511898,18,33
1457526268,16,58
1457540409,34,29
1457554848,16,17
1457569211,15,21
1457583611,8,9
1457594655,1,11
1457609008,13,32
1457623245,21,35
1457637705,13,10
1457652037,8,14
1457666426,15,19
1457677283,2,15
1457688298,13,23
1457702694,15,26
1457716854,33,15
1457734875,12,8
1457749268,7,0
1457763660,4,18
1457778253,17,20
1457792419,33,9
1457806869,46,11
1457821236,10,13
1457835643,12,6
1457850058,3,19
1457861097,2,22
1457875589,2,24
1457889660,7,6
1457904037,7,8
1457918439,2,3
1457932855,8,24
1457943855,4,27
1457958305,25,46
1457972416,17,10
1457986837,19,12
1458001214,19,3
1458015636,31,2
1458030253,27,2
1458044653,17,7
1458058849,18,7
1458073247,22,2
1458087620,6,8
1458102014,3,6
1458113099,6,23
1458127495,5,16
1458141647,16,19
1458156062,21,18
1458170453,22,30
1458184839,10,26
1458195882,12,17
1458210272,4,13
1458224597,7,26
1458238837,21,8
1458253218,18,5
1458267645,14,6
1458282221,16,5
1458296634,32,16
1458310839,21,20
1458325235,12,22
1458339734,16,9
1458354039,14,12
1458364883,10,5
1458375839,4,4
1458390303,9,21
1458404452,25,18
1458418855,16,13
1458433254,8,13
1458447639,13,31
1458462258,15,23
1458476703,15,18
1458490817,13,16
1458505247,25,13
1458519635,26,12
1458534054,3,4
1458545079,8,9
1458559459,26,25
1458573638,12,15
1458588051,5,7
1458602443,15,10
1458616835,20,15
1458627834,25,13
1458642467,25,8
1458656425,55,23
1458670960,65,24
1458685250,40,10
1458699620,49,8
1458714229,59,25
1458728680,22,13
1458742824,39,7
1458753643,41,12
1458768064,22,20
1458782465,12,25
1458796843,6,22
1458807862,4,46
1458822306,5,71
1458836446,13,35
1458850814,1,48
1458864766,5,52
1458876047,5,28
1458887017,2,20
1458897853,6,35
1458912042,13,48
1458926482,25,22
1458940886,15,8
1458955327,5,9
1458969704,5,3
1458980751,26,7
1458995103,8,11
1459009252,8,1
1459023650,5,7
1459038052,3,4
1459052472,1,7
1459063508,1,12
1459077951,15,21
1459092072,37,14
1459106486,19,7
1459120877,10,5
1459135271,5,30
1459146305,3,6
1459160676,4,9
1459174960,1,5
1459185673,3,2
1459200090,16,4
1459214519,10,2
1459228912,21,11
1459243465,1,34
1459257701,34,22
1459272059,39,13
1459282964,6,7
1459297254,12,2
1459311660,18,3
1459322714,13,3
1459337111,25,2
1459351266,9,14
1459365685,12,12
1459380064,9,18
1459394450,8,4
1459405658,4,18
1459416304,3,24
1459424578,9,27
1459437690,8,7
1459452077,69,11
1459466479,11,15
1459480847,2,18
1459492130,4,18
1459502702,5,6
1459517164,28,13
1459531310,27,9
1459545711,8,5
1459560096,9,8
1459574431,19,7
1459589036,7,12
1459603238,11,54
1459617627,12,24
1459632063,3,4
1459646457,5,4
1459660848,18,10
1459671874,16,24
1459686279,20,29
1459700430,2,6
1459714851,5,11
1459727874,1,14
1459740051,3,9
1459754669,5,10
1459767050,7,9
1459779663,7,6
1459794172,8,3
1459808442,2,14
1459822873,3,18
1459833644,6,15
1459844691,9,7
1459859068,9,7
1459873261,20,7
1459887616,19,0
1459902034,5,5
1459916432,5,10
1459927486,1,6
1459941883,15,12
1459956039,24,5
1459970436,14,1
1459984941,2,6
1459999251,16,8
1460010238,14,8
1460021108,7,8
1460035238,7,21
1460049668,8,15
1460064069,10,5
1460078473,4,4
1460092891,8,7
1460103901,3,11
1460111040,2,16
1460125354,11,12
1460139669,7,2
1460154101,5,16
1460164935,4,13
1460179278,4,10
1460190408,1,9
1460204733,7,10
1460218846,22,9
1460230795,11,3
1460244051,17,9
1460258463,9,4
