DateTime,AddedIPs,RemovedIPs
1455267911,31,28
1455282314,21,35
1455296711,40,38
1455311113,30,21
1455325511,29,38
1455339911,34,27
1455354311,25,36
1455368714,34,56
1455383115,34,39
1455397518,33,33
1455411913,42,32
1455426317,51,30
1455469511,101,97
1455483913,48,37
1455498315,29,29
1455512718,35,22
1455527117,40,42
1455541513,45,30
1455555914,41,33
1455570313,40,46
1455584713,44,36
1455599111,51,30
1455613512,46,38
1455627912,38,35
1455642311,60,39
1455656711,36,28
1455671111,34,37
1455685511,27,48
1455699913,34,34
1455714315,35,47
1455728732,38,43
1455743110,35,37
1455757511,26,51
1455771910,32,41
1455786312,31,44
1455800714,33,59
1455815111,38,46
1455829511,35,37
1455843911,46,25
1455858310,40,37
1455872712,34,34
1455887130,25,33
1455901512,30,37
1455915912,36,22
1455930312,40,26
1455944714,29,38
1455959111,30,29
1455973514,39,36
1455987914,24,36
1456002314,29,35
1456016714,30,38
1456031113,35,31
1456045513,31,29
1456059923,39,25
1456074312,36,32
1456088714,39,41
1456103113,42,27
1456117513,35,30
1456131911,34,37
1456146312,40,33
1456160711,43,33
1456175111,28,38
1456189511,37,38
1456203911,48,38
1456218311,35,37
1456232717,37,40
1456247121,42,32
1456261524,46,43
1456275917,30,44
1456290318,36,36
1456304713,51,41
1456319114,35,40
1456333510,51,26
1456347911,48,45
1456362311,21,46
1456376711,52,31
1456391113,41,44
1456405515,50,50
1456419913,41,40
1456434313,59,34
1456448713,49,35
1456463120,45,48
1456477512,42,38
1456491914,41,42
1456506311,11,13
1456851911,32,583
1456866310,81,0
1456880713,63,0
1456895110,72,0
1456909511,49,0
1456923914,62,0
1456938311,61,0
1456952711,48,0
1456967111,36,0
1456981509,46,0
1456995913,33,0
1457010319,39,35
1457024717,47,46
1457039115,34,36
1457053512,31,47
1457067912,42,41
1457082312,36,42
1457096716,39,49
1457111110,37,46
1457125510,47,43
1457139910,31,47
1457154310,43,38
1457168712,49,48
1457183117,54,43
1457197515,59,44
1457211913,36,35
1457226313,44,38
1457240712,42,45
1457255113,31,37
1457269516,36,39
1457283911,35,38
