DateTime,AddedIPs,RemovedIPs
1459277493,51,12
1459284691,11,6
1459292493,6,9
1459300287,6,3
1459307495,12,10
1459315892,7,20
1459323094,6,0
1459330297,3,6
1459337500,6,25
1459344687,7,8
1459351281,7,0
1459358486,48,12
1459365689,2,20
1459372895,2,13
1459380089,10,15
1459387889,6,23
1459395090,3,0
1459402290,5,7
1459408882,4,13
1459415484,2,15
1459422687,6,12
1459429878,5,10
1459437687,7,18
1459444289,38,14
1459452694,4,14
1459459293,2,0
1459466488,1,8
1459473688,10,10
1459481489,9,29
1459488094,4,0
1459495883,3,7
1459502485,3,23
1459509087,6,8
1459516286,8,5
1459523489,4,11
1459531285,95,27
1459537889,1,0
1459544487,4,11
1459550487,3,0
1459557688,6,13
1459565489,9,13
1459573287,3,22
1459579882,7,0
1459587084,3,8
1459593688,3,31
1459600279,6,13
1459606285,4,12
1459613487,4,14
1459620688,40,14
1459627886,2,15
1459635083,0,12
1459642283,14,14
1459650077,11,15
1459656685,4,8
1459665087,0,14
1459671683,2,0
1459678281,1,20
1459685483,3,0
1459691483,1,4
1459698077,4,4
1459702879,10,6
1459708279,17,10
1459714888,5,6
1459721485,3,18
1459729281,4,0
1459736480,6,20
1459743683,5,16
1459751485,5,22
1459758083,4,0
1459773083,1,18
1459779081,4,5
1459786883,14,8
1459794079,45,8
1459800676,4,7
1459807876,3,0
1459814480,10,27
1459819879,5,6
1459825285,12,0
1459831889,6,9
1459839084,5,34
1459846278,2,0
1459852882,6,16
1459860080,5,9
1459864886,6,6
1459870887,4,6
1459878686,83,12
1459892486,6,16
1459899722,14,0
1459906281,2,10
1459912283,7,11
1459917683,2,12
1459924877,8,0
1459931476,2,15
1459936882,3,12
1459942274,3,19
1459947074,4,0
1459953078,4,19
1459958478,7,0
1459964474,46,15
1459971081,4,13
1459977083,2,17
1459984280,9,15
1459991484,5,0
1459998082,7,26
1460005885,14,9
1460014286,1,11
1460020287,5,11
1460027478,2,17
1460033482,7,10
1460041280,2,11
1460047882,43,14
1460054477,3,11
1460061680,8,7
1460066481,10,0
1460072484,4,16
1460080287,7,9
1460087487,1,18
1460094682,3,22
1460101280,2,0
1460109080,1,28
1460115677,3,10
1460121078,4,12
1460126479,4,0
1460131880,43,15
1460136684,25,8
1460142679,4,0
1460149883,5,14
1460156484,7,17
1460162486,5,13
1460169684,15,19
1460177483,8,30
1460191283,2,9
1460197886,7,17
1460203282,9,14
1460208079,2,13
1460214082,4,10
1460219483,22,0
1460224885,0,10
1460230285,0,23
1460236286,6,0
1460243483,4,15
1460250685,4,6
1460256082,7,6
1460263278,2,15
1460268677,5,13
1460293281,10,31
1460304080,0,14
1460308882,1,0
1460314283,0,5
1460319688,56,8
1460325695,5,18
1460331083,1,0
1460337684,6,7
1460344883,9,11
1460352087,9,11
1460358679,10,13
1460365884,3,11
1460370686,3,11
1460376080,0,7
1460382081,2,7
1460389278,4,0
1460396484,50,14
1460403682,4,5
1460408487,5,10
1460414489,27,19
1460422288,2,55
1460430085,19,0
1460436684,8,7
1460443292,4,27
1460451088,9,15
1460458282,3,8
1460464879,7,23
1460472080,2,7
1460479283,96,0
1460484684,6,41
1460489484,1,0
1460494886,3,13
1460500887,6,0
1460506886,2,23
1460513481,35,0
1460521284,25,19
1460528484,0,25
1460535680,15,13
1460542284,3,19
1460548282,26,12
1460554880,8,23
1460562685,10,0
1460569890,154,23
1460577091,7,9
1460583689,8,19
1460591493,1,6
1460598093,18,14
1460606484,12,12
1460613687,11,15
1460620286,5,16
1460628088,1,31
1460634686,5,0
1460640686,9,10
1460646691,5,17
1460653892,28,0
1460661092,24,8
1460668885,3,13
1460675488,10,16
1460682684,5,8
1460690482,7,9
1460697684,8,15
1460706081,7,21
1460712080,5,18
1460719278,7,0
1460726482,7,14
1460733082,4,14
1460739685,102,8
1460745085,16,13
1460751088,14,11
1460760092,15,17
1460766693,10,0
1460773885,19,34
1460781084,20,0
1460788285,2,27
1460796089,6,12
1460804486,7,12
1460811082,8,7
1460817675,5,13
1460824877,23,0
1460830879,66,28
1460839281,7,7
1460845282,2,6
1460852481,16,0
1460860884,20,27
1460869886,9,14
1460875884,1,0
1460883687,5,30
1460890888,7,18
1460897483,7,10
1460904680,4,13
1460917883,18,13
1460923884,8,0
1460931087,9,9
1460937085,2,10
1460944285,3,17
1460952085,9,18
1460959882,6,0
1460966485,8,13
1460973690,37,11
1460980287,37,0
1460987484,6,11
1460994684,7,6
1461002487,69,6
1461009087,4,5
1461016886,12,9
1461022882,8,18
1461030083,11,7
1461037883,17,16
1461045081,12,5
1461052883,6,6
1461060085,4,6
1461066077,38,16
1461073283,4,5
1461080484,8,4
1461086480,9,4
1461092481,12,6
1461098476,5,0
1461105675,10,9
1461111682,2,14
1461118878,5,32
1461126686,6,11
1461133884,9,31
1461140481,24,0
1461160287,24,52
1461166885,6,11
1461174084,26,13
1461179482,8,13
1461184877,1,0
1461191481,6,10
1461197478,50,17
1461203482,7,0
1461210677,3,26
1461217878,6,15
1461225078,3,16
1461232279,13,0
1461240676,6,33
1461247879,8,0
1461255081,2,24
1461262286,4,0
1461269482,9,9
1461277284,5,51
1461283883,60,0
1461291685,2,21
1461299482,0,15
1461306685,8,11
1461313280,6,19
1461320480,11,14
1461328281,2,9
1461335475,4,7
1461342677,7,0
1461348681,17,11
1461355877,8,11
1461363086,3,8
1461369087,3,20
1461376282,8,6
1461383481,10,12
1461391279,6,30
1461398481,2,0
1461405083,1,7
1461411684,100,10
1461419485,7,19
1461426684,1,5
1461433277,53,8
1461441082,10,5
1461447680,6,9
1461455485,26,6
1461462683,12,7
1461471688,5,15
1461479489,6,23
1461486685,3,0
1461493286,2,16
1461500488,9,7
1461507691,3,6
1461514885,9,12
1461522084,175,13
1461529285,0,7
1461536490,6,7
1461543686,9,6
1461550882,29,9
1461558685,3,12
1461565284,22,0
1461573082,4,23
1461579683,2,0
1461586877,7,5
1461594081,9,18
1461601279,3,6
1461607879,35,9
1461614484,9,5
1461621081,1,9
1461628281,7,8
1461635482,8,0
1461642084,9,17
1461650482,2,11
1461658281,5,12
1461664885,3,0
1461671486,3,6
1461686484,26,24
1461693078,81,29
1461700282,7,11
1461707482,2,8
1461714679,16,11
1461721887,12,16
1461736888,23,45
1461744085,6,11
1461750683,2,50
1461757882,12,0
1461765083,5,130
1461772879,6,43
1461777685,60,0
1461783081,1,17
1461789086,13,16
1461795684,2,10
1461802284,16,14
1461810688,4,10
1461818479,21,18
1461825690,8,0
1461834685,0,47
1461840685,1,0
1461848482,9,9
1461855081,0,12
1461862272,65,42
1461869479,5,0
1461876680,3,16
1461883284,10,13
1461890484,8,38
1461897682,3,39
1461904274,11,21
1461910278,11,18
1461917476,2,20
1461925281,5,16
1461932479,99,19
1461939678,7,13
1461946883,135,6
1461954677,3,15
1461954678,0,11
1461961883,4,0
1461968485,6,13
1461975684,8,6
1461982881,4,0
1461990085,14,26
1461997284,14,24
1462005082,4,22
1462012290,3,0
1462018878,7,6
1462026683,8,15
1462033281,61,16
1462041079,4,17
1462048284,0,13
1462054884,3,12
1462062083,10,12
1462069285,6,8
1462076477,8,0
1462083681,2,21
1462090878,1,0
1462098680,1,36
1462105279,7,0
1462112479,4,9
1462118481,60,14
1462124486,88,0
1462132885,4,15
1462139480,1,6
1462146682,26,7
1462153886,12,14
1462161088,4,17
1462168892,34,5
1462176085,4,6
1462183293,2,10
1462190486,3,7
1462197691,14,4
1462205491,71,21
1462213891,42,14
1462221092,2,0
1462227690,5,11
1462235493,26,8
1462242087,9,4
1462249292,9,0
1462256487,19,13
1462263682,1,5
1462270890,3,7
1462279282,11,10
1462285278,5,6
1462293081,4,5
1462300285,92,1
1462306884,1,12
1462321889,1,16
1462328490,25,6
1462335686,12,0
1462343488,3,14
1462350683,26,10
1462357887,13,28
1462372277,3,8
1462380084,29,26
1462386081,71,16
1462393283,7,0
1462400487,29,31
1462408285,13,11
1462415488,25,7
1462422676,1,15
1462429283,6,25
1462437079,16,22
1462443685,20,0
1462451484,6,28
1462459288,20,0
1462466486,13,21
1462474888,78,13
1462482088,9,18
1462489290,2,40
1462495888,14,17
1462503083,24,3
1462510883,10,23
1462517481,3,16
1462525283,17,13
1462532485,9,7
1462540289,6,13
1462547488,5,12
1462555894,33,30
1462563691,15,8
1462572690,2,18
1462579886,71,3
1462588893,6,11
1462596092,4,0
1462605093,21,6
1462612889,5,31
1462620695,8,14
1462628490,3,15
1462635088,13,0
1462642888,19,35
1462648888,3,5
1462656087,5,12
1462663884,65,14
1462670487,8,0
1462678284,2,18
1462685488,10,0
1462693290,23,12
1462702288,1,6
1462710684,4,5
1462717283,20,6
1462723881,23,11
1462729885,35,6
1462737696,3,21
1462744894,3,24
1462752092,101,8
1462759885,2,24
1462767085,4,0
1462776684,17,16
1462784487,9,6
1462791690,2,7
1462798887,6,5
1462805478,14,5
1462812683,9,3
1462819884,53,11
1462827682,12,19
1462834280,28,0
1462842078,23,10
1462849279,13,0
