DateTime,Entries,UniqueIPs
1459315892,5466,5697
1459323094,5460,5688
1459330297,5438,5666
1459337500,5427,5655
1459344687,5423,5653
1459351281,5424,5653
1459358486,5461,5688
1459365689,5442,5667
1459372895,5440,5666
1459380089,5441,5667
1459387889,5440,5666
1459395090,5433,5653
1459402290,5419,5641
1459408882,5414,5631
1459415484,5420,5638
1459422687,5406,5620
1459429878,5390,5603
1459437687,5386,5599
1459444289,5414,5627
1459452694,5419,5632
1459459293,5411,5624
1459466488,5401,5614
1459473688,5399,5614
1459481489,5403,5616
1459488094,5411,5625
1459495883,5395,5607
1459502485,5378,5590
1459509087,5373,5584
1459516286,5391,5603
1459523489,5373,5585
1459531285,5453,5666
1459537889,5445,5658
1459544487,5449,5663
1459550487,5454,5669
1459557688,5455,5671
1459565489,5451,5666
1459573287,5433,5647
1459579882,5434,5647
1459587084,5446,5662
1459593688,5424,5640
1459600279,5436,5652
1459606285,5418,5634
1459613487,5420,5634
1459620688,5447,5660
1459627886,5445,5658
1459635083,5438,5652
1459642283,5445,5658
1459650077,5448,5661
1459656685,5444,5658
1459665087,5410,5624
1459671683,5415,5629
1459678281,5414,5623
1459685483,5412,5619
1459691483,5407,5611
1459698077,5413,5617
1459702879,5380,5583
1459708279,5382,5587
1459714888,5390,5596
1459721485,5384,5590
1459729281,5350,5553
1459736480,5357,5561
1459743683,5330,5538
1459751485,5321,5522
1459758083,5327,5529
1459765307,5276,5477
1459773083,5145,5344
1459779081,5118,5316
1459786883,5119,5317
1459794079,5168,5366
1459800676,5156,5351
1459807876,5145,5340
1459814480,5145,5340
1459819879,5137,5327
1459825285,5139,5328
1459831889,5132,5323
1459839084,5141,5332
1459846278,5084,5273
1459852882,5094,5284
1459860080,5084,5274
1459864886,5084,5274
1459870887,5074,5258
1459878686,5129,5313
1459885289,5118,5304
1459892486,5111,5297
1459899722,5130,5317
1459906281,5045,5227
1459912283,5032,5210
1459917683,5035,5214
1459924877,5020,5199
1459931476,4998,5176
1459936882,4976,5155
1459942274,4956,5135
1459947074,4965,5144
1459953078,4959,5139
1459958478,4961,5141
1459964474,4993,5174
1459971081,4985,5169
1459977083,4977,5157
1459984280,4993,5173
1459991484,4990,5169
1459998082,4986,5166
1460005885,4949,5124
1460014286,4938,5113
1460020287,4930,5105
1460027478,4940,5116
1460033482,4938,5115
1460041280,4930,5107
1460047882,4955,5133
1460054477,4940,5118
1460061680,4943,5121
1460066481,4944,5122
1460072484,4929,5104
1460080287,4932,5108
1460087487,4937,5114
1460094682,4912,5089
1460101280,4919,5100
1460109080,4890,5071
1460115677,4886,5067
1460121078,4877,5057
1460126479,4885,5065
1460131880,4920,5102
1460136684,4950,5133
1460142679,4934,5114
1460149883,4940,5120
1460156484,4925,5107
1460162486,4918,5100
1460169684,4944,5128
1460177483,4936,5120
1460184079,4930,5115
1460191283,4922,5108
1460197886,4919,5104
1460203282,4923,5108
1460208079,4916,5100
1460214082,4913,5097
1460219483,4917,5103
1460224885,4912,5098
1460230285,4912,5099
1460236286,4911,5097
1460243483,4905,5091
1460250685,4900,5086
1460256082,4900,5087
1460263278,4886,5073
1460268677,4896,5083
1460293281,4874,5058
1460299282,4870,5054
1460304080,4865,5049
1460308882,4862,5044
1460314283,4852,5033
1460319688,4903,5088
1460325695,4904,5088
1460331083,4910,5095
1460337684,4908,5095
1460344883,4912,5097
1460352087,4897,5082
1460358679,4896,5080
1460365884,4881,5069
1460370686,4870,5057
1460376080,4876,5064
1460382081,4873,5061
1460389278,4855,5042
1460396484,4901,5090
1460403682,4893,5081
1460408487,4882,5069
1460414489,4894,5082
1460422288,4885,5073
1460430085,4904,5090
1460436684,4871,5059
1460443292,4880,5069
1460451088,4859,5048
1460458282,4847,5038
1460464879,4848,5038
1460472080,4843,5034
1460479283,4929,5120
1460484684,4923,5113
1460489484,4908,5096
1460494886,4912,5100
1460500887,4881,5070
1460506886,4867,5056
1460513481,4897,5091
1460521284,4888,5083
1460535680,4887,5085
1460542284,4877,5076
1460548282,4886,5089
1460554880,4879,5085
1460562685,4875,5080
1460569890,5017,5225
1460577091,5001,5209
1460583689,4991,5202
1460591493,4983,5195
1460598093,4992,5202
1460606484,5004,5216
1460613687,5019,5232
1460620286,5017,5230
1460628088,4980,5191
1460634686,4972,5181
1460640686,4964,5172
1460646691,4972,5182
1460653892,4958,5167
1460661092,4973,5182
1460668885,4961,5170
1460675488,4969,5182
1460682684,4958,5169
1460690482,4958,5169
1460697684,4949,5165
1460706081,4926,5145
1460712080,4943,5165
1460719278,4950,5171
1460726482,4952,5173
1460733082,4934,5152
1460739685,5021,5248
1460745085,5038,5267
1460751088,5042,5275
1460760092,5018,5257
1460766693,5035,5275
1460773885,5029,5276
1460781084,5048,5291
1460788285,5046,5288
1460796089,5025,5266
1460804486,5026,5267
1460811082,5036,5277
1460817675,5037,5279
1460824877,5058,5303
1460830879,5113,5360
1460839281,5108,5355
1460845282,5100,5347
1460852481,5112,5359
1460860884,5117,5370
1460869886,5110,5369
1460875884,5075,5330
1460883687,5086,5343
1460890888,5094,5356
1460897483,5101,5369
1460904680,5103,5371
1460911283,5095,5363
1460917883,5118,5387
1460923884,5127,5398
1460931087,5133,5409
1460937085,5130,5406
1460944285,5100,5377
1460952085,5101,5379
1460959882,5087,5370
1460966485,5094,5377
1460973690,5126,5410
1460980287,5156,5440
1460987484,5150,5433
1460994684,5136,5413
1461002487,5191,5469
1461009087,5190,5471
1461016886,5189,5471
1461022882,5190,5472
1461030083,5208,5490
1461037883,5190,5471
1461045081,5193,5474
1461052883,5184,5465
1461060085,5175,5452
1461066077,5200,5478
1461073283,5199,5476
1461080484,5191,5470
1461086480,5194,5474
1461092481,5207,5488
1461098476,5203,5483
1461105675,5199,5479
1461111682,5202,5484
1461118878,5199,5480
1461126686,5198,5479
1461133884,5202,5484
1461140481,5215,5502
1461160287,5194,5503
1461166885,5185,5494
1461174084,5178,5487
1461179482,5201,5511
1461184877,5187,5499
1461191481,5186,5498
1461197478,5246,5561
1461203482,5225,5538
1461210677,5237,5550
1461217878,5237,5550
1461225078,5231,5546
1461232279,5240,5557
1461240676,5192,5512
1461247879,5199,5518
1461255081,5195,5514
1461262286,5194,5516
1461269482,5192,5515
1461277284,5190,5514
1461283883,5238,5568
1461291685,5222,5551
1461299481,5219,5548
1461299482,5187,5512
1461306685,5206,5532
1461313280,5216,5543
1461320480,5197,5522
1461328281,5164,5488
1461335475,5172,5496
1461342677,5175,5498
1461348681,5182,5504
1461355877,5183,5503
1461363086,5113,5433
1461369087,5102,5422
1461376282,5085,5406
1461383481,5072,5391
1461391279,5037,5353
1461398481,5042,5358
1461405083,5031,5347
1461411684,5112,5430
1461419485,5109,5427
1461426684,5101,5420
1461433277,5146,5471
1461441082,5151,5478
1461447680,5143,5470
1461455485,5132,5454
1461462683,5149,5471
1461471688,5149,5472
1461479489,5126,5444
1461486685,5132,5450
1461493286,5123,5439
1461500488,5122,5437
1461507691,5114,5432
1461514885,5117,5437
1461522084,5279,5601
1461529285,5266,5587
1461536490,5244,5561
1461543686,5252,5570
1461550882,5266,5578
1461558685,5247,5559
1461565284,5247,5552
1461573082,5239,5543
1461579683,5233,5537
1461586877,5224,5527
1461594081,5216,5519
1461601279,5199,5502
1461607879,5233,5537
1461614484,5206,5505
1461621081,5211,5511
1461628281,5186,5476
1461635482,5174,5467
1461642084,5190,5483
1461650482,5163,5452
1461658281,5150,5439
1461664885,5141,5431
1461671486,5157,5448
1461679281,5137,5424
1461686484,5148,5435
1461693078,5201,5487
1461700282,5203,5494
1461707482,5190,5472
1461714679,5205,5487
1461721887,5201,5482
1461736888,5181,5455
1461744085,5191,5465
1461750683,5144,5407
1461757882,5163,5426
1461765083,5174,5437
1461772879,5158,5420
1461777685,5220,5482
1461783081,5204,5467
1461789086,5219,5483
1461795684,5213,5477
1461802284,5225,5489
1461810688,5201,5467
1461818479,5218,5482
1461825690,5201,5465
1461834685,5194,5458
1461840685,5183,5447
1461848482,5188,5453
1461855081,5180,5445
1461862272,5233,5498
1461869479,5242,5507
1461876680,5221,5487
1461883284,5233,5499
1461890484,5224,5488
1461897682,5231,5495
1461904274,5203,5462
1461910278,5199,5456
1461917476,5152,5405
1461925281,5122,5374
1461932479,5202,5488
1461939678,5166,5454
1461946883,5235,5579
1461954677,5219,5567
1461954678,5205,5553
1461961883,5215,5544
1461968485,5200,5524
1461975684,5198,5522
1461982881,5197,5521
1461990085,5198,5521
1461997284,5214,5541
1462005082,5200,5526
1462012290,5181,5507
1462018878,5182,5509
1462026683,5178,5505
1462033281,5233,5560
