DateTime,AddedIPs,RemovedIPs
1459307495,283,300
1459315892,222,263
1459323094,192,220
1459330297,114,184
1459337500,201,245
1459344687,208,253
1459351281,169,162
1459358486,208,151
1459365689,141,145
1459372895,246,200
1459380089,230,187
1459387889,226,184
1459395090,136,156
1459402290,112,174
1459408882,186,276
1459415484,115,150
1459422687,208,221
1459429878,150,140
1459437687,127,139
1459444289,279,222
1459452694,236,210
1459459293,179,136
1459466488,117,133
1459473688,228,227
1459481489,176,189
1459488094,208,242
1459495883,144,185
1459502485,88,147
1459509087,232,245
1459516286,152,156
1459523489,213,195
1459531285,230,136
1459537889,101,110
1459544487,258,220
1459550487,149,95
1459557688,215,221
1459565489,138,119
1459573287,164,239
1459579882,202,243
1459587084,219,211
1459593688,124,171
1459600279,114,125
1459606285,118,124
1459613487,222,201
1459620688,233,193
1459627886,147,140
1459635083,147,136
1459642283,203,216
1459650077,180,179
1459656685,209,169
1459665087,129,163
1459671683,80,128
1459678281,233,259
1459685483,133,144
1459691483,157,178
1459698077,98,135
1459702879,106,77
1459708279,98,78
1459714888,269,205
1459721485,147,109
1459729281,212,172
1459736480,159,143
1459743683,126,100
1459751485,255,296
1459758083,161,197
1459765307,155,217
1459773083,126,164
1459779081,142,169
1459786883,209,202
1459794079,197,149
1459800676,160,150
1459807876,132,114
1459814480,187,182
1459819879,167,141
1459825285,112,91
1459831889,188,198
1459839084,117,177
1459846278,74,143
1459852882,200,241
1459860080,124,142
1459864886,205,132
1459870887,134,120
1459878686,192,137
1459885289,201,217
1459892486,183,175
1459899722,191,207
1459906281,137,131
1459912283,82,98
1459917683,97,112
1459924877,202,250
1459931476,131,186
1459936882,106,100
1459942274,98,105
1459947074,98,76
1459953078,155,146
1459958478,160,141
1459964474,186,128
1459971081,170,168
1459977083,118,102
1459984280,138,151
1459991484,244,213
1459998082,149,120
1460005885,226,195
1460014286,142,163
1460020287,156,183
1460027478,248,253
1460033482,121,131
1460041280,158,271
1460047882,161,150
1460054477,116,129
1460061680,242,181
1460066481,130,108
1460072484,260,135
1460080287,167,154
1460087487,111,121
1460094682,212,285
1460101280,139,150
1460109080,139,226
1460115677,105,147
1460121078,95,103
1460126479,105,95
1460131880,231,203
1460136684,140,125
1460142679,200,188
1460149883,179,112
1460156484,111,133
1460162486,230,199
1460169684,176,199
1460177483,233,203
1460184079,108,156
1460191283,121,143
1460197886,177,198
1460203282,134,157
1460208079,80,79
1460214082,150,158
1460219483,148,99
1460224885,79,82
1460230285,107,79
1460236286,218,205
1460243483,134,133
1460250685,184,174
1460256082,118,109
1460263278,83,105
1460268677,176,236
1460293281,396,428
1460299282,70,97
1460304080,67,70
1460308882,112,78
1460314283,103,81
1460319688,225,107
1460325695,159,180
1460331083,122,97
1460337684,171,141
1460344883,148,158
1460352087,112,151
1460358679,189,283
1460365884,121,133
1460370686,174,143
1460376080,109,120
1460382081,125,101
1460389278,140,168
1460396484,304,225
1460403682,216,187
1460408487,144,78
1460414489,171,130
1460422288,121,127
1460430085,248,298
1460436684,148,184
1460443292,163,190
1460451088,136,165
1460458282,130,143
1460464879,224,259
1460472080,121,137
1460479283,276,189
1460484684,93,68
1460489484,70,70
1460494886,121,105
1460500887,203,133
1460506886,91,70
1460513481,178,185
1460521284,126,92
1460528484,55,67
1460535680,216,258
1460542284,125,136
1460548282,203,169
1460554880,102,98
1460562685,105,83
1460569890,353,207
1460577091,142,133
1460583689,205,171
1460591493,86,74
1460598093,79,83
1460606484,239,229
1460613687,177,255
1460620286,80,142
1460628088,85,108
1460634686,130,173
1460640686,141,176
1460646691,133,104
1460653892,192,179
1460661092,139,111
1460668885,80,87
1460675488,234,205
1460682684,139,107
1460690482,181,196
1460697684,82,72
1460706081,172,296
1460712080,128,172
1460719278,142,170
1460726482,166,167
1460733082,78,82
1460739685,280,138
1460745085,207,124
1460751088,195,117
1460760092,299,284
1460766693,126,98
1460773885,129,183
1460781084,241,265
1460788285,99,141
1460796089,152,250
1460804486,115,185
1460811082,170,209
1460817675,158,198
1460824877,238,167
1460830879,218,156
1460839281,143,123
1460845282,145,112
1460852481,273,226
1460860884,213,278
1460869886,146,150
1460875884,57,93
1460883687,218,296
1460890888,145,207
1460897483,196,187
1460904680,115,123
1460911283,92,94
1460917883,287,207
1460923884,118,119
1460931087,259,227
1460937085,148,121
1460944285,135,95
1460952085,252,261
1460959882,157,215
1460966485,203,216
1460973690,164,199
1460980287,106,75
1460987484,264,230
1460994684,150,145
1461002487,267,226
1461009087,107,90
1461016886,104,130
1461022882,224,227
1461030083,183,167
1461037883,197,201
1461045081,120,135
1461052883,115,197
1461060085,163,236
1461066077,138,128
1461073283,199,229
1461080484,109,94
1461086480,91,100
1461092481,210,197
1461098476,100,104
1461105675,200,194
1461111682,118,82
1461118878,148,123
1461126686,213,217
1461133884,158,169
1461140481,143,201
1461160287,362,417
1461166885,128,144
1461174084,204,155
1461179482,159,139
1461184877,92,68
1461191481,95,84
1461197478,284,186
1461203482,138,133
1461210677,170,214
1461217878,116,129
1461225078,89,133
1461232279,215,254
1461240676,107,156
1461247879,194,171
1461255081,120,102
1461262286,127,131
1461269482,252,184
1461277284,187,128
1461283883,284,151
1461291685,156,121
1461299481,142,224
1461306685,166,183
1461313280,186,261
1461320480,183,192
1461328281,80,94
1461335475,181,254
1461342677,180,205
1461348681,168,161
1461355877,181,153
1461363086,98,82
1461369087,99,102
1461376282,270,239
1461383481,145,136
1461391279,181,284
1461398481,58,66
1461405083,131,179
1461411684,290,220
1461419485,221,203
1461426684,134,96
1461433277,187,124
1461441082,171,140
1461447680,95,89
1461455485,243,188
1461462683,204,226
1461471688,159,182
1461479489,108,161
1461486685,70,93
1461493286,206,219
1461500488,181,188
1461507691,176,195
1461514885,89,77
1461522084,287,157
1461529285,93,113
1461536490,146,140
1461543686,208,192
1461550882,197,196
1461558685,120,136
1461565284,97,113
1461573082,129,160
1461579683,98,149
1461586877,200,238
1461594081,187,177
1461601279,162,152
1461607879,135,106
1461614484,164,158
1461621081,58,51
1461628281,283,207
1461635482,171,142
1461642084,245,183
1461650482,103,117
1461658281,147,173
1461664885,92,106
1461671486,230,320
1461686484,316,366
1461693078,164,86
1461700282,177,186
1461707482,94,108
1461714679,255,214
1461721887,163,171
1461736888,293,337
1461744085,120,178
1461750683,73,106
1461757882,218,225
1461765083,154,177
1461772879,210,215
1461777685,113,49
1461783081,92,58
1461789086,243,119
1461795684,120,73
1461802284,296,206
1461810688,135,156
1461818479,195,287
1461825690,83,142
1461834685,115,229
1461840685,92,104
1461848482,218,288
1461855081,113,128
1461862272,254,203
1461869479,83,68
1461876680,154,129
1461883284,140,130
1461890484,203,194
1461897682,115,94
1461904274,196,195
1461910278,101,92
1461917476,141,147
1461925281,102,110
1461932479,359,291
1461939678,142,143
1461946883,340,222
1461954677,69,56
1461961883,176,172
1461968485,130,151
1461975684,236,202
1461982881,143,133
1461990085,221,240
1461997284,140,99
1462005082,137,159
1462012290,84,99
1462018878,182,252
1462026683,134,149
1462033281,244,208
1462041079,92,75
1462048284,174,141
1462054884,87,91
1462062083,222,238
1462069285,139,140
1462076477,249,239
1462083681,66,110
1462090878,133,140
1462098680,86,128
1462105279,212,237
1462112479,119,156
1462118481,257,190
1462124486,187,73
1462132885,133,117
1462139480,123,90
1462146682,196,185
1462153886,229,167
1462161088,210,203
1462168892,173,139
1462176085,133,186
1462183293,95,102
1462190486,159,183
1462197691,206,239
1462205491,267,330
1462213891,138,125
1462221092,139,140
1462227690,113,91
1462235493,280,289
1462242087,148,145
1462249292,250,249
1462256487,129,121
1462263682,141,160
1462270890,104,106
1462279282,238,255
1462285278,114,124
1462293081,198,278
1462300285,213,93
1462306884,36,62
1462314088,114,115
1462321889,104,98
1462328490,146,170
1462335686,239,215
1462343488,141,184
1462350683,248,259
1462357887,121,143
1462365084,102,147
1462372277,117,167
1462380084,134,131
1462386081,277,208
