DateTime,Entries,UniqueIPs
1459315892,1680,1680
1459323094,1652,1652
1459330297,1582,1582
1459337500,1538,1538
1459344687,1493,1493
1459351281,1500,1500
1459358486,1557,1557
1459365689,1553,1553
1459372895,1599,1599
1459380089,1642,1642
1459387889,1684,1684
1459395090,1664,1664
1459402290,1602,1602
1459408882,1512,1512
1459415484,1477,1477
1459422687,1464,1464
1459429878,1474,1474
1459437687,1462,1462
1459444289,1519,1519
1459452694,1545,1545
1459459293,1588,1588
1459466488,1572,1572
1459473688,1573,1573
1459481489,1560,1560
1459488094,1526,1526
1459495883,1485,1485
1459502485,1426,1426
1459509087,1413,1413
1459516286,1409,1409
1459523489,1427,1427
1459531285,1521,1521
1459537889,1512,1512
1459544487,1550,1550
1459550487,1604,1604
1459557688,1598,1598
1459565489,1617,1617
1459573287,1542,1542
1459579882,1501,1501
1459587084,1509,1509
1459593688,1462,1462
1459600279,1451,1451
1459606285,1445,1445
1459613487,1466,1466
1459620688,1506,1506
1459627886,1513,1513
1459635083,1524,1524
1459642283,1511,1511
1459650077,1512,1512
1459656685,1552,1552
1459665087,1518,1518
1459671683,1470,1470
1459678281,1444,1444
1459685483,1433,1433
1459691483,1412,1412
1459698077,1375,1375
1459702879,1404,1404
1459708279,1424,1424
1459714888,1488,1488
1459721485,1526,1526
1459729281,1566,1566
1459736480,1582,1582
1459743683,1608,1608
1459751485,1567,1567
1459758083,1531,1531
1459765307,1469,1469
1459773083,1431,1431
1459779081,1404,1404
1459786883,1411,1411
1459794079,1459,1459
1459800676,1469,1469
1459807876,1487,1487
1459814480,1492,1492
1459819879,1518,1518
1459825285,1539,1539
1459831889,1529,1529
1459839084,1469,1469
1459846278,1400,1400
1459852882,1359,1359
1459860080,1341,1341
1459864886,1414,1414
1459870887,1428,1428
1459878686,1483,1483
1459885289,1467,1467
1459892486,1475,1475
1459899722,1459,1459
1459906281,1465,1465
1459912283,1449,1449
1459917683,1434,1434
1459924877,1386,1386
1459931476,1331,1331
1459936882,1337,1337
1459942274,1330,1330
1459947074,1352,1352
1459953078,1361,1361
1459958478,1380,1380
1459964474,1438,1438
1459971081,1440,1440
1459977083,1456,1456
1459984280,1443,1443
1459991484,1474,1474
1459998082,1503,1503
1460005885,1534,1534
1460014286,1513,1513
1460020287,1486,1486
1460027478,1481,1481
1460033482,1471,1471
1460041280,1358,1358
1460047882,1369,1369
1460054477,1356,1356
1460061680,1417,1417
1460066481,1439,1439
1460072484,1564,1564
1460080287,1577,1577
1460087487,1567,1567
1460094682,1494,1494
1460101280,1483,1483
1460109080,1396,1396
1460115677,1354,1354
1460121078,1346,1346
1460126479,1356,1356
1460131880,1384,1384
1460136684,1399,1399
1460142679,1411,1411
1460149883,1478,1478
1460156484,1456,1456
1460162486,1487,1487
1460169684,1464,1464
1460177483,1494,1494
1460184079,1446,1446
1460191283,1424,1424
1460197886,1403,1403
1460203282,1380,1380
1460208079,1381,1381
1460214082,1373,1373
1460219483,1422,1422
1460224885,1419,1419
1460230285,1447,1447
1460236286,1460,1460
1460243483,1461,1461
1460250685,1471,1471
1460256082,1480,1480
1460263278,1458,1458
1460268677,1398,1398
1460293281,1366,1366
1460299282,1339,1339
1460304080,1336,1336
1460308882,1370,1370
1460314283,1392,1392
1460319688,1510,1510
1460325695,1489,1489
1460331083,1514,1514
1460337684,1544,1544
1460344883,1534,1534
