DateTime,AddedIPs,RemovedIPs
1457023884,18,14
1457038286,51,14
1457046087,9,14
1457053285,11,11
1457061687,5,11
1457070082,5,16
1457079089,2,31
1457086290,0,24
1457094676,7,5
1457108470,10,29
1457122880,127,13
1457130083,7,12
1457137886,8,6
1457145679,13,31
1457154683,23,8
1457162481,3,12
1457170882,5,13
1457184675,12,19
1457199075,51,35
1457206280,7,9
1457214079,4,17
1457227880,17,12
1457235683,8,11
1457244683,1,19
1457254284,5,29
1457262681,4,7
1457270476,4,20
1457284273,7,25
1457292075,46,10
1457299874,9,0
1457307679,6,17
1457314882,7,0
1457323877,2,16
1457332877,11,39
1457346676,7,24
1457361076,44,7
1457375474,37,9
1457389276,6,21
1457397072,13,27
1457411467,10,10
1457425875,4,45
1457439675,35,2
1457454071,8,31
1457468484,48,4
1457476283,14,8
1457483484,12,10
1457491275,9,20
1457500281,7,12
1457508679,7,36
1457523081,7,24
1457537475,44,47
1457551877,77,15
1457566279,14,9
1457580673,19,17
1457595074,11,18
1457609479,35,47
1457623275,15,36
1457637676,24,20
1457644881,14,31
1457659283,12,20
1457673686,8,22
1457688080,12,63
1457701276,16,33
1457713877,16,32
1457725283,29,30
1457733081,7,6
1457740880,6,0
1457755279,18,22
1457769681,7,35
1457783479,80,8
1457797877,9,38
1457805686,326,6
1457820093,15,40
1457827891,19,11
1457836881,12,10
1457845282,17,8
1457853080,16,31
1457862083,8,21
1457876480,48,20
1457884879,8,24
1457892083,20,12
1457899881,3,0
1457908885,20,9
1457923279,8,34
1457932876,9,46
1457941284,10,16
1457955082,8,19
1457969479,12,37
1457983880,37,9
1457998283,12,54
1458005485,4,20
1458019890,16,4
1458027089,9,23
1458034892,1,25
1458043886,5,0
1458052884,7,16
1458061882,70,18
1458069683,4,10
1458084090,18,0
1458091881,0,47
1458106283,12,11
1458120684,16,15
1458128491,1,27
1458136892,7,17
1458151296,75,33
1458158496,12,7
1458166294,5,0
1458174697,11,23
1458189088,21,11
1458202890,14,46
1458210691,4,21
1458225081,8,13
1458239485,35,7
1458253894,20,40
1458268291,7,32
1458282685,16,13
1458297084,9,32
1458310279,8,15
1458324683,69,32
1458332481,7,18
1458346278,10,8
1458354675,6,21
1458361877,8,10
1458369680,6,14
1458378685,3,14
1458387084,3,26
1458400284,15,9
1458408082,6,29
1458422486,119,0
1458436880,16,6
1458451280,14,20
1458465683,7,31
1458480079,3,6
1458494475,10,25
1458508281,74,5
1458522677,18,9
1458531081,7,22
1458538280,15,10
1458552680,7,9
1458559882,8,46
1458574280,11,11
1458588081,69,8
1458602485,20,10
1458610284,14,9
1458624675,10,20
1458631876,9,10
1458639680,11,13
1458648677,9,19
1458657678,2,8
1458672079,80,7
1458685870,9,34
1458699072,23,11
1458706868,12,41
1458721276,5,33
1458735677,12,28
1458742876,0,29
1458757278,43,19
1458771687,28,58
1458779486,8,16
1458786686,4,0
1458794480,8,21
1458802275,2,27
1458810076,8,23
1458824477,7,208
1458838275,11,342
1458852671,26,3507
1458867073,7,0
1458874281,7,0
1458882080,6,0
1458896473,3,0
1458910870,38,44
1458924676,5,7
1458938477,30,9
1458946275,9,48
1458953475,5,0
1458967878,7,17
1458982276,13,32
1458996075,107,28
1459003875,6,25
1459017683,56,21
1459026084,8,21
1459040486,20,18
1459054881,9,8
1459068678,7,49
1459076485,100,59
1459083682,13,0
1459098082,7,34
1459111878,42,10
1459119087,7,21
1459126888,6,0
1459141282,15,11
1459155079,11,17
1459164080,3,35
1459173684,8,0
1459181485,10,11
1459189281,33,17
1459203680,13,0
1459218084,14,13
1459225280,3,39
1459233082,4,0
1459240882,7,8
1459248676,3,0
1459263078,7,13
1459277483,89,17
1459284681,11,9
1459292483,6,0
1459300277,7,3
1459307484,12,9
1459315882,7,20
1459330284,8,22
1459344679,11,9
1459358475,52,38
1459372884,4,0
1459380079,10,27
1459387879,6,24
1459402279,9,0
1459415478,6,32
1459429871,11,22
1459444279,45,17
1459452684,4,26
1459466479,2,16
1459473677,10,12
1459488080,15,0
1459502476,6,24
1459516279,10,35
1459523480,4,9
1459537880,96,15
1459550477,7,22
1459557678,5,30
1459565479,9,0
1459579872,9,18
1459593678,4,54
1459606276,10,21
1459620679,43,28
1459635074,2,12
1459642273,14,14
1459656674,14,14
1459665074,0,22
1459678274,3,10
1459691476,4,18
1459702871,14,13
1459714878,21,5
1459729271,7,19
1459743672,13,21
1459758076,7,31
1459765278,1,25
1459779073,5,10
1459786875,14,8
1459800667,48,0
1459814471,12,28
1459825276,17,7
1459839074,10,9
1459852874,8,48
1459864878,10,9
1459878678,87,21
1459892477,6,11
1459906272,13,16
1459917670,9,11
1459931469,8,38
1459942266,6,30
1459953069,5,20
1459964466,52,30
1459977074,5,0
1459991474,14,17
1460005874,21,45
1460020278,6,21
1460033474,10,17
1460047873,44,24
1460061671,10,5
1460072474,14,17
1460080277,7,9
1460094672,4,18
1460109071,3,45
1460121070,7,21
1460131872,45,20
1460142670,30,31
1460156471,12,0
1460169675,19,24
1460184069,3,28
1460197878,8,27
1460208072,10,23
1460219475,25,18
1460230275,1,23
1460243474,10,20
1460256073,10,22
1460268667,6,20
1460293272,11,28
1460314274,1,13
