DateTime,Entries,UniqueIPs
1457023884,8589,12856
1457038286,8626,12893
1457046087,8620,12888
1457053285,8619,12888
1457061687,8612,12882
1457070082,8601,12871
1457079089,8572,12842
1457086290,8550,12818
1457094676,8552,12820
1457108470,8532,12801
1457122880,8635,12915
1457130083,8630,12910
1457137886,8632,12912
1457145679,8615,12894
1457154683,8630,12909
1457162481,8624,12900
1457170882,8616,12892
1457184675,8612,12885
1457199075,8622,12901
1457206280,8621,12899
1457214079,8609,12886
1457227880,8616,12891
1457235683,8612,12888
1457244683,8594,12870
1457254284,8570,12846
1457262681,8568,12843
1457270476,8552,12827
1457284273,8536,12809
1457292075,8571,12845
1457299874,8580,12854
1457307679,8570,12843
1457314882,8577,12850
1457323877,8567,12836
1457332877,8535,12808
1457346676,8522,12791
1457361076,8555,12828
1457375474,8581,12856
1457389276,8565,12841
1457397072,8552,12827
1457411467,8553,12827
1457425875,8512,12786
1457439675,8544,12819
1457454071,8523,12796
1457468484,8565,12840
1457476283,8569,12846
1457483484,8572,12848
1457491275,8566,12837
1457500281,8564,12832
1457508679,8536,12803
1457523081,8524,12786
1457537475,8523,12783
1457551877,8584,12845
1457566279,8588,12850
1457580673,8590,12852
1457595074,8586,12845
1457609479,8576,12833
1457623275,8556,12812
1457637676,8561,12816
1457644881,8546,12799
1457659283,8538,12791
1457673686,8524,12777
1457688080,8476,12726
1457701276,8464,12709
1457713877,8448,12693
1457725283,8450,12692
1457733081,8454,12693
1457740880,8460,12699
1457755279,8457,12695
1457769681,8430,12667
1457783479,8498,12739
1457797877,8469,12710
1457805686,8788,13030
1457820093,8769,13005
1457827891,8780,13013
1457836881,8780,13015
1457845282,8794,13024
1457853080,8781,13009
1457862083,8773,12996
1457876480,8802,13024
1457884879,8788,13008
1457892083,8797,13016
1457899881,8800,13019
1457908885,8809,13030
1457923279,8789,13004
1457932876,8752,12967
1457941284,8746,12961
1457955082,8738,12950
1457969479,8715,12925
1457983880,8743,12953
1457998283,8700,12911
1458005485,8685,12895
1458019890,8697,12907
1458027089,8680,12893
1458034892,8657,12869
1458043886,8661,12874
1458052884,8652,12865
1458061882,8702,12917
1458069683,8696,12911
1458084090,8713,12929
1458091881,8667,12882
1458106283,8669,12883
1458120684,8670,12884
1458128491,8645,12858
1458136892,8635,12848
1458151296,8675,12890
1458158496,8680,12895
1458166294,8685,12900
1458174697,8674,12888
1458189088,8680,12898
1458202890,8649,12866
1458210691,8632,12849
1458225081,8628,12844
1458239485,8653,12872
1458253894,8631,12852
1458268291,8606,12827
1458282685,8615,12830
1458297084,8593,12807
1458310279,8587,12800
1458324683,8614,12837
1458332481,8604,12826
1458346278,8606,12828
1458354675,8593,12813
1458361877,8593,12811
1458369680,8579,12803
1458378685,8569,12792
1458387084,8546,12769
1458400284,8555,12775
1458408082,8532,12752
1458422486,8646,12871
1458436880,8655,12881
1458451280,8649,12875
1458465683,8632,12851
1458480079,8629,12848
1458494475,8611,12833
1458508281,8664,12902
1458522677,8673,12911
1458531081,8658,12896
1458538280,8663,12901
1458552680,8661,12899
1458559882,8623,12861
1458574280,8623,12861
1458588081,8683,12922
1458602485,8693,12932
1458610284,8697,12937
1458624675,8687,12927
1458631876,8686,12926
1458639680,8684,12924
1458648677,8674,12914
1458657678,8668,12908
1458672079,8739,12981
1458685870,8719,12956
1458699072,8735,12968
1458706868,8707,12939
1458721276,8680,12911
1458735677,8668,12895
1458742876,8645,12866
1458757278,8667,12890
1458771687,8633,12860
1458779486,8625,12852
1458786686,8628,12856
1458794480,8618,12843
1458802275,8593,12818
1458810076,8589,12803
1458824477,8888,12602
1458838275,9089,12271
1458852671,8331,8790
1458867073,8337,8797
1458874281,8344,8804
1458882080,8349,8810
1458896473,8352,8813
1458910870,8347,8807
1458924676,8346,8805
1458938477,8367,8826
1458946275,8328,8787
1458953475,8333,8792
1458967878,8324,8782
1458982276,8306,8763
1458996075,8386,8842
1459003875,8367,8823
1459017683,8401,8858
