DateTime,Entries,UniqueIPs
1460210165,5358,5431
1460217382,5369,5442
1460220973,5372,5445
1460228164,5378,5451
1460231764,5383,5456
1460238964,5386,5459
1460242564,5388,5461
1460246164,5395,5469
1460249764,5396,5470
1460256963,5397,5471
1460267764,5400,5474
1460271363,5402,5476
1460278564,5414,5489
1460285764,5426,5501
1460289364,5429,5504
1460296564,5434,5509
1460300164,5438,5513
1460303763,5447,5522
1460307364,5452,5527
1460314564,5465,5540
1460318164,5470,5545
1460321763,5478,5553
1460325363,5487,5562
1460328963,5494,5569
1460332563,5500,5575
1460339764,5503,5578
1460346963,5507,5582
1460350564,5512,5587
1460357763,5527,5602
1460361363,5533,5609
1460364964,5536,5612
1460375764,5542,5618
1460379364,5550,5626
1460386570,5587,5664
1460390164,5597,5674
1460397363,5611,5688
1460404564,5621,5698
1460408163,5626,5703
1460415364,5632,5709
1460418964,5639,5716
1460426164,5647,5724
1460429764,5650,5727
1460436964,5659,5736
1460440564,5661,5738
1460447764,5667,5744
1460451365,5671,5749
1460458564,5679,5757
1460462164,5688,5766
1460465764,5690,5768
1460469364,5701,5779
1460476563,5719,5797
1460480163,5728,5806
1460483764,5739,5817
1460487364,5746,5824
1460494564,5772,5850
1460498164,5779,5859
1460505363,5799,5879
1460508964,5805,5885
1460516164,5815,5895
1460519764,5820,5900
1460526964,5833,5913
1460530563,5843,5923
1460534164,5848,5928
1460537763,5858,5938
1460541364,5867,5947
1460544964,5883,5963
1460552164,5909,5989
1460555763,5919,5999
1460562965,5933,6013
1460566564,5922,6001
1460573763,5940,6019
1460577364,5950,6029
1460584564,5963,6041
1460588163,5964,6042
1460595363,5972,6049
1460598964,5971,6048
1460606164,5989,6066
1460609764,5984,6061
1460616964,5980,6057
1460620564,5983,6060
1460624165,5990,6067
1460627764,5993,6070
1460634963,6009,6086
1460638564,6008,6085
1460642165,6007,6084
1460645764,5998,6075
1460652963,6003,6080
1460656564,6001,6077
1460663763,6009,6085
1460667363,6006,6082
1460670963,6011,6087
1460674564,6010,6086
1460681764,6003,6079
1460685364,5996,6072
1460692564,5992,6068
1460696163,5992,6068
1460703364,5990,6067
1460706963,5987,6065
1460714163,5984,6061
1460717764,5977,6054
1460721364,5981,6058
1460724964,5977,6054
1460732163,5978,6055
1460735766,5980,6057
1460739364,5986,6063
1460742964,5992,6069
1460746564,5991,6067
1460750165,6008,6084
1460757364,6013,6089
1460760965,6020,6098
1460768163,6013,6090
1460771764,6016,6093
1460778963,6024,6102
1460782563,6013,6091
1460786163,6023,6101
1460789763,6023,6101
1460796964,6020,6098
1460800564,6025,6103
1460804164,6029,6108
1460811365,6030,6109
1460814964,6038,6117
1460822163,6052,6131
1460825764,6051,6129
1460832963,6057,6135
1460836566,6059,6137
1460843763,6058,6136
1460847364,6068,6146
1460854564,6070,6148
1460858164,6072,6150
1460865363,6072,6150
1460868964,6067,6145
1460872563,6069,6147
1460876164,6065,6143
1460883363,6057,6136
1460886963,6057,6139
1460894164,6072,6154
1460897763,6073,6155
1460904964,6085,6168
1460908564,6088,6171
1460912164,6092,6175
1460915763,6098,6180
1460922964,6107,6190
1460926563,6120,6203
1460930163,6126,6209
1460933763,6133,6216
1460940964,6134,6217
1460944564,6130,6213
1460951764,6135,6218
1460955364,6130,6213
1460962563,6126,6209
1460966164,6138,6221
1460973364,6137,6221
1460976964,6156,6241
1460980563,6167,6252
1460984165,6173,6260
1460987767,6180,6267
1460991364,6179,6266
1460998564,6189,6278
1461002164,6185,6274
1461009364,6182,6270
1461012963,6173,6261
1461020163,6175,6264
1461023763,6167,6256
1461027366,6157,6247
1461034565,6155,6245
1461041763,6148,6238
1461048964,6130,6220
1461052563,6125,6215
1461059763,6121,6211
1461066965,6114,6203
1461070564,6116,6205
1461077764,6118,6209
1461081364,6120,6211
1461084963,6127,6219
1461088564,6120,6212
1461095764,6122,6214
1461102963,6116,6208
1461106564,6124,6216
1461113763,6121,6213
1461117364,6118,6210
1461124564,6111,6203
1461128164,6116,6208
1461135366,6115,6207
1461138963,6116,6209
1461160563,6115,6207
1461167763,6126,6217
1461171364,6121,6212
1461174963,6119,6210
1461182163,6130,6221
1461185764,6123,6214
1461192964,6122,6213
1461196563,6122,6214
1461203764,6117,6209
1461207363,6121,6213
1461210964,6125,6217
1461214564,6116,6208
1461221780,6117,6209
1461225364,6117,6209
1461232564,6123,6215
1461236164,6129,6221
1461243364,6130,6222
1461246963,6125,6217
1461254164,6147,6239
1461257763,6145,6237
1461261364,6152,6245
1461264964,6157,6250
1461268563,6155,6248
1461275764,6156,6249
1461279364,6130,6223
1461286564,6139,6232
1461290164,6131,6224
1461297364,6130,6223
1461300964,6124,6218
1461304563,6126,6220
1461308164,6117,6211
1461315364,6127,6221
1461318963,6129,6223
1461326164,6134,6228
1461333364,6132,6225
1461340564,6142,6236
1461344169,6142,6236
1461351363,6142,6236
1461354963,6135,6230
1461362164,6143,6238
1461365763,6133,6228
1461372963,6138,6233
1461376564,6122,6217
1461383763,6124,6220
1461387363,6126,6222
1461394564,6121,6217
1461398163,6121,6217
1461405364,6128,6224
1461408963,6125,6222
1461416163,6109,6206
1461419763,6110,6207
