DateTime,AddedIPs,RemovedIPs
1460206564,7,4
1460210165,6,15
1460217382,18,0
1460220973,8,12
1460228164,9,0
1460231764,8,13
1460238964,8,9
1460242564,4,10
1460246164,11,0
1460249764,5,2
1460256963,1,7
1460260564,0,2
1460267764,6,2
1460271363,3,7
1460278564,20,6
1460285764,14,26
1460289364,3,0
1460296564,9,11
1460300164,7,0
1460303763,13,22
1460307364,6,15
1460314564,17,0
1460318164,5,20
1460321763,10,0
1460325363,13,13
1460328963,8,0
1460332563,7,12
1460339764,9,10
1460346963,7,15
1460350564,7,14
1460357763,26,16
1460361363,10,12
1460364964,5,0
1460368564,1,13
1460375764,14,12
1460379364,11,8
1460386570,51,11
1460390164,14,11
1460397363,18,11
1460404564,17,15
1460408163,6,14
1460415364,11,9
1460418964,9,25
1460426164,9,18
1460429764,6,15
1460436964,14,67
1460440564,2,11
1460447764,10,14
1460451365,8,12
1460458564,15,14
1460462164,12,13
1460465764,3,0
1460469364,14,6
1460476563,25,5
1460480163,13,14
1460483764,15,0
1460487364,10,12
1460494564,31,7
1460498164,13,23
1460505363,24,15
1460508964,10,14
1460516164,14,12
1460519764,6,10
1460526964,17,14
1460530563,14,5
1460534164,8,0
1460537763,12,14
1460541364,9,0
1460544964,19,7
1460552164,32,21
1460555763,14,16
1460562965,25,12
1460566564,8,0
1460573763,26,20
1460577364,20,0
1460584564,30,41
1460588163,16,0
1460595363,14,5
1460598964,7,16
1460606164,22,9
1460609764,11,17
1460616964,21,20
1460620564,14,9
1460624165,12,12
1460627764,12,27
1460634963,37,9
1460638564,10,13
1460642165,1,7
1460645764,2,0
1460652963,14,10
1460656564,8,18
1460663763,22,0
1460667363,13,13
1460670963,9,3
1460674564,15,11
1460681764,5,6
1460685364,0,12
1460692564,13,8
1460696163,11,25
1460703364,13,6
1460706963,7,6
1460714163,13,12
1460717764,11,3
1460721364,7,0
1460724964,5,12
1460732163,16,7
1460735766,11,5
1460739364,9,0
1460742964,15,11
1460746564,10,16
1460750165,24,0
1460757364,14,18
1460760965,20,0
1460768163,14,19
1460771764,5,0
1460778963,23,15
1460782563,6,17
1460786163,14,0
1460789763,7,8
1460796964,18,14
1460800564,13,6
1460804164,10,0
1460811365,14,11
1460814964,16,8
1460822163,28,11
1460825764,5,0
1460832963,6,20
1460836566,11,0
1460843763,17,8
1460847364,14,4
1460854564,20,11
1460858164,5,6
1460865363,18,4
1460868964,11,6
1460872563,4,9
1460876164,1,17
1460883363,6,5
1460886963,8,0
1460894164,21,3
1460897763,8,9
1460904964,27,4
1460908564,12,13
1460912164,4,0
1460915763,16,13
1460922964,18,6
1460926563,30,16
1460930163,21,0
1460933763,10,10
1460940964,17,7
1460944564,4,13
1460951764,11,0
1460955364,11,22
1460962563,11,11
1460966164,15,0
1460973364,30,14
1460976964,36,8
1460980563,14,12
1460984165,12,42
1460987767,9,0
1460991364,6,7
1460998564,21,12
1461002164,7,5
1461009364,1,0
1461012963,1,17
1461020163,12,0
1461023763,3,6
1461027366,4,12
1461034565,0,24
1461041763,2,7
1461048964,0,11
1461052563,0,6
